NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;21:16.640;0;;20:32.262;0;21.707;0;22.671;0;6.0;21:16.640;12:21;20:32.262;0:21.707;0:22.671;;Nelson PIQUET JR;0:20:21.470;;3;NEXTEV TCR Formula E Team;;
1;0;2;1:02.083;0;;19.179;0;20.183;0;22.721;0;123.6;22:18.723;12:22;0:19.179;0:20.183;0:22.721;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;3;58.015;2;;17.829;2;18.949;2;21.237;2;132.2;23:16.738;12:23;0:17.829;0:18.949;0:21.237;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;4;3:14.690;0;B;22.066;0;22.220;0;2:30.404;0;39.4;26:31.428;12:26;0:22.066;0:22.220;2:30.404;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
11;0;1;31:13.911;0;;30:29.869;0;21.668;0;22.374;0;4.1;31:13.911;12:31;30:29.869;0:21.668;0:22.374;;Lucas DI GRASSI;0:30:19.820;;4;ABT Schaeffler Audi Sport;;
11;0;2;1:01.082;0;;18.381;0;19.516;0;23.185;0;125.6;32:14.993;12:32;0:18.381;0:19.516;0:23.185;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;;
11;0;3;57.131;2;;17.537;2;18.704;2;20.890;2;134.3;33:12.124;12:33;0:17.537;0:18.704;0:20.890;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;;
11;0;4;1:18.696;0;B;21.506;0;23.478;0;33.712;0;97.5;34:30.820;12:34;0:21.506;0:23.478;0:33.712;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;;
12;0;1;31:59.604;0;;31:06.339;0;23.660;0;29.605;0;4.0;31:59.604;12:31;31:06.339;0:23.660;0:29.605;;Mike CONWAY;0:30:57.068;;4;Venturi Formula E Team;;
12;0;2;1:04.085;0;;18.546;0;19.662;0;25.877;0;119.7;33:03.689;12:33;0:18.546;0:19.662;0:25.877;;Mike CONWAY;;;4;Venturi Formula E Team;;
12;0;3;58.144;2;;17.703;2;18.978;2;21.463;2;131.9;34:01.833;12:34;0:17.703;0:18.978;0:21.463;;Mike CONWAY;;;4;Venturi Formula E Team;;
2;0;1;1:22.896;0;;32.574;0;24.665;0;25.657;0;92.5;1:22.896;12:01;0:32.574;0:24.665;0:25.657;;Sam BIRD;0:00:21.200;;1;DS Virgin Racing Formula E Team;;
2;0;2;1:10.272;0;;19.355;0;25.415;0;25.502;0;109.2;2:33.168;12:02;0:19.355;0:25.415;0:25.502;;Sam BIRD;;;1;DS Virgin Racing Formula E Team;;
2;0;3;56.821;4;;17.193;4;18.894;2;20.734;4;135.0;3:29.989;12:03;0:17.193;0:18.894;0:20.734;;Sam BIRD;;;1;DS Virgin Racing Formula E Team;;
2;0;4;8:48.489;0;B;21.203;0;29.272;0;7:58.014;0;14.5;12:18.478;12:12;0:21.203;0:29.272;7:58.014;;Sam BIRD;;;1;DS Virgin Racing Formula E Team;;
21;0;1;31:42.703;0;;30:54.696;0;23.885;0;24.122;0;4.0;31:42.703;12:31;30:54.696;0:23.885;0:24.122;;Bruno SENNA;0:30:44.496;;4;Mahindra Racing Formula E Team;;
21;0;2;59.270;0;;18.101;0;19.487;0;21.682;0;129.4;32:41.973;12:32;0:18.101;0:19.487;0:21.682;;Bruno SENNA;;;4;Mahindra Racing Formula E Team;;
21;0;3;57.383;2;;17.457;2;18.910;2;21.016;2;133.7;33:39.356;12:33;0:17.457;0:18.910;0:21.016;;Bruno SENNA;;;4;Mahindra Racing Formula E Team;;
23;0;1;31:54.062;0;;31:02.711;0;24.207;0;27.144;0;4.0;31:54.062;12:31;31:02.711;0:24.207;0:27.144;;Nick HEIDFELD;0:30:51.824;;4;Mahindra Racing Formula E Team;;
23;0;2;1:04.914;0;;18.895;0;20.951;0;25.068;0;118.2;32:58.976;12:32;0:18.895;0:20.951;0:25.068;;Nick HEIDFELD;;;4;Mahindra Racing Formula E Team;;
23;0;3;57.129;2;;17.502;2;18.758;2;20.869;2;134.3;33:56.105;12:33;0:17.502;0:18.758;0:20.869;;Nick HEIDFELD;;;4;Mahindra Racing Formula E Team;;
23;0;4;2:03.919;0;B;25.721;0;40.098;0;58.100;0;61.9;36:00.024;12:36;0:25.721;0:40.098;0:58.100;;Nick HEIDFELD;;;4;Mahindra Racing Formula E Team;;
