NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;2:49.259;0;;2:04.717;0;20.848;0;23.694;0;45.3;2:49.259;12:47;2:04.717;0:20.848;0:23.694;;Lucas DI GRASSI;0:01:54.690;;4;ABT Schaeffler Audi Sport;;
11;0;2;57.270;2;;17.549;2;18.729;3;20.992;2;134.0;3:46.529;12:48;0:17.549;0:18.729;0:20.992;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;;
11;0;3;3:03.514;0;B;21.877;0;20.504;0;2:21.133;0;41.8;6:50.043;12:51;0:21.877;0:20.504;2:21.133;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;;
2;0;1;7:58.082;0;;7:09.875;0;23.849;0;24.358;0;16.0;7:58.082;12:52;7:09.875;0:23.849;0:24.358;;Sam BIRD;0:06:57.162;;1;DS Virgin Racing Formula E Team;;
2;0;2;57.261;2;;17.626;2;18.844;2;20.791;2;134.0;8:55.343;12:53;0:17.626;0:18.844;0:20.791;;Sam BIRD;;;1;DS Virgin Racing Formula E Team;;
23;0;1;4:34.764;0;;3:43.413;0;25.814;0;25.537;0;27.9;4:34.764;12:49;3:43.413;0:25.814;0:25.537;;Nick HEIDFELD;0:03:30.006;;4;Mahindra Racing Formula E Team;;
23;0;2;57.825;2;;17.516;3;18.971;2;21.338;2;132.7;5:32.589;12:50;0:17.516;0:18.971;0:21.338;;Nick HEIDFELD;;;4;Mahindra Racing Formula E Team;;
23;0;3;3:24.029;0;B;23.963;0;28.409;0;2:31.657;0;37.6;8:56.618;12:53;0:23.963;0:28.409;2:31.657;;Nick HEIDFELD;;;4;Mahindra Racing Formula E Team;;
4;0;1;59.568;0;;14.560;0;22.181;0;22.827;0;128.8;59.568;12:45;0:14.560;0:22.181;0:22.827;;Stéphane SARRAZIN;0:00:04.751;;2;Venturi Formula E Team;;
4;0;2;57.412;2;;17.667;2;18.750;2;20.995;2;133.6;1:56.980;12:46;0:17.667;0:18.750;0:20.995;;Stéphane SARRAZIN;;;2;Venturi Formula E Team;;
55;0;1;6:17.384;0;;5:33.071;0;21.683;0;22.630;0;20.3;6:17.384;12:51;5:33.071;0:21.683;0:22.630;;Antonio Felix DA COSTA;0:05:22.109;;4;Team Aguri;;
55;0;2;57.198;3;;17.620;2;18.884;2;20.694;4;134.1;7:14.582;12:52;0:17.620;0:18.884;0:20.694;;Antonio Felix DA COSTA;;;4;Team Aguri;;
