POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;11;Classified;41;45:11.582;-;-;40;58.765;130.5;ABT Schaeffler Audi Sport;;4;;ABT Schaeffler FE01;;Lucas;DI GRASSI;;BRA;BRA;;
2;4;Classified;41;45:12.369;+0.787;+0.787;40;58.849;130.4;Venturi Formula E Team;;2;;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;FRA;FRA;;
3;66;Classified;41;45:13.267;+1.685;+0.898;40;58.935;130.2;ABT Schaeffler Audi Sport;;3;;ABT Schaeffler FE01;;Daniel;ABT;;DEU;DEU;;
4;23;Classified;41;45:13.925;+2.343;+0.658;31;58.670;130.8;Mahindra Racing Formula E Team;;4;;Mahindra M2ELECTRO;;Nick;HEIDFELD;;DEU;DEU;;
5;21;Classified;41;45:16.550;+4.968;+2.625;40;59.174;129.6;Mahindra Racing Formula E Team;;4;;Mahindra M2ELECTRO;;Bruno;SENNA;;BRA;BRA;;
6;2;Classified;41;45:16.811;+5.229;+0.261;41;59.004;130.0;DS Virgin Racing Formula E Team;;1;;Virgin Racing Engineering DSV-01;;Sam;BIRD;;GBR;GBR;;
7;7;Classified;41;45:18.317;+6.735;+1.506;40;59.261;129.5;Dragon Racing;;1;;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;BEL;BEL;;
8;6;Classified;41;45:19.639;+8.057;+1.322;40;59.196;129.6;Dragon Racing;;2;;Venturi VM200-FE-01;;Loïc;DUVAL;;FRA;FRA;;
9;28;Classified;41;45:22.087;+10.505;+2.448;40;59.681;128.5;Andretti Formula E Race Team;;2;;SRT01-e;;Simona;DE SILVESTRO;;CHE;CHE;;
10;12;Classified;41;45:22.482;+10.900;+0.395;24;59.013;130.0;Venturi Formula E Team;;4;;Venturi VM200-FE-01;;Mike;CONWAY;;GBR;GBR;;
11;8;Classified;41;45:22.787;+11.205;+0.305;33;59.298;129.4;Renault e.Dams;;2;;Renault Z.E 15;;Nicolas;PROST;;FRA;FRA;;
12;88;Classified;41;45:28.999;+17.417;+6.212;25;58.920;130.2;NEXTEV TCR Formula E Team;;1;;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;GBR;GBR;;
13;25;Classified;40;44:36.709;1 Lap;1 Lap;29;59.428;129.1;DS Virgin Racing Formula E Team;;3;;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;FRA;FRA;;
14;77;Classified;40;45:15.849;1 Lap;+39.140;39;59.230;129.5;Team Aguri;;3;;SRT01-e;;Salvador;DURAN;;MEX;MEX;;
15;27;Classified;40;45:35.157;1 Lap;+19.308;8;59.370;129.2;Andretti Formula E Race Team;;1;;SRT01-e;;Robin;FRIJNS;;NED;NED;;
16;9;Classified;38;44:50.917;3 Laps;2 Laps;28;57.938;132.4;Renault e.Dams;;1;;Renault Z.E 15;;Sébastien;BUEMI;;CHE;CHE;;
;55;Not classified;33;34:24.533;;;24;58.977;130.1;Team Aguri;;4;;SRT01-e;;Antonio Felix;DA COSTA;;PRT;PRT;;
;1;Not classified;32;33:56.174;;;27;58.584;131.0;NEXTEV TCR Formula E Team;;3;;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;BRA;BRA;;
