NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;31:19.655;0;;30:28.627;0;30.579;2;20.449;2;4.0;31:19.655;12:31;30:28.627;0:30.579;0:20.449;;Nelson PIQUET JR;0:30:17.102;;4;NEXTEV TCR Formula E Team;;
11;0;1;11:23.104;0;;10:25.337;0;35.420;0;22.347;0;11.0;11:23.104;12:11;10:25.337;0:35.420;0:22.347;;Lucas DI GRASSI;0:10:15.764;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:07.968;0;;17.606;0;29.314;0;21.048;0;110.8;12:31.072;12:12;0:17.606;0:29.314;0:21.048;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:03.990;2;;16.841;2;28.177;4;18.972;2;117.7;13:35.062;12:13;0:16.841;0:28.177;0:18.972;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;4;1:19.905;0;B;20.780;0;32.656;0;26.469;0;94.3;14:54.967;12:14;0:20.780;0:32.656;0:26.469;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
12;0;1;31:41.305;0;;30:44.435;0;31.784;0;25.086;0;4.0;31:41.305;12:31;30:44.435;0:31.784;0:25.086;;Mike CONWAY;0:30:34.607;;4;Venturi Formula E Team;;
12;0;2;2:21.314;0;B;35.482;0;58.930;0;46.902;0;53.3;34:02.619;12:34;0:35.482;0:58.930;0:46.902;;Mike CONWAY;;;4;Venturi Formula E Team;;
12;0;3;17:28.689;0;;16:38.868;0;29.577;0;20.244;0;7.2;51:31.306;12:51;16:38.868;0:29.577;0:20.244;;Mike CONWAY;0:16:35.982;;4;Venturi Formula E Team;;
12;0;4;1:05.665;0;;17.658;0;28.826;2;19.181;0;114.7;52:36.971;12:52;0:17.658;0:28.826;0:19.181;;Mike CONWAY;;;4;Venturi Formula E Team;;
12;0;5;1:05.108;2;;17.070;2;28.884;0;19.154;2;115.7;53:42.079;12:53;0:17.070;0:28.884;0:19.154;;Mike CONWAY;;;4;Venturi Formula E Team;;
12;0;6;1:38.736;0;B;25.107;0;40.118;0;33.511;0;76.3;55:20.815;12:55;0:25.107;0:40.118;0:33.511;;Mike CONWAY;;;4;Venturi Formula E Team;;
2;0;1;31:25.785;0;;30:29.658;0;32.819;0;23.308;0;4.0;31:25.785;12:31;30:29.658;0:32.819;0:23.308;;Sam BIRD;0:30:18.667;;4;DS Virgin Racing Formula E Team;;
2;0;2;2:11.674;0;B;31.525;0;56.097;0;44.052;0;57.2;33:37.459;12:33;0:31.525;0:56.097;0:44.052;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;3;17:42.441;0;;16:50.582;0;30.616;0;21.243;0;7.1;51:19.898;12:51;16:50.582;0:30.616;0:21.243;;Sam BIRD;0:16:45.129;;4;DS Virgin Racing Formula E Team;;
2;0;4;1:06.355;0;;17.672;0;29.421;0;19.262;2;113.5;52:26.253;12:52;0:17.672;0:29.421;0:19.262;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;5;1:04.594;2;;16.741;2;28.435;2;19.418;0;116.6;53:30.847;12:53;0:16.741;0:28.435;0:19.418;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;6;1:21.125;0;B;19.390;0;32.370;0;29.365;0;92.8;54:51.972;12:54;0:19.390;0:32.370;0:29.365;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
21;0;1;11:34.287;0;;10:41.092;0;32.698;0;20.497;0;10.8;11:34.287;12:11;10:41.092;0:32.698;0:20.497;;Bruno SENNA;0:10:31.395;;2;Mahindra Racing Formula E Team;;
21;0;2;1:07.724;2;;17.482;2;30.332;2;19.910;2;111.2;12:42.011;12:12;0:17.482;0:30.332;0:19.910;;Bruno SENNA;;;2;Mahindra Racing Formula E Team;;
23;0;1;2:09.788;0;;1:15.555;0;33.059;0;21.174;0;58.0;2:09.788;12:02;1:15.555;0:33.059;0:21.174;;Nick HEIDFELD;0:01:04.934;;1;Mahindra Racing Formula E Team;;
23;0;2;1:08.111;0;;17.689;0;29.622;0;20.800;0;110.6;3:17.899;12:03;0:17.689;0:29.622;0:20.800;;Nick HEIDFELD;;;1;Mahindra Racing Formula E Team;;
23;0;3;1:04.523;2;;16.903;2;28.586;2;19.034;2;116.7;4:22.422;12:04;0:16.903;0:28.586;0:19.034;;Nick HEIDFELD;;;1;Mahindra Racing Formula E Team;;
23;0;4;2:27.346;0;B;21.808;0;36.383;0;1:29.155;0;51.1;6:49.768;12:06;0:21.808;0:36.383;1:29.155;;Nick HEIDFELD;;;1;Mahindra Racing Formula E Team;;
25;0;1;1:35.525;0;;35.637;0;36.865;0;23.023;0;78.8;1:35.525;12:01;0:35.637;0:36.865;0:23.023;;Jean-Eric VERGNE;0:00:20.926;;1;DS Virgin Racing Formula E Team;;
25;0;2;1:07.849;0;;18.062;0;29.653;0;20.134;0;111.0;2:43.374;12:02;0:18.062;0:29.653;0:20.134;;Jean-Eric VERGNE;;;1;DS Virgin Racing Formula E Team;;
25;0;3;1:04.268;2;;16.699;2;28.450;2;19.119;2;117.2;3:47.642;12:03;0:16.699;0:28.450;0:19.119;;Jean-Eric VERGNE;;;1;DS Virgin Racing Formula E Team;;
25;0;4;1:35.258;0;B;21.397;0;38.514;0;35.347;0;79.1;5:22.900;12:05;0:21.397;0:38.514;0:35.347;;Jean-Eric VERGNE;;;1;DS Virgin Racing Formula E Team;;
27;0;1;31:30.665;0;;30:35.531;0;33.871;0;21.263;0;4.0;31:30.665;12:31;30:35.531;0:33.871;0:21.263;;Robin FRIJNS;0:30:25.465;;4;Andretti Formula E Race Team;;
27;0;2;2:11.571;0;B;27.886;0;58.555;0;45.130;0;57.2;33:42.236;12:33;0:27.886;0:58.555;0:45.130;;Robin FRIJNS;;;4;Andretti Formula E Race Team;;
27;0;3;19:04.520;0;;18:12.380;0;31.739;0;20.401;0;6.6;52:46.754;12:52;18:12.380;0:31.739;0:20.401;;Robin FRIJNS;0:18:09.117;;4;Andretti Formula E Race Team;;
27;0;4;1:08.452;0;;18.528;0;29.763;0;20.161;0;110.0;53:55.206;12:53;0:18.528;0:29.763;0:20.161;;Robin FRIJNS;;;4;Andretti Formula E Race Team;;
27;0;5;1:04.959;2;;16.977;2;28.716;2;19.266;2;115.9;55:00.165;12:55;0:16.977;0:28.716;0:19.266;;Robin FRIJNS;;;4;Andretti Formula E Race Team;;
28;0;1;21:42.242;0;;20:50.395;0;31.767;0;20.080;0;5.8;21:42.242;12:21;20:50.395;0:31.767;0:20.080;;Simona DE SILVESTRO;0:20:39.938;;3;Andretti Formula E Race Team;;
28;0;2;1:07.385;0;;17.823;0;29.444;0;20.118;0;111.8;22:49.627;12:22;0:17.823;0:29.444;0:20.118;;Simona DE SILVESTRO;;;3;Andretti Formula E Race Team;;
28;0;3;1:04.606;2;;17.041;2;28.358;2;19.207;2;116.6;23:54.233;12:23;0:17.041;0:28.358;0:19.207;;Simona DE SILVESTRO;;;3;Andretti Formula E Race Team;;
28;0;4;2:44.984;0;B;22.904;0;36.579;0;1:45.501;0;45.6;26:39.217;12:26;0:22.904;0:36.579;1:45.501;;Simona DE SILVESTRO;;;3;Andretti Formula E Race Team;;
4;0;1;1:49.848;0;;58.058;0;31.509;0;20.281;0;68.6;1:49.848;12:01;0:58.058;0:31.509;0:20.281;;Stéphane SARRAZIN;0:00:47.727;;1;Venturi Formula E Team;;
4;0;2;1:08.336;0;;17.846;0;30.322;0;20.168;0;110.2;2:58.184;12:02;0:17.846;0:30.322;0:20.168;;Stéphane SARRAZIN;;;1;Venturi Formula E Team;;
4;0;3;1:04.583;2;;16.874;2;28.491;2;19.218;2;116.6;4:02.767;12:04;0:16.874;0:28.491;0:19.218;;Stéphane SARRAZIN;;;1;Venturi Formula E Team;;
4;0;4;1:22.709;0;B;20.428;0;32.326;0;29.955;0;91.1;5:25.476;12:05;0:20.428;0:32.326;0:29.955;;Stéphane SARRAZIN;;;1;Venturi Formula E Team;;
55;0;1;22:36.912;0;;21:45.721;0;30.787;0;20.404;0;5.6;22:36.912;12:22;21:45.721;0:30.787;0:20.404;;Antonio Felix DA COSTA;0:21:34.324;;3;Team Aguri;;
