POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;7;Classified;43;48:28.409;-;-;26;1:05.400;115.2;Dragon Racing;;2;;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;BEL;BEL;;
2;9;Classified;43;48:28.515;+0.106;+0.106;29;1:05.076;115.7;Renault e.Dams;;2;;Renault Z.E 15;;Sébastien;BUEMI;;CHE;CHE;;
3;8;Classified;43;48:53.946;+25.537;+25.431;29;1:04.569;116.6;Renault e.Dams;;3;;Renault Z.E 15;;Nicolas;PROST;;FRA;FRA;;
4;6;Classified;43;48:54.767;+26.358;+0.821;26;1:04.840;116.2;Dragon Racing;;1;;Venturi VM200-FE-01;;Loïc;DUVAL;;FRA;FRA;;
5;27;Classified;43;48:56.886;+28.477;+2.119;29;1:05.247;115.4;Andretti Formula E Race Team;;4;;SRT01-e;;Robin;FRIJNS;;NED;NED;;
6;2;Classified;43;48:57.337;+28.928;+0.451;28;1:05.167;115.6;DS Virgin Racing Formula E Team;;4;;Virgin Racing Engineering DSV-01;;Sam;BIRD;;GBR;GBR;;
7;66;Classified;43;48:58.460;+30.051;+1.123;34;1:05.315;115.3;ABT Schaeffler Audi Sport;;3;;ABT Schaeffler FE01;;Daniel;ABT;;DEU;DEU;;
8;23;Classified;43;49:04.782;+36.373;+6.322;33;1:06.177;113.8;Mahindra Racing Formula E Team;;1;;Mahindra M2ELECTRO;;Nick;HEIDFELD;;DEU;DEU;;
9;4;Classified;43;49:05.700;+37.291;+0.918;30;1:05.879;114.3;Venturi Formula E Team;;1;;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;FRA;FRA;;
10;21;Classified;43;49:06.012;+37.603;+0.312;24;1:06.019;114.1;Mahindra Racing Formula E Team;;2;;Mahindra M2ELECTRO;;Bruno;SENNA;;BRA;BRA;;
11;88;Classified;43;49:07.007;+38.598;+0.995;27;1:05.183;115.5;NEXTEV TCR Formula E Team;;3;;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;GBR;GBR;;
12;12;Classified;43;49:07.199;+38.790;+0.192;24;1:04.965;115.9;Venturi Formula E Team;;4;;Venturi VM200-FE-01;;Mike;CONWAY;;GBR;GBR;;
13;1;Classified;43;49:10.760;+42.351;+3.561;27;1:05.097;115.7;NEXTEV TCR Formula E Team;;4;;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;BRA;BRA;;
14;28;Classified;43;49:12.380;+43.971;+1.620;27;1:05.979;114.1;Andretti Formula E Race Team;;3;;SRT01-e;;Simona;DE SILVESTRO;;CHE;CHE;;
15;77;Classified;43;49:31.491;+1:03.082;+19.111;28;1:05.996;114.1;Team Aguri;;4;;SRT01-e;;Salvador;DURAN;;MEX;MEX;;
16;25;Classified;42;48:32.784;1 Lap;1 Lap;24;1:04.881;116.1;DS Virgin Racing Formula E Team;;1;;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;FRA;FRA;;
;55;Not classified;32;37:49.401;;;25;1:05.059;115.8;Team Aguri;;3;;SRT01-e;;Antonio Felix;DA COSTA;;PRT;PRT;;
;11;Excluded;43;48:22.993;;;28;1:04.887;116.1;ABT Schaeffler Audi Sport;;2;;ABT Schaeffler FE01;;Lucas;DI GRASSI;;BRA;BRA;;
