NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;16:29.398;0;;15:39.602;0;27.251;0;22.545;0;7.0;16:29.397;12:16;15:39.602;0:27.251;0:22.545;;Nelson PIQUET JR;0:15:11.469;;2;NEXTEV TCR Formula E Team;;
1;0;2;1:08.300;0;;19.706;0;27.399;0;21.195;0;101.2;17:37.697;12:17;0:19.706;0:27.399;0:21.195;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;3;1:02.685;2;;18.622;2;24.479;2;19.584;2;110.3;18:40.382;12:18;0:18.622;0:24.479;0:19.584;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;4;1:21.449;0;B;24.496;0;28.494;0;28.459;0;84.9;20:01.831;12:20;0:24.496;0:28.494;0:28.459;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
11;0;1;16:20.856;0;;15:31.072;0;27.819;0;21.965;0;7.0;16:20.855;12:16;15:31.072;0:27.819;0:21.965;;Lucas DI GRASSI;0:15:07.085;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:07.318;0;;20.500;0;26.120;0;20.698;0;102.7;17:28.173;12:17;0:20.500;0:26.120;0:20.698;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:02.249;2;;18.518;2;24.446;2;19.285;2;111.0;18:30.422;12:18;0:18.518;0:24.446;0:19.285;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;4;1:16.443;0;B;23.714;0;25.667;0;27.062;0;90.4;19:46.865;12:19;0:23.714;0:25.667;0:27.062;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
12;0;1;2:02.298;0;;1:00.261;0;32.701;0;29.336;0;56.5;2:02.298;12:02;1:00.261;0:32.701;0:29.336;;Mike CONWAY;0:00:36.577;;1;Venturi Formula E Team;;
12;0;2;1:04.798;2;;19.413;0;25.196;0;20.189;2;106.7;3:07.096;12:03;0:19.413;0:25.196;0:20.189;;Mike CONWAY;;;1;Venturi Formula E Team;;
12;0;3;1:26.742;0;B;18.392;2;24.321;2;44.029;0;79.7;4:33.838;12:04;0:18.392;0:24.321;0:44.029;;Mike CONWAY;;;1;Venturi Formula E Team;;
2;0;1;31:37.627;0;;30:46.432;0;28.247;0;22.948;0;3.6;31:37.626;12:31;30:46.432;0:28.247;0:22.948;;Sam BIRD;0:30:19.611;;4;DS Virgin Racing Formula E Team;;
2;0;2;1:07.387;0;;19.673;0;26.534;0;21.180;0;102.6;32:45.013;12:32;0:19.673;0:26.534;0:21.180;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;3;1:01.514;4;;18.196;4;24.127;4;19.191;2;112.4;33:46.527;12:33;0:18.196;0:24.127;0:19.191;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;4;1:28.310;0;B;22.614;0;29.843;0;35.853;0;78.3;35:14.837;12:35;0:22.614;0:29.843;0:35.853;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
