NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;3:34.410;0;;2:44.090;0;27.633;0;22.687;0;32.2;3:34.410;12:48;2:44.090;0:27.633;0:22.687;;Lucas DI GRASSI;0:02:08.094;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:01.932;2;;18.193;4;24.482;2;19.257;2;111.6;4:36.342;12:49;0:18.193;0:24.482;0:19.257;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:14.354;0;B;22.267;0;26.053;0;26.034;0;93.0;5:50.696;12:50;0:22.267;0:26.053;0:26.034;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
2;0;1;10:00.898;0;;9:10.611;0;28.826;0;21.461;0;11.5;10:00.898;12:55;9:10.611;0:28.826;0:21.461;;Sam BIRD;0:07:27.741;;4;DS Virgin Racing Formula E Team;;
2;0;2;1:01.616;3;;18.352;2;24.127;4;19.137;2;112.2;11:02.514;12:56;0:18.352;0:24.127;0:19.137;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;3;1:13.205;0;B;20.642;0;25.884;0;26.679;0;94.4;12:15.719;12:57;0:20.642;0:25.884;0:26.679;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
25;0;1;7:58.736;0;;7:00.164;0;31.931;0;26.641;0;14.4;7:58.736;12:52;7:00.164;0:31.931;0:26.641;;Jean-Eric VERGNE;0:06:08.462;;2;DS Virgin Racing Formula E Team;;
25;0;2;1:01.993;2;;18.419;2;24.440;2;19.134;3;111.5;9:00.729;12:54;0:18.419;0:24.440;0:19.134;;Jean-Eric VERGNE;;;2;DS Virgin Racing Formula E Team;;
25;0;3;1:23.021;0;B;25.442;0;28.459;0;29.120;0;83.3;10:23.750;12:55;0:25.442;0:28.459;0:29.120;;Jean-Eric VERGNE;;;2;DS Virgin Racing Formula E Team;;
4;0;1;5:36.637;0;;4:49.669;0;26.674;0;20.294;0;20.5;5:36.637;12:50;4:49.669;0:26.674;0:20.294;;Stéphane SARRAZIN;0:04:22.411;;1;Venturi Formula E Team;;
4;0;2;1:02.550;2;;18.601;2;24.454;2;19.495;2;110.5;6:39.187;12:51;0:18.601;0:24.454;0:19.495;;Stéphane SARRAZIN;;;1;Venturi Formula E Team;;
4;0;3;1:32.378;0;B;26.696;0;31.897;0;33.785;0;74.8;8:11.565;12:53;0:26.696;0:31.897;0:33.785;;Stéphane SARRAZIN;;;1;Venturi Formula E Team;;
8;0;1;1:16.708;0;;30.341;0;26.058;0;20.309;0;90.1;1:16.708;12:46;0:30.341;0:26.058;0:20.309;;Nicolas PROST;;;3;Renault e.Dams;;
8;0;2;1:02.709;2;;18.501;2;24.755;2;19.453;2;110.2;2:19.417;12:47;0:18.501;0:24.755;0:19.453;;Nicolas PROST;;;3;Renault e.Dams;;
8;0;3;1:23.506;0;B;25.566;0;27.797;0;30.143;0;82.8;3:42.923;12:48;0:25.566;0:27.797;0:30.143;;Nicolas PROST;;;3;Renault e.Dams;;
