POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;11;Classified;45;52:40.324;-;-;28;1:02.911;109.9;ABT Schaeffler Audi Sport;;2;1098;ABT Schaeffler FE01;;Lucas;DI GRASSI;;BRA;BRA;;
2;25;Classified;45;52:41.177;+0.853;+0.853;30;1:02.939;109.8;DS Virgin Racing Formula E Team;;2;1086;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;FRA;FRA;;
3;9;Classified;45;52:41.940;+1.616;+0.763;32;1:02.453;110.7;Renault e.Dams;;1;1090;Renault Z.E 15;;Sébastien;BUEMI;;CHE;CHE;;
4;8;Classified;45;52:42.466;+2.142;+0.526;28;1:02.905;109.9;Renault e.Dams;;3;2032;Renault Z.E 15;;Nicolas;PROST;;FRA;FRA;;
5;4;Classified;45;52:43.368;+3.044;+0.902;30;1:02.804;110.1;Venturi Formula E Team;;1;1113.;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;FRA;FRA;;
6;2;Classified;45;52:44.180;+3.856;+0.812;27;1:03.040;109.6;DS Virgin Racing Formula E Team;;4;1087;Virgin Racing Engineering DSV-01;;Sam;BIRD;;GBR;GBR;;
7;27;Classified;45;52:45.465;+5.141;+1.285;28;1:03.026;109.7;Andretti Formula E Race Team;;2;9093;SRT01-e;;Robin;FRIJNS;;NED;NED;;
8;55;Classified;45;52:47.324;+7.000;+1.859;17;1:02.967;109.8;Team Aguri;;4;3177;SRT01-e;;Antonio Felix;DA COSTA;;PRT;PRT;;
9;21;Classified;45;52:48.757;+8.433;+1.433;33;1:03.018;109.7;Mahindra Racing Formula E Team;;3;1115;Mahindra M2ELECTRO;;Bruno;SENNA;;BRA;BRA;;
10;66;Classified;45;52:49.803;+9.479;+1.046;33;1:02.851;110.0;ABT Schaeffler Audi Sport;;2;1080;ABT Schaeffler FE01;;Daniel;ABT;;DEU;DEU;;
11;7;Classified;45;52:51.062;+10.738;+1.259;38;1:03.608;108.7;Dragon Racing;;3;1084;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;BEL;BEL;;
12;23;Classified;45;52:52.777;+12.453;+1.715;39;1:02.323;110.9;Mahindra Racing Formula E Team;;1;1099;Mahindra M2ELECTRO;;Nick;HEIDFELD;;DEU;DEU;;
13;88;Classified;45;52:54.045;+13.721;+1.268;29;1:03.908;108.2;NEXTEV TCR Formula E Team;;3;9092;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;GBR;GBR;;
14;12;Classified;45;52:55.157;+14.833;+1.112;38;1:03.289;109.2;Venturi Formula E Team;;1;3399;Venturi VM200-FE-01;;Mike;CONWAY;;GBR;GBR;;
15;28;Classified;45;52:56.373;+16.049;+1.216;31;1:03.583;108.7;Andretti Formula E Race Team;;3;9091;SRT01-e;;Simona;DE SILVESTRO;;CHE;CHE;;
;1;Not classified;39;46:07.568;;;38;1:02.731;110.2;NEXTEV TCR Formula E Team;;2;9069;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;BRA;BRA;;
;77;Not classified;38;44:11.508;;;17;1:04.471;107.2;Team Aguri;;4;8001;SRT01-e;;Qing Hua;MA;;CHN;CHN;;
;6;Not classified;4;4:26.777;;;4;1:05.175;106.1;Dragon Racing;;1;9082;Venturi VM200-FE-01;;Loïc;DUVAL;;FRA;FRA;;
