NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:38.515;0;;36.771;0;29.193;0;32.551;0;101.8;1:38.515;12:01;0:36.771;0:29.193;0:32.551;;Nelson PIQUET JR;0:00:18.659;;1;NEXTEV TCR Formula E Team;;
1;0;2;1:18.864;0;;21.890;0;26.783;0;30.191;0;127.1;2:57.379;12:02;0:21.890;0:26.783;0:30.191;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;3;1:16.300;2;;21.173;2;26.029;2;29.098;2;131.4;4:13.679;12:04;0:21.173;0:26.029;0:29.098;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;4;1:49.059;0;B;29.414;0;34.968;0;44.677;0;91.9;6:02.738;12:06;0:29.414;0:34.968;0:44.677;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
11;0;1;11:34.226;0;;10:31.384;0;28.619;0;34.223;0;14.4;11:34.226;12:11;10:31.384;0:28.619;0:34.223;;Lucas DI GRASSI;0:10:14.757;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:24.155;0;;22.639;0;28.416;0;33.100;0;119.1;12:58.381;12:12;0:22.639;0:28.416;0:33.100;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:15.115;2;;21.171;2;25.715;4;28.229;2;133.5;14:13.496;12:14;0:21.171;0:25.715;0:28.229;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;4;1:56.572;0;B;29.640;0;35.521;0;51.411;0;86.0;16:10.068;12:16;0:29.640;0:35.521;0:51.411;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
12;0;1;31:56.346;0;;30:52.925;0;28.833;0;34.588;2;5.2;31:56.346;12:31;30:52.925;0:28.833;0:34.588;;Jacques VILLENEUVE;0:30:35.635;;4;Venturi Formula E Team;;
12;0;2;1:28.451;2;;25.496;0;27.891;0;35.064;0;113.4;33:24.797;12:33;0:25.496;0:27.891;0:35.064;;Jacques VILLENEUVE;;;4;Venturi Formula E Team;;
2;0;1;12:02.780;0;;10:57.280;0;32.451;0;33.049;0;13.9;12:02.780;12:12;10:57.280;0:32.451;0:33.049;;Sam BIRD;0:10:38.604;;2;DS Virgin Racing Formula E Team;;
2;0;2;1:20.116;0;;22.021;0;27.245;0;30.850;0;125.1;13:22.896;12:13;0:22.021;0:27.245;0:30.850;;Sam BIRD;;;2;DS Virgin Racing Formula E Team;;
2;0;3;1:15.790;2;;21.125;2;25.804;2;28.861;2;132.3;14:38.686;12:14;0:21.125;0:25.804;0:28.861;;Sam BIRD;;;2;DS Virgin Racing Formula E Team;;
2;0;4;1:49.682;0;B;24.460;0;30.990;0;54.232;0;91.4;16:28.368;12:16;0:24.460;0:30.990;0:54.232;;Sam BIRD;;;2;DS Virgin Racing Formula E Team;;
21;0;1;31:50.045;0;;30:44.537;0;31.550;0;33.958;0;5.2;31:50.045;12:31;30:44.537;0:31.550;0:33.958;;Bruno SENNA;0:30:26.429;;4;Mahindra Racing Formula E Team;;
21;0;2;1:29.445;0;;22.347;0;27.133;0;39.965;0;112.1;33:19.490;12:33;0:22.347;0:27.133;0:39.965;;Bruno SENNA;;;4;Mahindra Racing Formula E Team;;
21;0;3;1:16.048;2;;21.300;2;25.965;2;28.783;2;131.8;34:35.538;12:34;0:21.300;0:25.965;0:28.783;;Bruno SENNA;;;4;Mahindra Racing Formula E Team;;
21;0;4;1:47.461;0;B;27.412;0;32.209;0;47.840;0;93.3;36:22.999;12:36;0:27.412;0:32.209;0:47.840;;Bruno SENNA;;;4;Mahindra Racing Formula E Team;;
23;0;1;22:03.792;0;;20:59.415;0;29.024;0;35.353;0;7.6;22:03.792;12:22;20:59.415;0:29.024;0:35.353;;Oliver ROWLAND;0:20:42.497;;3;Mahindra Racing Formula E Team;;
23;0;2;1:22.960;0;;21.902;0;30.973;0;30.085;2;120.9;23:26.752;12:23;0:21.902;0:30.973;0:30.085;;Oliver ROWLAND;;;3;Mahindra Racing Formula E Team;;
23;0;3;1:19.414;2;;21.229;2;26.227;2;31.958;0;126.2;24:46.166;12:24;0:21.229;0:26.227;0:31.958;;Oliver ROWLAND;;;3;Mahindra Racing Formula E Team;;
23;0;4;2:04.013;0;B;23.282;0;42.525;0;58.206;0;80.8;26:50.179;12:26;0:23.282;0:42.525;0:58.206;;Oliver ROWLAND;;;3;Mahindra Racing Formula E Team;;
25;0;1;5:08.213;0;;4:06.737;0;30.240;0;31.236;2;32.5;5:08.213;12:05;4:06.737;0:30.240;0:31.236;;Jean-Eric VERGNE;0:03:47.896;;1;DS Virgin Racing Formula E Team;;
25;0;2;1:19.946;2;;21.743;0;26.284;0;31.919;0;125.4;6:28.159;12:06;0:21.743;0:26.284;0:31.919;;Jean-Eric VERGNE;;;1;DS Virgin Racing Formula E Team;;
25;0;3;1:25.475;0;B;21.158;2;25.933;2;38.384;0;117.3;7:53.634;12:07;0:21.158;0:25.933;0:38.384;;Jean-Eric VERGNE;;;1;DS Virgin Racing Formula E Team;;
27;0;1;11:44.813;0;;10:37.000;0;33.083;0;34.730;0;14.2;11:44.813;12:11;10:37.000;0:33.083;0:34.730;;Robin FRIJNS;0:10:18.451;;2;Andretti Formula E Race Team;;
27;0;2;1:22.928;0;;24.427;0;27.420;0;31.081;0;120.9;13:07.741;12:13;0:24.427;0:27.420;0:31.081;;Robin FRIJNS;;;2;Andretti Formula E Race Team;;
27;0;3;1:16.255;2;;21.465;2;25.934;2;28.856;2;131.5;14:23.996;12:14;0:21.465;0:25.934;0:28.856;;Robin FRIJNS;;;2;Andretti Formula E Race Team;;
27;0;4;1:55.904;0;B;27.182;0;37.133;0;51.589;0;86.5;16:19.900;12:16;0:27.182;0:37.133;0:51.589;;Robin FRIJNS;;;2;Andretti Formula E Race Team;;
28;0;1;32:17.419;0;;31:13.488;0;30.600;0;33.331;0;5.2;32:17.419;12:32;31:13.488;0:30.600;0:33.331;;Simona DE SILVESTRO;0:30:56.565;;4;Andretti Formula E Race Team;;
28;0;2;1:21.419;0;;23.442;0;27.201;0;30.776;0;123.1;33:38.838;12:33;0:23.442;0:27.201;0:30.776;;Simona DE SILVESTRO;;;4;Andretti Formula E Race Team;;
28;0;3;1:18.281;2;;21.631;2;26.593;2;30.057;2;128.1;34:57.119;12:34;0:21.631;0:26.593;0:30.057;;Simona DE SILVESTRO;;;4;Andretti Formula E Race Team;;
28;0;4;1:56.026;0;B;32.090;0;36.948;0;46.988;0;86.4;36:53.145;12:36;0:32.090;0:36.948;0:46.988;;Simona DE SILVESTRO;;;4;Andretti Formula E Race Team;;
4;0;1;21:53.379;0;;20:49.920;0;28.276;0;35.183;0;7.6;21:53.379;12:21;20:49.920;0:28.276;0:35.183;;Stéphane SARRAZIN;0:20:33.070;;3;Venturi Formula E Team;;
4;0;2;1:22.925;0;;22.180;0;27.359;0;33.386;0;120.9;23:16.304;12:23;0:22.180;0:27.359;0:33.386;;Stéphane SARRAZIN;;;3;Venturi Formula E Team;;
4;0;3;1:16.353;2;;21.415;2;25.991;2;28.947;2;131.3;24:32.657;12:24;0:21.415;0:25.991;0:28.947;;Stéphane SARRAZIN;;;3;Venturi Formula E Team;;
4;0;4;1:45.816;0;B;29.936;0;35.042;0;40.838;0;94.7;26:18.473;12:26;0:29.936;0:35.042;0:40.838;;Stéphane SARRAZIN;;;3;Venturi Formula E Team;;
55;0;1;21:48.164;0;;20:44.946;0;30.817;0;32.401;0;7.7;21:48.164;12:21;20:44.946;0:30.817;0:32.401;;Antonio Felix DA COSTA;0:20:27.139;;3;Team Aguri;;
55;0;2;1:24.946;0;;22.772;0;29.183;0;32.991;0;118.0;23:13.110;12:23;0:22.772;0:29.183;0:32.991;;Antonio Felix DA COSTA;;;3;Team Aguri;;
55;0;3;1:16.014;2;;21.106;2;26.189;2;28.719;2;131.9;24:29.124;12:24;0:21.106;0:26.189;0:28.719;;Antonio Felix DA COSTA;;;3;Team Aguri;;
55;0;4;1:38.235;0;B;28.063;0;32.198;0;37.974;0;102.1;26:07.359;12:26;0:28.063;0:32.198;0:37.974;;Antonio Felix DA COSTA;;;3;Team Aguri;;
6;0;1;21:30.694;0;;20:31.489;0;28.090;0;31.115;0;7.8;21:30.694;12:21;20:31.489;0:28.090;0:31.115;;Loïc DUVAL;0:20:14.728;;3;Dragon Racing;;
6;0;2;1:20.094;0;;22.112;0;27.007;0;30.975;0;125.2;22:50.788;12:22;0:22.112;0:27.007;0:30.975;;Loïc DUVAL;;;3;Dragon Racing;;
6;0;3;1:15.748;2;;21.009;4;25.947;2;28.792;2;132.4;24:06.536;12:24;0:21.009;0:25.947;0:28.792;;Loïc DUVAL;;;3;Dragon Racing;;
6;0;4;1:43.618;0;B;30.813;0;28.321;0;44.484;0;96.8;25:50.154;12:25;0:30.813;0:28.321;0:44.484;;Loïc DUVAL;;;3;Dragon Racing;;
66;0;1;21:34.971;0;;20:34.294;0;29.476;0;31.201;0;7.7;21:34.971;12:21;20:34.294;0:29.476;0:31.201;;Daniel ABT;0:20:16.639;;3;ABT Schaeffler Audi Sport;;
66;0;2;1:20.486;0;;22.225;0;27.594;0;30.667;0;124.6;22:55.457;12:22;0:22.225;0:27.594;0:30.667;;Daniel ABT;;;3;ABT Schaeffler Audi Sport;;
66;0;3;1:15.993;2;;21.109;2;26.190;2;28.694;2;131.9;24:11.450;12:24;0:21.109;0:26.190;0:28.694;;Daniel ABT;;;3;ABT Schaeffler Audi Sport;;
66;0;4;1:53.479;0;B;33.302;0;34.495;0;45.682;0;88.4;26:04.929;12:26;0:33.302;0:34.495;0:45.682;;Daniel ABT;;;3;ABT Schaeffler Audi Sport;;
7;0;1;11:31.374;0;;10:30.955;0;28.389;0;32.030;0;14.5;11:31.374;12:11;10:30.955;0:28.389;0:32.030;;Jérôme D'AMBROSIO;0:10:14.116;;2;Dragon Racing;;
7;0;2;1:19.873;0;;22.367;0;27.383;0;30.123;0;125.5;12:51.247;12:12;0:22.367;0:27.383;0:30.123;;Jérôme D'AMBROSIO;;;2;Dragon Racing;;
7;0;3;1:15.481;2;;21.086;2;25.865;2;28.530;2;132.8;14:06.728;12:14;0:21.086;0:25.865;0:28.530;;Jérôme D'AMBROSIO;;;2;Dragon Racing;;
7;0;4;1:53.233;0;B;29.209;0;37.862;0;46.162;0;88.5;15:59.961;12:15;0:29.209;0:37.862;0:46.162;;Jérôme D'AMBROSIO;;;2;Dragon Racing;;
77;0;1;1:55.843;0;;51.630;0;31.188;0;33.025;0;86.5;1:55.843;12:01;0:51.630;0:31.188;0:33.025;;Nathanaël BERTHON;0:00:31.242;;1;Team Aguri;;
