NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;9:05.820;0;;8:07.726;0;27.804;0;30.290;0;18.4;9:05.820;12:54;8:07.726;0:27.804;0:30.290;;Lucas DI GRASSI;0:07:51.118;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:16.635;2;;21.572;2;26.312;2;28.751;2;130.8;10:22.455;12:55;0:21.572;0:26.312;0:28.751;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:43.932;0;B;29.594;0;34.462;0;39.876;0;96.5;12:06.387;12:57;0:29.594;0:34.462;0:39.876;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
2;0;1;1:52.717;0;;40.800;0;37.519;0;34.398;0;88.9;1:52.717;12:46;0:40.800;0:37.519;0:34.398;;Sam BIRD;0:00:21.245;;2;DS Virgin Racing Formula E Team;;
2;0;2;1:16.109;2;;21.323;2;26.049;2;28.737;2;131.7;3:08.826;12:48;0:21.323;0:26.049;0:28.737;;Sam BIRD;;;2;DS Virgin Racing Formula E Team;;
2;0;3;1:34.206;0;B;24.865;0;29.867;0;39.474;0;106.4;4:43.032;12:49;0:24.865;0:29.867;0:39.474;;Sam BIRD;;;2;DS Virgin Racing Formula E Team;;
6;0;1;4:17.218;0;;3:19.272;0;27.206;0;30.740;0;39.0;4:17.218;12:49;3:19.272;0:27.206;0:30.740;;Loïc DUVAL;0:03:01.827;;3;Dragon Racing;;
6;0;2;1:15.875;2;;21.110;2;25.958;2;28.807;2;132.1;5:33.093;12:50;0:21.110;0:25.958;0:28.807;;Loïc DUVAL;;;3;Dragon Racing;;
6;0;3;1:33.100;0;B;27.400;0;27.990;0;37.710;0;107.7;7:06.193;12:52;0:27.400;0:27.990;0:37.710;;Loïc DUVAL;;;3;Dragon Racing;;
7;0;1;6:38.682;0;;5:40.999;0;27.274;0;30.409;0;25.1;6:38.682;12:51;5:40.999;0:27.274;0:30.409;;Jérôme D'AMBROSIO;0:05:24.378;;2;Dragon Racing;;
7;0;2;1:15.498;3;;21.065;3;25.735;3;28.698;3;132.8;7:54.180;12:52;0:21.065;0:25.735;0:28.698;;Jérôme D'AMBROSIO;;;2;Dragon Racing;;
7;0;3;1:32.049;0;B;25.589;0;28.299;0;38.161;0;108.9;9:26.229;12:54;0:25.589;0:28.299;0:38.161;;Jérôme D'AMBROSIO;;;2;Dragon Racing;;
9;0;1;11:27.840;0;;10:19.118;0;33.604;0;35.118;0;14.6;11:27.840;12:56;10:19.118;0:33.604;0:35.118;;Sébastien BUEMI;0:09:57.908;;4;Renault e.Dams;;
9;0;2;1:19.811;2;;21.312;2;29.556;0;28.943;2;125.6;12:47.651;12:57;0:21.312;0:29.556;0:28.943;;Sébastien BUEMI;;;4;Renault e.Dams;;
9;0;3;1:36.496;0;B;28.415;0;29.083;2;38.998;0;103.9;14:24.147;12:59;0:28.415;0:29.083;0:38.998;;Sébastien BUEMI;;;4;Renault e.Dams;;
