NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:33.839;0;;34.349;0;28.743;0;30.747;0;106.8;1:33.839;16:05;0:34.349;0:28.743;0:30.747;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;2;1:21.071;0;;22.880;0;27.844;0;30.347;0;123.7;2:54.910;16:06;0:22.880;0:27.844;0:30.347;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;3;1:21.047;0;;22.737;0;28.170;0;30.140;0;123.7;4:15.957;16:07;0:22.737;0:28.170;0:30.140;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;4;1:20.720;0;;22.642;0;27.861;0;30.217;0;124.2;5:36.677;16:09;0:22.642;0:27.861;0:30.217;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;5;1:20.372;0;;22.343;0;27.630;0;30.399;0;124.7;6:57.049;16:10;0:22.343;0:27.630;0:30.399;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;6;1:20.741;0;;22.812;0;27.642;0;30.287;0;124.2;8:17.790;16:11;0:22.812;0:27.642;0:30.287;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;7;1:20.934;0;;22.583;0;27.997;0;30.354;0;123.9;9:38.724;16:13;0:22.583;0:27.997;0:30.354;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;8;1:20.911;0;;22.834;0;27.833;0;30.244;0;123.9;10:59.635;16:14;0:22.834;0:27.833;0:30.244;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;9;1:20.826;0;;22.461;0;28.147;0;30.218;0;124.0;12:20.461;16:15;0:22.461;0:28.147;0:30.218;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;10;1:20.688;0;;22.898;0;27.626;0;30.164;0;124.3;13:41.149;16:17;0:22.898;0:27.626;0:30.164;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;11;1:20.563;0;;22.787;0;27.476;0;30.300;0;124.4;15:01.712;16:18;0:22.787;0:27.476;0:30.300;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;12;1:21.899;0;;22.697;0;27.850;0;31.352;0;122.4;16:23.611;16:19;0:22.697;0:27.850;0:31.352;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;13;1:20.610;0;;22.765;0;27.650;0;30.195;0;124.4;17:44.221;16:21;0:22.765;0:27.650;0:30.195;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;14;1:20.236;0;;22.544;0;27.546;0;30.146;0;125.0;19:04.457;16:22;0:22.544;0:27.546;0:30.146;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;15;1:20.247;0;;22.269;0;27.689;0;30.289;0;124.9;20:24.704;16:23;0:22.269;0:27.689;0:30.289;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;16;1:20.763;0;;22.702;0;27.649;0;30.412;0;124.1;21:45.467;16:25;0:22.702;0:27.649;0:30.412;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;17;1:24.983;0;B;22.310;0;27.855;0;34.818;0;118.0;23:10.450;16:26;0:22.310;0:27.855;0:34.818;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;18;2:13.647;0;;1:15.394;0;28.004;0;30.249;0;75.0;25:24.097;16:28;1:15.394;0:28.004;0:30.249;;Nelson PIQUET JR;0:01:01.114;;1;NEXTEV TCR Formula E Team;;
1;0;19;1:20.526;0;;22.650;0;27.533;0;30.343;0;124.5;26:44.623;16:30;0:22.650;0:27.533;0:30.343;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;20;2:12.497;0;;22.635;0;37.545;0;1:12.317;0;75.7;28:57.120;16:32;0:22.635;0:37.545;1:12.317;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;21;1:52.868;0;;54.328;0;28.184;0;30.356;0;88.8;30:49.988;16:34;0:54.328;0:28.184;0:30.356;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;22;1:18.344;2;;21.881;2;26.846;2;29.617;0;128.0;32:08.332;16:35;0:21.881;0:26.846;0:29.617;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;23;1:18.879;0;;21.949;0;26.977;0;29.953;0;127.1;33:27.211;16:37;0:21.949;0:26.977;0:29.953;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;24;1:20.082;0;;22.711;0;27.324;0;30.047;0;125.2;34:47.293;16:38;0:22.711;0:27.324;0:30.047;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;25;1:20.014;0;;22.372;0;27.440;0;30.202;0;125.3;36:07.307;16:39;0:22.372;0:27.440;0:30.202;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;26;1:19.658;0;;22.334;0;27.400;0;29.924;0;125.9;37:26.965;16:41;0:22.334;0:27.400;0:29.924;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;27;1:18.568;0;;22.020;0;27.036;0;29.512;2;127.6;38:45.533;16:42;0:22.020;0:27.036;0:29.512;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;28;1:19.292;0;;21.988;0;27.564;0;29.740;0;126.4;40:04.825;16:43;0:21.988;0:27.564;0:29.740;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;29;1:19.430;0;;22.211;0;27.421;0;29.798;0;126.2;41:24.255;16:44;0:22.211;0:27.421;0:29.798;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;30;1:19.820;0;;22.370;0;27.412;0;30.038;0;125.6;42:44.075;16:46;0:22.370;0:27.412;0:30.038;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;31;1:19.399;0;;22.125;0;27.573;0;29.701;0;126.3;44:03.474;16:47;0:22.125;0:27.573;0:29.701;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
11;0;1;1:28.085;0;;29.844;0;27.975;0;30.266;0;113.8;1:28.085;16:05;0:29.844;0:27.975;0:30.266;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:20.435;0;;22.679;0;27.627;0;30.129;0;124.6;2:48.520;16:06;0:22.679;0:27.627;0:30.129;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
