NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:09.573;0;;1:02.108;0;33.529;0;33.936;0;71.1;2:09.573;07:47;1:02.108;0:33.529;0:33.936;;Nelson PIQUET JR;0:00:34.590;;2;NEXTEV TCR Formula E Team;;
1;0;2;1:25.277;0;;22.424;0;31.730;0;31.123;0;108.1;3:34.850;07:48;0:22.424;0:31.730;0:31.123;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;3;1:23.904;0;;21.769;0;31.706;0;30.429;0;109.8;4:58.754;07:49;0:21.769;0:31.706;0:30.429;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;4;8:12.807;0;B;29.939;0;1:03.310;0;6:39.558;0;18.7;13:11.561;07:58;0:29.939;1:03.310;6:39.558;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;5;1:38.478;0;;33.698;0;33.911;0;30.869;0;93.6;14:50.039;07:59;0:33.698;0:33.911;0:30.869;;Nelson PIQUET JR;0:05:56.833;;2;NEXTEV TCR Formula E Team;;
1;0;6;1:24.332;0;;21.772;0;31.653;0;30.907;0;109.3;16:14.371;08:01;0:21.772;0:31.653;0:30.907;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;7;1:23.383;0;;21.383;0;31.228;0;30.772;0;110.5;17:37.754;08:02;0:21.383;0:31.228;0:30.772;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;8;1:25.734;0;;21.558;0;33.355;0;30.821;0;107.5;19:03.488;08:04;0:21.558;0:33.355;0:30.821;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;9;1:22.950;0;;21.127;0;31.375;0;30.448;0;111.1;20:26.438;08:05;0:21.127;0:31.375;0:30.448;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;10;14:44.419;0;B;42.949;0;1:02.383;0;12:59.087;0;10.4;35:10.857;08:20;0:42.949;1:02.383;12:59.087;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
1;0;11;1:45.503;0;;34.098;0;33.455;0;37.950;0;87.4;36:56.360;08:21;0:34.098;0:33.455;0:37.950;;Nelson PIQUET JR;0:12:17.254;;2;NEXTEV TCR Formula E Team;;
1;0;12;1:28.464;0;;24.640;0;31.242;0;32.582;0;104.2;38:24.824;08:23;0:24.640;0:31.242;0:32.582;;Nelson PIQUET JR;;;2;NEXTEV TCR Formula E Team;;
