NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;21:39.386;0;;20:35.086;0;33.306;0;30.994;0;7.1;21:39.386;10:21;20:35.086;0:33.306;0:30.994;;Nelson PIQUET JR;0:20:08.643;;3;NEXTEV TCR Formula E Team;;
1;0;2;1:24.972;0;;21.644;0;32.309;0;31.019;0;108.5;23:04.358;10:23;0:21.644;0:32.309;0:31.019;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;3;1:21.559;2;;20.712;2;30.885;2;29.962;2;113.0;24:25.917;10:24;0:20.712;0:30.885;0:29.962;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
11;0;1;11:42.201;0;;10:34.425;0;34.399;0;33.377;0;13.1;11:42.201;10:11;10:34.425;0:34.399;0:33.377;;Lucas DI GRASSI;0:10:08.540;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:31.163;0;;23.262;0;35.530;0;32.371;0;101.1;13:13.364;10:13;0:23.262;0:35.530;0:32.371;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:20.449;2;;20.168;3;30.213;3;30.068;2;114.6;14:33.813;10:14;0:20.168;0:30.213;0:30.068;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
12;0;1;30:34.288;0;B;;0;;0;;0;5.0;30:34.288;10:30;;;;;Jacques VILLENEUVE;;;4;Venturi Formula E Team;;
12;0;2;1:35.312;0;;28.692;0;32.843;0;33.777;0;96.7;32:09.600;10:32;0:28.692;0:32.843;0:33.777;;Jacques VILLENEUVE;;;4;Venturi Formula E Team;;
12;0;3;1:28.521;0;;21.306;0;33.762;0;33.453;0;104.1;33:38.121;10:33;0:21.306;0:33.762;0:33.453;;Jacques VILLENEUVE;;;4;Venturi Formula E Team;;
12;0;4;1:20.754;2;;20.344;2;30.571;2;29.839;2;114.1;34:58.875;10:34;0:20.344;0:30.571;0:29.839;;Jacques VILLENEUVE;;;4;Venturi Formula E Team;;
