NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
4;0;1;7:36.019;0;B;;0;;0;;0;20.2;7:36.019;10:52;;;;;Stéphane SARRAZIN;;;3;Venturi Formula E Team;;
4;0;2;3:03.043;0;;2:00.254;0;32.389;0;30.400;0;50.3;10:39.062;10:55;2:00.254;0:32.389;0:30.400;;Stéphane SARRAZIN;;;3;Venturi Formula E Team;;
4;0;3;1:20.639;2;;20.681;2;30.270;3;29.688;2;114.3;11:59.701;10:56;0:20.681;0:30.270;0:29.688;;Stéphane SARRAZIN;;;3;Venturi Formula E Team;;
55;0;1;1:36.508;0;;31.494;0;33.549;0;31.465;0;95.5;1:36.508;10:46;0:31.494;0:33.549;0:31.465;;Antonio Felix DA COSTA;0:00:02.748;;2;Team Aguri;;
55;0;2;1:20.975;2;;20.511;2;30.558;2;29.906;2;113.8;2:57.483;10:47;0:20.511;0:30.558;0:29.906;;Antonio Felix DA COSTA;;;2;Team Aguri;;
6;0;1;5:14.627;0;B;;0;;0;;0;29.3;5:14.627;10:50;;;;;Loïc DUVAL;;;1;Dragon Racing;;
6;0;2;2:23.240;0;;1:20.729;0;31.773;0;30.738;0;64.3;7:37.867;10:52;1:20.729;0:31.773;0:30.738;;Loïc DUVAL;;;1;Dragon Racing;;
6;0;3;1:20.886;2;;20.541;2;30.410;2;29.935;2;113.9;8:58.753;10:53;0:20.541;0:30.410;0:29.935;;Loïc DUVAL;;;1;Dragon Racing;;
8;0;1;4:36.980;0;;3:29.036;0;36.271;0;31.673;0;33.3;4:36.980;10:49;3:29.036;0:36.271;0:31.673;;Nicolas PROST;0:00:49.503;;1;Renault e.Dams;;
8;0;2;1:21.786;2;;20.271;3;30.918;2;30.597;2;112.7;5:58.766;10:50;0:20.271;0:30.918;0:30.597;;Nicolas PROST;;;1;Renault e.Dams;;
9;0;1;10:23.582;0;B;;0;;0;;0;14.8;10:23.582;10:55;;;;;Sébastien BUEMI;;;2;Renault e.Dams;;
9;0;2;3:17.698;0;;2:06.289;0;37.878;0;33.531;0;46.6;13:41.280;10:58;2:06.289;0:37.878;0:33.531;;Sébastien BUEMI;;;2;Renault e.Dams;;
9;0;3;1:20.196;3;;20.427;2;30.355;2;29.414;3;114.9;15:01.476;11:00;0:20.427;0:30.355;0:29.414;;Sébastien BUEMI;;;2;Renault e.Dams;;
