POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;11;Classified;33;50:17.449;-;-;21;1:23.877;109.9;ABT Schaeffler Audi Sport;;2;;ABT Schaeffler FE01;;Lucas;DI GRASSI;;BRA;BRA;;
2;2;Classified;33;50:31.333;+13.884;+13.884;14;1:24.273;109.4;DS Virgin Racing Formula E Team;;3;;Virgin Racing Engineering DSV-01;;Sam;BIRD;;GBR;GBR;;
3;27;Classified;33;50:47.225;+29.776;+15.892;25;1:24.183;109.5;Andretti Formula E Race Team;;2;;SRT01-e;;Robin;FRIJNS;;NED;NED;;
4;4;Classified;33;50:50.077;+32.628;+2.852;4;1:23.784;110.0;Venturi Formula E Team;;3;;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;FRA;FRA;;
5;21;Classified;33;50:51.853;+34.404;+1.776;29;1:24.311;109.3;Mahindra Racing Formula E Team;;1;;Mahindra M2ELECTRO;;Bruno;SENNA;;BRA;BRA;;
6;55;Classified;33;50:54.374;+36.925;+2.521;10;1:24.045;109.7;Team Aguri;;2;;SRT01-e;;Antonio Felix;DA COSTA;;PRT;PRT;;
7;66;Classified;33;50:54.732;+37.283;+0.358;14;1:24.178;109.5;ABT Schaeffler Audi Sport;;4;;ABT Schaeffler FE01;;Daniel;ABT;;DEU;DEU;;
8;1;Classified;33;50:58.072;+40.623;+3.340;29;1:23.889;109.9;NEXTEV TCR Formula E Team;;3;;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;BRA;BRA;;
9;23;Classified;33;51:10.353;+52.904;+12.281;27;1:23.366;110.5;Mahindra Racing Formula E Team;;1;;Mahindra M2ELECTRO;;Nick;HEIDFELD;;DEU;DEU;;
10;8;Classified;33;51:11.144;+53.695;+0.791;17;1:23.240;110.7;Renault e.Dams;;1;;Renault Z.E 15;;Nicolas;PROST;;FRA;FRA;;
11;12;Classified;33;51:16.147;+58.698;+5.003;3;1:24.753;108.7;Venturi Formula E Team;;4;;Venturi VM200-FE-01;;Jacques;VILLENEUVE;;CAN;CAN;;
12;9;Classified;33;51:25.177;+1:07.728;+9.030;22;1:22.748;111.4;Renault e.Dams;;2;;Renault Z.E 15;;Sébastien;BUEMI;;CHE;CHE;;
13;28;Classified;33;51:41.913;+1:24.464;+16.736;2;1:25.872;107.3;Andretti Formula E Race Team;;4;;SRT01-e;;Simona;DE SILVESTRO;;CHE;CHE;;
14;7;Classified;32;48:54.882;1 Lap;1 Lap;22;1:24.060;109.6;Dragon Racing;;4;;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;BEL;BEL;;
15;77;Classified;32;50:31.746;1 Lap;+1:36.864;3;1:24.981;108.4;Team Aguri;;3;;SRT01-e;;Nathanaël;BERTHON;;FRA;FRA;;
16;6;Classified;29;44:34.797;4 Laps;3 Laps;13;1:23.827;109.9;Dragon Racing;;1;;Venturi VM200-FE-01;;Loïc;DUVAL;;FRA;FRA;;
;88;Not classified;4;6:04.603;;;3;1:25.862;107.3;NEXTEV TCR Formula E Team;;4;;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;GBR;GBR;;
;25;Not classified;0;;;;0;;;DS Virgin Racing Formula E Team;;3;;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;FRA;FRA;;
