NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:41.642;0;;35.574;0;33.790;0;32.278;0;90.7;1:41.642;14:07;0:35.574;0:33.790;0:32.278;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;2;1:25.806;0;;22.034;0;32.249;0;31.523;0;107.4;3:07.448;14:08;0:22.034;0:32.249;0:31.523;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;3;1:25.734;0;;21.818;0;32.258;0;31.658;0;107.5;4:33.182;14:10;0:21.818;0:32.258;0:31.658;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;4;1:25.553;0;;21.659;0;32.401;0;31.493;0;107.7;5:58.735;14:11;0:21.659;0:32.401;0:31.493;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;5;1:31.360;0;;21.807;0;32.563;0;36.990;0;100.9;7:30.095;14:13;0:21.807;0:32.563;0:36.990;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;6;2:45.952;0;;35.301;0;1:12.404;0;58.247;0;55.5;10:16.047;14:15;0:35.301;1:12.404;0:58.247;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;7;2:17.200;0;;48.652;0;51.904;0;36.644;0;67.2;12:33.247;14:18;0:48.652;0:51.904;0:36.644;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;8;1:26.250;0;;22.049;0;32.709;0;31.492;0;106.9;13:59.497;14:19;0:22.049;0:32.709;0:31.492;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;9;1:28.550;0;;22.799;0;33.676;0;32.075;0;104.1;15:28.047;14:21;0:22.799;0:33.676;0:32.075;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;10;1:28.392;0;;21.970;0;32.462;0;33.960;0;104.3;16:56.439;14:22;0:21.970;0:32.462;0:33.960;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;11;1:27.699;0;;23.208;0;32.707;0;31.784;0;105.1;18:24.138;14:23;0:23.208;0:32.707;0:31.784;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;12;1:26.883;0;;22.083;0;32.863;0;31.937;0;106.1;19:51.021;14:25;0:22.083;0:32.863;0:31.937;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;13;1:26.987;0;;21.935;0;32.727;0;32.325;0;105.9;21:18.008;14:26;0:21.935;0:32.727;0:32.325;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;14;1:27.852;0;;22.725;0;32.914;0;32.213;0;104.9;22:45.860;14:28;0:22.725;0:32.914;0:32.213;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;15;1:26.755;0;;21.857;0;32.958;0;31.940;0;106.2;24:12.615;14:29;0:21.857;0:32.958;0:31.940;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;16;1:26.700;0;;21.757;0;32.576;0;32.367;0;106.3;25:39.315;14:31;0:21.757;0:32.576;0:32.367;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;17;1:27.514;0;;22.017;0;33.442;0;32.055;0;105.3;27:06.829;14:32;0:22.017;0:33.442;0:32.055;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;18;1:27.288;0;;22.019;0;33.259;0;32.010;0;105.6;28:34.117;14:34;0:22.019;0:33.259;0:32.010;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;19;1:27.607;0;;22.240;0;33.299;0;32.068;0;105.2;30:01.724;14:35;0:22.240;0:33.299;0:32.068;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;20;2:20.445;0;B;22.549;0;34.108;0;1:23.788;0;65.6;32:22.169;14:37;0:22.549;0:34.108;1:23.788;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;21;1:29.915;0;;26.006;0;32.393;0;31.516;0;102.5;33:52.084;14:39;0:26.006;0:32.393;0:31.516;;Nelson PIQUET JR;0:01:00.441;;3;NEXTEV TCR Formula E Team;;
1;0;22;1:25.795;0;;22.308;0;32.436;0;31.051;0;107.4;35:17.879;14:40;0:22.308;0:32.436;0:31.051;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;23;1:25.290;0;;21.580;0;32.189;0;31.521;0;108.1;36:43.169;14:42;0:21.580;0:32.189;0:31.521;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;24;1:24.991;0;;21.436;0;31.847;0;31.708;0;108.4;38:08.160;14:43;0:21.436;0:31.847;0:31.708;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;25;1:25.713;0;;21.558;0;32.768;0;31.387;0;107.5;39:33.873;14:45;0:21.558;0:32.768;0:31.387;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
