NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
2;0;1;3:59.399;0;;3:13.055;0;21.522;0;24.822;0;34.2;3:59.399;12:03:59.399;3:13.055;0:21.522;0:24.822;;Sam BIRD;0:02:44.011;;1;DS Virgin Racing;VIRGIN;
2;0;2;1:18.092;0;;26.735;0;22.802;0;28.555;0;105.0;5:17.491;12:05:17.491;0:26.735;0:22.802;0:28.555;;Sam BIRD;;;1;DS Virgin Racing;VIRGIN;
2;0;3;1:08.321;4;;25.606;4;19.457;4;23.258;4;120.0;6:25.812;12:06:25.812;0:25.606;0:19.457;0:23.258;;Sam BIRD;;;1;DS Virgin Racing;VIRGIN;
27;0;1;3:37.330;0;;2:48.652;0;22.489;0;26.189;0;37.7;3:37.330;12:03:37.330;2:48.652;0:22.489;0:26.189;;Robin FRIJNS;0:02:15.524;;1;Andretti Formula E;ANDRETTI;
27;0;2;1:12.579;0;;27.319;0;20.992;0;24.268;0;112.9;4:49.909;12:04:49.909;0:27.319;0:20.992;0:24.268;;Robin FRIJNS;;;1;Andretti Formula E;ANDRETTI;
27;0;3;1:09.630;2;;26.013;2;19.767;2;23.850;2;117.7;5:59.539;12:05:59.539;0:26.013;0:19.767;0:23.850;;Robin FRIJNS;;;1;Andretti Formula E;ANDRETTI;
28;0;1;3:56.731;0;;3:09.685;0;21.805;0;25.241;0;34.6;3:56.731;12:03:56.731;3:09.685;0:21.805;0:25.241;;Antonio Felix DA COSTA;0:02:40.418;;1;Andretti Formula E;ANDRETTI;
28;0;2;1:15.545;0;;27.272;0;21.101;0;27.172;0;108.5;5:12.276;12:05:12.276;0:27.272;0:21.101;0:27.172;;Antonio Felix DA COSTA;;;1;Andretti Formula E;ANDRETTI;
28;0;3;1:11.147;2;;27.025;2;20.389;2;23.733;2;115.2;6:23.423;12:06:23.423;0:27.025;0:20.389;0:23.733;;Antonio Felix DA COSTA;;;1;Andretti Formula E;ANDRETTI;
47;0;1;3:43.313;0;;2:54.222;0;23.025;0;26.066;0;36.7;3:43.313;12:03:43.313;2:54.222;0:23.025;0:26.066;;Adam CARROLL;0:02:23.416;;1;Panasonic Jaguar Racing;JAGUAR;
47;0;2;1:13.441;0;;27.359;0;21.435;0;24.647;0;111.6;4:56.754;12:04:56.754;0:27.359;0:21.435;0:24.647;;Adam CARROLL;;;1;Panasonic Jaguar Racing;JAGUAR;
47;0;3;1:09.898;2;;26.237;2;19.972;2;23.689;2;117.3;6:06.652;12:06:06.652;0:26.237;0:19.972;0:23.689;;Adam CARROLL;;;1;Panasonic Jaguar Racing;JAGUAR;
66;0;1;3:54.061;0;;3:05.476;0;23.125;0;25.460;0;35.0;3:54.061;12:03:54.061;3:05.476;0:23.125;0:25.460;;Daniel ABT;0:02:32.771;;1;ABT Schaeffler Audi Sport;ABT;
66;0;2;1:14.928;0;;26.925;0;21.799;0;26.204;0;109.4;5:08.989;12:05:08.989;0:26.925;0:21.799;0:26.204;;Daniel ABT;;;1;ABT Schaeffler Audi Sport;ABT;
66;0;3;1:08.620;2;;25.651;2;19.545;2;23.424;2;119.5;6:17.609;12:06:17.609;0:25.651;0:19.545;0:23.424;;Daniel ABT;;;1;ABT Schaeffler Audi Sport;ABT;
