NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:25.086;0;;37.153;0;22.356;0;25.577;0;96.3;1:25.086;12:46:25.086;0:37.153;0:22.356;0:25.577;;Lucas DI GRASSI;0:00:05.345;;3;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:08.312;3;;25.551;2;19.511;2;23.250;2;120.0;2:33.398;12:47:33.398;0:25.551;0:19.511;0:23.250;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
19;0;1;10:45.035;0;;9:51.125;0;26.558;0;27.352;0;12.7;10:45.035;12:55:45.035;9:51.125;0:26.558;0:27.352;;Felix ROSENQVIST;0:09:08.529;;3;Mahindra Racing;MAHINDRA;
19;0;2;1:08.395;2;;25.429;3;19.496;3;23.470;2;119.9;11:53.430;12:56:53.430;0:25.429;0:19.496;0:23.470;;Felix ROSENQVIST;;;3;Mahindra Racing;MAHINDRA;
2;0;1;8:17.309;0;;7:28.290;0;23.295;0;25.724;0;16.5;8:17.309;12:53:17.309;7:28.290;0:23.295;0:25.724;;Sam BIRD;0:06:59.375;;1;DS Virgin Racing;VIRGIN;
2;0;2;1:09.724;2;;25.726;2;20.432;2;23.566;2;117.6;9:27.033;12:54:27.033;0:25.726;0:20.432;0:23.566;;Sam BIRD;;;1;DS Virgin Racing;VIRGIN;
23;0;1;6:07.741;0;;5:10.539;0;28.112;0;29.090;0;22.3;6:07.741;12:51:07.741;5:10.539;0:28.112;0:29.090;;Nick HEIDFELD;0:04:33.148;;4;Mahindra Racing;MAHINDRA;
23;0;2;1:08.650;2;;25.624;2;19.609;2;23.417;2;119.4;7:16.391;12:52:16.391;0:25.624;0:19.609;0:23.417;;Nick HEIDFELD;;;4;Mahindra Racing;MAHINDRA;
37;0;1;3:41.737;0;;2:52.450;0;24.419;0;24.868;0;37.0;3:41.737;12:48:41.737;2:52.450;0:24.419;0:24.868;;José Maria LOPEZ;0:02:19.237;;3;DS Virgin Racing;VIRGIN;
37;0;2;1:08.313;2;;25.558;2;19.509;2;23.246;3;120.0;4:50.050;12:49:50.050;0:25.558;0:19.509;0:23.246;;José Maria LOPEZ;;;3;DS Virgin Racing;VIRGIN;
