POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5
1;19;Classified;44;53:19.661;-;-;27;1:10.888;115.6;Mahindra Racing;;;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;RST;;;;;
2;11;Classified;44;53:21.893;2.232;2.232;27;1:11.070;115.3;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;
3;23;Classified;44;53:23.719;4.058;1.826;27;1:10.948;115.5;Mahindra Racing;;;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;HEI;;;;;
4;37;Classified;44;53:33.299;13.638;9.580;27;1:11.224;115.1;DS Virgin Racing;;;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;LOP;;;;;
5;8;Classified;44;53:38.729;19.068;5.430;28;1:11.117;115.3;Renault e.dams;;;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;PRO;;;;;
6;66;Classified;44;53:39.460;19.799;+0.731;31;1:11.241;115.1;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffler FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;ABT;;;;;
7;2;Classified;44;53:39.726;20.065;+0.266;27;1:10.949;115.5;DS Virgin Racing;;;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;
8;25;Classified;44;53:40.350;20.689;+0.624;26;1:11.352;114.9;TECHEETAH;;;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;;;;;
9;5;Classified;44;53:58.691;39.030;18.341;34;1:11.832;114.1;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;ENG;;;;;
10;88;Classified;44;54:00.646;40.985;1.955;26;1:11.787;114.2;NEXTEV NIO;;;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;TUR;;;;;
11;33;Classified;44;54:02.343;42.682;1.697;24;1:11.580;114.5;TECHEETAH;;;1113;Renault Z.E. 16;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;SAR;;;;;
12;3;Classified;44;54:02.641;42.980;+0.298;27;1:11.574;114.5;NEXTEV NIO;;;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;PIQ;;;;;
13;7;Classified;44;54:05.373;45.712;2.732;32;1:11.822;114.1;Faraday Future Dragon Racing;;;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;;;;;
14;47;Classified;44;54:09.319;49.658;3.946;39;1:11.687;114.3;Panasonic Jaguar Racing;;;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;CAR;;;;;
15;6;Classified;44;54:18.671;59.010;9.352;30;1:12.207;113.5;Faraday Future Dragon Racing;;;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;DUV;;;;;
16;28;Classified;44;54:19.930;+1:00.269;1.259;32;1:11.131;115.2;Andretti Formula E;;;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;;;;;
17;27;Classified;44;54:22.124;+1:02.463;2.194;25;1:11.616;114.5;Andretti Formula E;;;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;
18;4;Classified;44;54:27.356;+1:07.695;5.232;24;1:11.702;114.3;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Tom;DILLMANN;;FRA;FRA;DIL;;;;;
;20;Not classified;16;51:46.210;;;16;1:10.224;116.7;Panasonic Jaguar Racing;;;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;
;9;Disqualified;44;53:37.549;;;30;1:10.963;115.5;Renault e.dams;;;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;
