NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:15.602;0;;30.816;0;20.503;0;24.283;0;108.4;1:15.602;16:05:01.897;0:30.816;0:20.503;0:24.283;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:12.004;0;;26.912;0;20.609;0;24.483;0;113.8;2:27.606;16:06:13.901;0:26.912;0:20.609;0:24.483;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:11.586;0;;26.685;0;20.543;0;24.358;0;114.5;3:39.192;16:07:25.487;0:26.685;0:20.543;0:24.358;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:11.640;0;;26.699;0;20.485;0;24.456;0;114.4;4:50.832;16:08:37.127;0:26.699;0:20.485;0:24.456;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:11.376;0;;26.605;0;20.446;0;24.325;0;114.8;6:02.208;16:09:48.503;0:26.605;0:20.446;0:24.325;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:11.478;0;;26.643;0;20.463;0;24.372;0;114.7;7:13.686;16:10:59.981;0:26.643;0:20.463;0:24.372;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:11.380;0;;26.563;0;20.437;0;24.380;0;114.8;8:25.066;16:12:11.361;0:26.563;0:20.437;0:24.380;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:11.454;0;;26.694;0;20.452;0;24.308;0;114.7;9:36.520;16:13:22.815;0:26.694;0:20.452;0:24.308;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:11.266;0;;26.480;0;20.491;0;24.295;0;115.0;10:47.786;16:14:34.081;0:26.480;0:20.491;0:24.295;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:11.476;0;;26.592;0;20.542;0;24.342;0;114.7;11:59.262;16:15:45.557;0:26.592;0:20.542;0:24.342;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:11.850;0;;27.007;0;20.534;0;24.309;0;114.1;13:11.112;16:16:57.407;0:27.007;0:20.534;0:24.309;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;12;1:11.664;0;;26.823;0;20.562;0;24.279;0;114.4;14:22.776;16:18:09.071;0:26.823;0:20.562;0:24.279;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;13;1:11.605;0;;26.827;0;20.449;0;24.329;0;114.5;15:34.381;16:19:20.676;0:26.827;0:20.449;0:24.329;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;14;1:11.727;0;;26.971;0;20.418;0;24.338;0;114.3;16:46.108;16:20:32.403;0:26.971;0:20.418;0:24.338;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;15;1:11.833;0;;26.844;0;20.578;0;24.411;0;114.1;17:57.941;16:21:44.236;0:26.844;0:20.578;0:24.411;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;16;1:11.825;0;;26.834;0;20.634;0;24.357;0;114.1;19:09.766;16:22:56.061;0:26.834;0:20.634;0:24.357;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;17;1:11.757;0;;26.785;0;20.523;0;24.449;0;114.2;20:21.523;16:24:07.818;0:26.785;0:20.523;0:24.449;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;18;1:12.035;0;;26.934;0;20.601;0;24.500;0;113.8;21:33.558;16:25:19.853;0:26.934;0:20.601;0:24.500;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;19;1:11.987;0;;26.878;0;20.613;0;24.496;0;113.9;22:45.545;16:26:31.840;0:26.878;0:20.613;0:24.496;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;20;1:12.379;0;;26.972;0;20.679;0;24.728;0;113.3;23:57.924;16:27:44.219;0:26.972;0:20.679;0:24.728;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;21;1:13.207;0;;27.347;0;20.988;0;24.872;0;112.0;25:11.131;16:28:57.426;0:27.347;0:20.988;0:24.872;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;22;1:53.325;0;B;27.788;0;21.093;0;1:04.444;0;72.3;27:04.456;16:30:50.751;0:27.788;0:21.093;1:04.444;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;23;1:14.003;0;;29.645;0;20.249;2;24.109;2;110.8;28:18.459;16:32:04.754;0:29.645;0:20.249;0:24.109;;Lucas DI GRASSI;0:00:48.879;;;ABT Schaeffler Audi Sport;ABT;
11;0;24;1:11.224;0;;26.529;0;20.420;0;24.275;0;115.1;29:29.683;16:33:15.978;0:26.529;0:20.420;0:24.275;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;25;1:11.787;0;;26.828;0;20.501;0;24.458;0;114.2;30:41.470;16:34:27.765;0:26.828;0:20.501;0:24.458;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;26;1:11.240;0;;26.590;0;20.397;0;24.253;0;115.1;31:52.710;16:35:39.005;0:26.590;0:20.397;0:24.253;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;27;1:11.070;2;;26.449;2;20.353;0;24.268;0;115.3;33:03.780;16:36:50.075;0:26.449;0:20.353;0:24.268;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;28;1:11.147;0;;26.463;0;20.449;0;24.235;0;115.2;34:14.927;16:38:01.222;0:26.463;0:20.449;0:24.235;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;29;1:11.141;0;;26.479;0;20.377;0;24.285;0;115.2;35:26.068;16:39:12.363;0:26.479;0:20.377;0:24.285;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;30;1:11.279;0;;26.548;0;20.360;0;24.371;0;115.0;36:37.347;16:40:23.642;0:26.548;0:20.360;0:24.371;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;31;1:11.714;0;;26.616;0;20.545;0;24.553;0;114.3;37:49.061;16:41:35.356;0:26.616;0:20.545;0:24.553;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;32;1:11.767;0;;26.766;0;20.555;0;24.446;0;114.2;39:00.828;16:42:47.123;0:26.766;0:20.555;0:24.446;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;33;1:11.664;0;;26.671;0;20.609;0;24.384;0;114.4;40:12.492;16:43:58.787;0:26.671;0:20.609;0:24.384;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;34;1:11.578;0;;26.694;0;20.561;0;24.323;0;114.5;41:24.070;16:45:10.365;0:26.694;0:20.561;0:24.323;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;35;1:11.546;0;;26.640;0;20.531;0;24.375;0;114.6;42:35.616;16:46:21.911;0:26.640;0:20.531;0:24.375;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;36;1:11.378;0;;26.590;0;20.457;0;24.331;0;114.8;43:46.994;16:47:33.289;0:26.590;0:20.457;0:24.331;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
