NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:28.590;0;;37.284;0;23.710;0;27.596;0;92.5;1:28.590;10:31:28.590;0:37.284;0:23.710;0:27.596;;Lucas DI GRASSI;0:00:05.494;;;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:15.301;0;;28.416;0;22.222;0;24.663;0;108.9;2:43.891;10:32:43.891;0:28.416;0:22.222;0:24.663;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:09.679;0;;25.911;0;19.951;0;23.817;0;117.6;3:53.570;10:33:53.570;0:25.911;0:19.951;0:23.817;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:25.905;0;;31.373;0;27.675;0;26.857;0;95.4;5:19.475;10:35:19.475;0:31.373;0:27.675;0:26.857;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:09.794;0;;25.886;0;19.946;0;23.962;0;117.4;6:29.269;10:36:29.269;0:25.886;0:19.946;0:23.962;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;6;4:15.266;0;B;30.565;0;21.925;0;3:22.776;0;32.1;10:44.535;10:40:44.535;0:30.565;0:21.925;3:22.776;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:25.320;0;;34.632;0;22.033;0;28.655;0;96.1;12:09.855;10:42:09.855;0:34.632;0:22.033;0:28.655;;Lucas DI GRASSI;0:03:08.366;;;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:16.156;0;;26.356;0;22.804;0;26.996;0;107.6;13:26.011;10:43:26.011;0:26.356;0:22.804;0:26.996;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:09.818;0;;25.928;0;19.975;0;23.915;0;117.4;14:35.829;10:44:35.829;0:25.928;0:19.975;0:23.915;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:22.719;0;;30.004;0;26.973;0;25.742;0;99.1;15:58.548;10:45:58.548;0:30.004;0:26.973;0:25.742;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:11.779;0;;26.501;0;20.588;0;24.690;0;114.2;17:10.327;10:47:10.327;0:26.501;0:20.588;0:24.690;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;12;3:35.703;0;B;26.958;0;20.696;0;2:48.049;0;38.0;20:46.030;10:50:46.030;0:26.958;0:20.696;2:48.049;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;13;1:20.490;0;;32.195;0;22.107;0;26.188;0;101.8;22:06.520;10:52:06.520;0:32.195;0:22.107;0:26.188;;Lucas DI GRASSI;0:02:32.675;;;ABT Schaeffler Audi Sport;ABT;
11;0;14;1:24.223;0;;28.599;0;22.796;0;32.828;0;97.3;23:30.743;10:53:30.743;0:28.599;0:22.796;0:32.828;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;15;1:08.206;2;;25.500;2;19.454;2;23.252;2;120.2;24:38.949;10:54:38.949;0:25.500;0:19.454;0:23.252;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;16;1:28.667;0;;29.029;0;29.264;0;30.374;0;92.4;26:07.616;10:56:07.616;0:29.029;0:29.264;0:30.374;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;17;1:17.094;0;;25.965;0;23.270;0;27.859;0;106.3;27:24.710;10:57:24.710;0:25.965;0:23.270;0:27.859;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;18;1:09.484;0;;25.922;0;19.855;0;23.707;0;118.0;28:34.194;10:58:34.194;0:25.922;0:19.855;0:23.707;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;19;1:20.963;0;;32.468;0;23.425;0;25.070;0;101.2;29:55.157;10:59:55.157;0:32.468;0:23.425;0:25.070;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;20;1:09.418;0;;25.954;0;19.749;0;23.715;0;118.1;31:04.575;11:01:04.575;0:25.954;0:19.749;0:23.715;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
19;0;1;4:03.506;0;;3:03.164;0;29.708;0;30.634;0;33.7;4:03.506;10:34:03.506;3:03.164;0:29.708;0:30.634;;Felix ROSENQVIST;0:02:26.262;;;Mahindra Racing;MAHINDRA;
19;0;2;1:30.029;0;;33.044;0;29.960;0;27.025;0;91.1;5:33.535;10:35:33.535;0:33.044;0:29.960;0:27.025;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;3;1:07.753;2;;25.257;2;19.453;0;23.043;0;121.0;6:41.288;10:36:41.288;0:25.257;0:19.453;0:23.043;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;4;1:09.651;0;;26.004;0;20.032;0;23.615;0;117.7;7:50.939;10:37:50.939;0:26.004;0:20.032;0:23.615;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;5;6:33.087;0;B;31.681;0;24.106;0;5:37.300;0;20.9;14:24.026;10:44:24.026;0:31.681;0:24.106;5:37.300;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;6;1:37.736;0;;39.924;0;27.313;0;30.499;0;83.9;16:01.762;10:46:01.762;0:39.924;0:27.313;0:30.499;;Felix ROSENQVIST;0:05:20.282;;;Mahindra Racing;MAHINDRA;
19;0;7;1:29.271;0;;33.199;0;29.755;0;26.317;0;91.8;17:31.033;10:47:31.033;0:33.199;0:29.755;0:26.317;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;8;1:07.872;0;;25.445;0;19.447;2;22.980;3;120.8;18:38.905;10:48:38.905;0:25.445;0:19.447;0:22.980;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;9;1:33.955;0;;31.687;0;30.840;0;31.428;0;87.2;20:12.860;10:50:12.860;0:31.687;0:30.840;0:31.428;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;10;1:26.383;0;;33.339;0;26.558;0;26.486;0;94.9;21:39.243;10:51:39.243;0:33.339;0:26.558;0:26.486;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;11;1:09.271;0;;25.802;0;19.867;0;23.602;0;118.3;22:48.514;10:52:48.514;0:25.802;0:19.867;0:23.602;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;12;1:09.398;0;;25.910;0;19.834;0;23.654;0;118.1;23:57.912;10:53:57.912;0:25.910;0:19.834;0:23.654;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;13;1:33.109;0;;31.179;0;29.927;0;32.003;0;88.0;25:31.021;10:55:31.021;0:31.179;0:29.927;0:32.003;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;14;1:35.299;0;;33.877;0;28.737;0;32.685;0;86.0;27:06.320;10:57:06.320;0:33.877;0:28.737;0:32.685;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;15;1:11.312;0;;25.777;0;19.789;0;25.746;0;114.9;28:17.632;10:58:17.632;0:25.777;0:19.789;0:25.746;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;16;1:25.071;0;;29.571;0;27.477;0;28.023;0;96.4;29:42.703;10:59:42.703;0:29.571;0:27.477;0:28.023;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;17;1:09.340;0;;25.896;0;19.799;0;23.645;0;118.2;30:52.043;11:00:52.043;0:25.896;0:19.799;0:23.645;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
2;0;1;5:07.984;0;;4:20.972;0;21.922;0;25.090;0;26.6;5:07.984;10:35:07.984;4:20.972;0:21.922;0:25.090;;Sam BIRD;0:03:47.809;;;DS Virgin Racing;VIRGIN;
2;0;2;1:18.879;0;;26.891;0;21.987;0;30.001;0;103.9;6:26.863;10:36:26.863;0:26.891;0:21.987;0:30.001;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;3;1:07.916;2;;25.341;2;19.317;3;23.258;2;120.7;7:34.779;10:37:34.779;0:25.341;0:19.317;0:23.258;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;4;1:33.237;0;;30.122;0;33.073;0;30.042;0;87.9;9:08.016;10:39:08.016;0:30.122;0:33.073;0:30.042;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;5;1:09.325;0;;25.926;0;19.776;0;23.623;0;118.2;10:17.341;10:40:17.341;0:25.926;0:19.776;0:23.623;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;6;1:46.776;0;;32.793;0;37.701;0;36.282;0;76.8;12:04.117;10:42:04.117;0:32.793;0:37.701;0:36.282;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;7;1:18.058;0;;28.555;0;24.230;0;25.273;0;105.0;13:22.175;10:43:22.175;0:28.555;0:24.230;0:25.273;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;8;1:09.417;0;;26.006;0;19.749;0;23.662;0;118.1;14:31.592;10:44:31.592;0:26.006;0:19.749;0:23.662;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;9;7:00.839;0;B;27.593;0;19.986;0;6:13.260;0;19.5;21:32.431;10:51:32.431;0:27.593;0:19.986;6:13.260;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;10;1:20.378;0;;32.152;0;22.997;0;25.229;0;102.0;22:52.809;10:52:52.809;0:32.152;0:22.997;0:25.229;;Sam BIRD;0:05:58.723;;;DS Virgin Racing;VIRGIN;
2;0;11;1:16.611;0;;28.069;0;23.095;0;25.447;0;107.0;24:09.420;10:54:09.420;0:28.069;0:23.095;0:25.447;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;12;1:08.492;0;;25.732;0;19.387;0;23.373;0;119.7;25:17.912;10:55:17.912;0:25.732;0:19.387;0:23.373;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;13;1:30.863;0;;29.401;0;30.562;0;30.900;0;90.2;26:48.775;10:56:48.775;0:29.401;0:30.562;0:30.900;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;14;1:09.693;0;;26.092;0;19.771;0;23.830;0;117.6;27:58.468;10:57:58.468;0:26.092;0:19.771;0:23.830;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;15;1:31.702;0;;30.663;0;30.021;0;31.018;0;89.4;29:30.170;10:59:30.170;0:30.663;0:30.021;0:31.018;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
2;0;16;1:10.081;0;;26.334;0;19.917;0;23.830;0;117.0;30:40.251;11:00:40.251;0:26.334;0:19.917;0:23.830;;Sam BIRD;;;;DS Virgin Racing;VIRGIN;
20;0;1;1:56.189;0;;53.926;0;30.523;0;31.740;0;70.6;1:56.189;10:31:56.189;0:53.926;0:30.523;0:31.740;;Mitch EVANS;0:00:14.398;;;Panasonic Jaguar Racing;JAGUAR;
20;0;2;1:35.878;0;;35.508;0;29.705;0;30.665;0;85.5;3:32.067;10:33:32.067;0:35.508;0:29.705;0:30.665;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;3;1:09.356;0;;26.385;0;19.620;2;23.351;2;118.2;4:41.423;10:34:41.423;0:26.385;0:19.620;0:23.351;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;4;1:20.674;0;;30.593;0;24.318;0;25.763;0;101.6;6:02.097;10:36:02.097;0:30.593;0:24.318;0:25.763;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;5;1:09.643;0;;25.933;2;19.992;0;23.718;0;117.7;7:11.740;10:37:11.740;0:25.933;0:19.992;0:23.718;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;6;1:13.220;0;;27.442;0;20.818;0;24.960;0;112.0;8:24.960;10:38:24.960;0:27.442;0:20.818;0:24.960;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;7;1:12.106;0;;27.029;0;20.514;0;24.563;0;113.7;9:37.066;10:39:37.066;0:27.029;0:20.514;0:24.563;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;8;1:12.213;0;;27.209;0;20.541;0;24.463;0;113.5;10:49.279;10:40:49.279;0:27.209;0:20.541;0:24.463;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;9;1:12.706;0;;27.548;0;20.554;0;24.604;0;112.7;12:01.985;10:42:01.985;0:27.548;0:20.554;0:24.604;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;10;1:36.635;0;;34.424;0;31.569;0;30.642;0;84.8;13:38.620;10:43:38.620;0:34.424;0:31.569;0:30.642;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;11;8:55.262;0;B;26.031;0;20.350;0;8:08.881;0;15.3;22:33.882;10:52:33.882;0:26.031;0:20.350;8:08.881;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;12;1:39.189;0;;39.517;0;29.282;0;30.390;0;82.6;24:13.071;10:54:13.071;0:39.517;0:29.282;0:30.390;;Mitch EVANS;0:07:52.427;;;Panasonic Jaguar Racing;JAGUAR;
20;0;13;1:27.062;0;;34.516;0;27.118;0;25.428;0;94.2;25:40.133;10:55:40.133;0:34.516;0:27.118;0:25.428;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;14;1:09.290;2;;26.038;0;19.705;0;23.547;0;118.3;26:49.423;10:56:49.423;0:26.038;0:19.705;0:23.547;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;15;1:30.293;0;;32.130;0;28.116;0;30.047;0;90.8;28:19.716;10:58:19.716;0:32.130;0:28.116;0:30.047;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
20;0;16;1:31.896;0;;33.471;0;28.026;0;30.399;0;89.2;29:51.612;10:59:51.612;0:33.471;0:28.026;0:30.399;;Mitch EVANS;;;;Panasonic Jaguar Racing;JAGUAR;
