NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
2;0;1;1:29.575;0;;38.618;0;24.128;0;26.829;0;91.5;1:29.575;12:31:29.575;0:38.618;0:24.128;0:26.829;;Sam BIRD;0:00:06.980;;4;DS Virgin Racing;VIRGIN;
2;0;2;1:21.150;0;;29.464;0;25.598;0;26.088;0;101.0;2:50.725;12:32:50.725;0:29.464;0:25.598;0:26.088;;Sam BIRD;;;4;DS Virgin Racing;VIRGIN;
2;0;3;1:07.805;4;;25.439;2;19.242;4;23.124;3;120.9;3:58.530;12:33:58.530;0:25.439;0:19.242;0:23.124;;Sam BIRD;;;4;DS Virgin Racing;VIRGIN;
25;0;1;2:16.795;0;;1:23.586;0;25.783;0;27.426;0;59.9;2:16.795;12:32:16.795;1:23.586;0:25.783;0:27.426;;Jean-Eric VERGNE;0:00:47.112;;4;TECHEETAH;TECHEETAH;
25;0;2;1:19.829;0;;32.012;0;22.108;0;25.709;0;102.7;3:36.624;12:33:36.624;0:32.012;0:22.108;0:25.709;;Jean-Eric VERGNE;;;4;TECHEETAH;TECHEETAH;
25;0;3;1:07.993;2;;25.406;3;19.331;2;23.256;2;120.6;4:44.617;12:34:44.617;0:25.406;0:19.331;0:23.256;;Jean-Eric VERGNE;;;4;TECHEETAH;TECHEETAH;
27;0;1;2:09.329;0;;1:15.197;0;25.703;0;28.429;0;63.4;2:09.329;12:32:09.329;1:15.197;0:25.703;0:28.429;;Robin FRIJNS;0:00:41.851;;4;Andretti Formula E;ANDRETTI;
27;0;2;1:16.663;0;;29.435;0;21.832;0;25.396;0;106.9;3:25.992;12:33:25.992;0:29.435;0:21.832;0:25.396;;Robin FRIJNS;;;4;Andretti Formula E;ANDRETTI;
27;0;3;1:08.583;2;;25.646;2;19.490;2;23.447;2;119.5;4:34.575;12:34:34.575;0:25.646;0:19.490;0:23.447;;Robin FRIJNS;;;4;Andretti Formula E;ANDRETTI;
6;0;1;1:38.015;0;;46.014;0;24.238;0;27.763;0;83.6;1:38.015;12:31:38.015;0:46.014;0:24.238;0:27.763;;Loïc DUVAL;0:00:11.417;;4;Faraday Future Dragon Racing;FARADAY;
6;0;2;1:20.675;0;;29.313;0;22.327;0;29.035;0;101.6;2:58.690;12:32:58.690;0:29.313;0:22.327;0:29.035;;Loïc DUVAL;;;4;Faraday Future Dragon Racing;FARADAY;
6;0;3;1:08.483;2;;25.689;2;19.536;2;23.258;2;119.7;4:07.173;12:34:07.173;0:25.689;0:19.536;0:23.258;;Loïc DUVAL;;;4;Faraday Future Dragon Racing;FARADAY;
7;0;1;2:22.870;0;;1:34.592;0;22.062;0;26.216;0;57.4;2:22.870;12:32:22.870;1:34.592;0:22.062;0:26.216;;Jérôme D'AMBROSIO;0:01:04.959;;4;Faraday Future Dragon Racing;FARADAY;
7;0;2;1:16.927;0;;27.781;0;23.054;0;26.092;0;106.6;3:39.797;12:33:39.797;0:27.781;0:23.054;0:26.092;;Jérôme D'AMBROSIO;;;4;Faraday Future Dragon Racing;FARADAY;
7;0;3;1:08.552;2;;25.598;2;19.593;2;23.361;2;119.6;4:48.349;12:34:48.349;0:25.598;0:19.593;0:23.361;;Jérôme D'AMBROSIO;;;4;Faraday Future Dragon Racing;FARADAY;
