NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;1:35.422;0;;43.460;0;25.204;0;26.758;0;85.9;1:35.422;12:46:35.422;0:43.460;0:25.204;0:26.758;;Felix ROSENQVIST;0:00:02.894;;1;Mahindra Racing;MAHINDRA;
19;0;2;1:08.208;3;;25.536;3;19.462;2;23.210;3;120.2;2:43.630;12:47:43.630;0:25.536;0:19.462;0:23.210;;Felix ROSENQVIST;;;1;Mahindra Racing;MAHINDRA;
2;0;1;10:49.847;0;;9:59.561;0;24.589;0;25.697;0;12.6;10:49.847;12:55:49.847;9:59.561;0:24.589;0:25.697;;Sam BIRD;0:09:26.557;;4;DS Virgin Racing;VIRGIN;
2;0;2;1:08.688;2;;25.538;2;19.782;2;23.368;2;119.3;11:58.535;12:56:58.535;0:25.538;0:19.782;0:23.368;;Sam BIRD;;;4;DS Virgin Racing;VIRGIN;
25;0;1;6:15.854;0;;5:19.195;0;31.014;0;25.645;0;21.8;6:15.854;12:51:15.854;5:19.195;0:31.014;0:25.645;;Jean-Eric VERGNE;0:04:39.213;;4;TECHEETAH;TECHEETAH;
25;0;2;1:09.103;2;;26.056;2;19.521;2;23.526;2;118.6;7:24.957;12:52:24.957;0:26.056;0:19.521;0:23.526;;Jean-Eric VERGNE;;;4;TECHEETAH;TECHEETAH;
37;0;1;8:33.050;0;;7:42.864;0;24.398;0;25.788;0;16.0;8:33.050;12:53:33.050;7:42.864;0:24.398;0:25.788;;José Maria LOPEZ;0:07:07.841;;3;DS Virgin Racing;VIRGIN;
37;0;2;1:08.454;2;;25.628;2;19.577;2;23.249;2;119.7;9:41.504;12:54:41.504;0:25.628;0:19.577;0:23.249;;José Maria LOPEZ;;;3;DS Virgin Racing;VIRGIN;
9;0;1;3:49.175;0;;3:00.008;0;23.550;0;25.617;0;35.8;3:49.175;12:48:49.175;3:00.008;0:23.550;0:25.617;;Sébastien BUEMI;0:02:25.601;;2;Renault e.dams;RENAULT;
9;0;2;1:08.306;2;;25.622;2;19.417;3;23.267;2;120.0;4:57.481;12:49:57.481;0:25.622;0:19.417;0:23.267;;Sébastien BUEMI;;;2;Renault e.dams;RENAULT;
