POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;46;56:02.155;-;-;27;1:11.294;115.0;Renault e.dams;;;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
2;19;Classified;46;56:09.350;+7.195;+7.195;28;1:11.328;114.9;Mahindra Racing;;;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;RST;;;;;;
3;11;Classified;46;56:13.017;+10.862;+3.667;32;1:11.507;114.6;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
4;66;Classified;46;56:15.786;+13.631;+2.769;28;1:11.701;114.3;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffler FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;ABT;;;;;;
5;37;Classified;46;56:22.479;+20.324;+6.693;32;1:11.840;114.1;DS Virgin Racing;;;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;LOP;;;;;;
6;25;Classified;46;56:22.906;+20.751;+0.427;22;1:11.804;114.2;TECHEETAH;;;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;;;;;;
7;2;Classified;46;56:24.114;+21.959;+1.208;25;1:11.850;114.1;DS Virgin Racing;;;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;;
8;8;Classified;46;56:24.310;+22.155;+0.196;26;1:11.593;114.5;Renault e.dams;;;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;PRO;;;;;;
9;88;Classified;46;56:37.104;+34.949;+12.794;25;1:12.062;113.8;NEXTEV NIO;;;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;TUR;;;;;;
10;23;Classified;46;56:37.969;+35.814;+0.865;31;1:11.378;114.8;Mahindra Racing;;;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;HEI;;;;;;
11;28;Classified;46;56:46.212;+44.057;+8.243;12;1:11.785;114.2;Andretti Formula E;;;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;;;;;;
12;3;Classified;46;56:46.594;+44.439;+0.382;34;1:11.921;114.0;NEXTEV NIO;;;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;PIQ;;;;;;
13;7;Classified;46;56:49.491;+47.336;+2.897;31;1:11.906;114.0;Faraday Future Dragon Racing;;;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;;;;;;
14;33;Classified;46;56:53.808;+51.653;+4.317;26;1:11.690;114.3;TECHEETAH;;;1113;Renault Z.E. 16;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;SAR;;;;;;
15;4;Classified;46;56:59.132;+56.977;+5.324;46;1:11.592;114.5;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Tom;DILLMANN;;FRA;FRA;DIL;;;;;;
16;47;Classified;46;57:07.581;+1:05.426;+8.449;26;1:11.881;114.0;Panasonic Jaguar Racing;;;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;CAR;;;;;;
17;20;Classified;46;57:09.173;+1:07.018;+1.592;29;1:11.815;114.1;Panasonic Jaguar Racing;;;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
18;27;Classified;46;57:14.238;+1:12.083;+5.065;25;1:12.182;113.6;Andretti Formula E;;;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
;6;Not classified;33;54:57.316;;;25;1:09.690;117.6;Faraday Future Dragon Racing;;;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;DUV;;;;;;
;5;Not classified;14;56:56.347;;;7;1:09.509;117.9;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;ENG;;;;;;
