NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:20.709;0;;34.954;0;20.914;0;24.841;0;101.6;1:20.709;16:04:59.892;0:34.954;0:20.914;0:24.841;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:12.871;0;;27.294;0;20.800;0;24.777;0;112.5;2:33.580;16:06:12.763;0:27.294;0:20.800;0:24.777;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:12.758;0;;27.272;0;20.892;0;24.594;0;112.7;3:46.338;16:07:25.521;0:27.272;0:20.892;0:24.594;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:12.099;0;;27.024;0;20.588;0;24.487;0;113.7;4:58.437;16:08:37.620;0:27.024;0:20.588;0:24.487;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:12.332;0;;26.918;0;20.703;0;24.711;0;113.3;6:10.769;16:09:49.952;0:26.918;0:20.703;0:24.711;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:12.265;0;;26.843;0;20.718;0;24.704;0;113.4;7:23.034;16:11:02.217;0:26.843;0:20.718;0:24.704;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:12.332;0;;27.038;0;20.803;0;24.491;0;113.3;8:35.366;16:12:14.549;0:27.038;0:20.803;0:24.491;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:12.348;0;;26.981;0;20.704;0;24.663;0;113.3;9:47.714;16:13:26.897;0:26.981;0:20.704;0:24.663;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:12.281;0;;26.859;0;20.745;0;24.677;0;113.4;10:59.995;16:14:39.178;0:26.859;0:20.745;0:24.677;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:12.261;0;;27.043;0;20.666;0;24.552;0;113.4;12:12.256;16:15:51.439;0:27.043;0:20.666;0:24.552;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:12.302;0;;27.050;0;20.679;0;24.573;0;113.4;13:24.558;16:17:03.741;0:27.050;0:20.679;0:24.573;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;12;1:12.358;0;;27.089;0;20.771;0;24.498;0;113.3;14:36.916;16:18:16.099;0:27.089;0:20.771;0:24.498;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;13;1:12.717;0;;27.272;0;20.669;0;24.776;0;112.7;15:49.633;16:19:28.816;0:27.272;0:20.669;0:24.776;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;14;1:12.161;0;;26.957;0;20.649;0;24.555;0;113.6;17:01.794;16:20:40.977;0:26.957;0:20.649;0:24.555;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;15;1:12.261;0;;26.940;0;20.645;0;24.676;0;113.4;18:14.055;16:21:53.238;0:26.940;0:20.645;0:24.676;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;16;1:12.066;0;;26.941;0;20.709;0;24.416;0;113.7;19:26.121;16:23:05.304;0:26.941;0:20.709;0:24.416;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;17;1:12.587;0;;27.111;0;20.678;0;24.798;0;112.9;20:38.708;16:24:17.891;0:27.111;0:20.678;0:24.798;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;18;1:12.718;0;;27.120;0;20.849;0;24.749;0;112.7;21:51.426;16:25:30.609;0:27.120;0:20.849;0:24.749;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;19;1:11.986;0;;26.970;0;20.543;0;24.473;0;113.9;23:03.412;16:26:42.595;0:26.970;0:20.543;0:24.473;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;20;1:12.270;0;;26.984;0;20.694;0;24.592;0;113.4;24:15.682;16:27:54.865;0:26.984;0:20.694;0:24.592;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;21;1:12.399;0;;27.037;0;20.607;0;24.755;0;113.2;25:28.081;16:29:07.264;0:27.037;0:20.607;0:24.755;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;22;1:12.852;0;;26.967;0;20.716;0;25.169;0;112.5;26:40.933;16:30:20.116;0:26.967;0:20.716;0:25.169;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;23;1:51.935;0;B;27.431;0;20.842;0;1:03.662;0;73.2;28:32.868;16:32:12.051;0:27.431;0:20.842;1:03.662;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;24;1:13.824;0;;29.465;0;20.197;2;24.162;2;111.0;29:46.692;16:33:25.875;0:29.465;0:20.197;0:24.162;;Lucas DI GRASSI;0:00:48.419;;;ABT Schaeffler Audi Sport;ABT;
11;0;25;1:12.009;0;;26.846;0;20.623;0;24.540;0;113.8;30:58.701;16:34:37.884;0:26.846;0:20.623;0:24.540;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;26;1:11.661;0;;26.654;0;20.496;0;24.511;0;114.4;32:10.362;16:35:49.545;0:26.654;0:20.496;0:24.511;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;27;1:11.798;0;;26.589;0;20.649;0;24.560;0;114.2;33:22.160;16:37:01.343;0:26.589;0:20.649;0:24.560;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;28;1:12.163;0;;27.159;0;20.473;0;24.531;0;113.6;34:34.323;16:38:13.506;0:27.159;0:20.473;0:24.531;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;29;1:11.848;0;;26.687;0;20.612;0;24.549;0;114.1;35:46.171;16:39:25.354;0:26.687;0:20.612;0:24.549;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;30;1:12.620;0;;26.874;0;20.577;0;25.169;0;112.9;36:58.791;16:40:37.974;0:26.874;0:20.577;0:25.169;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;31;1:12.363;0;;27.031;0;20.720;0;24.612;0;113.3;38:11.154;16:41:50.337;0:27.031;0:20.720;0:24.612;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;32;1:11.507;2;;26.585;2;20.502;0;24.420;0;114.6;39:22.661;16:43:01.844;0:26.585;0:20.502;0:24.420;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;33;1:12.251;0;;26.706;0;20.770;0;24.775;0;113.5;40:34.912;16:44:14.095;0:26.706;0:20.770;0:24.775;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;34;1:12.024;0;;26.904;0;20.567;0;24.553;0;113.8;41:46.936;16:45:26.119;0:26.904;0:20.567;0:24.553;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;35;1:11.846;0;;26.718;0;20.524;0;24.604;0;114.1;42:58.782;16:46:37.965;0:26.718;0:20.524;0:24.604;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;36;1:11.973;0;;26.858;0;20.509;0;24.606;0;113.9;44:10.755;16:47:49.938;0:26.858;0:20.509;0:24.606;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;37;1:12.224;0;;26.961;0;20.781;0;24.482;0;113.5;45:22.979;16:49:02.162;0:26.961;0:20.781;0:24.482;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;38;1:12.118;0;;26.926;0;20.645;0;24.547;0;113.7;46:35.097;16:50:14.280;0:26.926;0:20.645;0:24.547;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;39;1:12.195;0;;26.820;0;20.760;0;24.615;0;113.5;47:47.292;16:51:26.475;0:26.820;0:20.760;0:24.615;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;40;1:12.292;0;;26.981;0;20.744;0;24.567;0;113.4;48:59.584;16:52:38.767;0:26.981;0:20.744;0:24.567;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
