NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:17.280;0;;20.687;0;26.355;0;30.238;0;115.5;1:17.280;10:31:17.280;0:20.687;0:26.355;0:30.238;;Lucas DI GRASSI;0:00:07.269;;;ABT Schaeffler Audi Sport;;
11;0;2;1:16.343;0;;18.305;0;24.569;0;33.469;0;116.9;2:33.623;10:32:33.623;0:18.305;0:24.569;0:33.469;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;3;1:09.054;2;;17.640;0;23.465;3;27.949;2;129.3;3:42.677;10:33:42.677;0:17.640;0:23.465;0:27.949;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;4;1:19.033;0;;20.426;0;25.649;0;32.958;0;113.0;5:01.710;10:35:01.710;0:20.426;0:25.649;0:32.958;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;5;1:10.314;0;;18.056;0;24.068;0;28.190;0;127.0;6:12.024;10:36:12.024;0:18.056;0:24.068;0:28.190;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;6;1:16.856;0;;19.724;0;26.643;0;30.489;0;116.2;7:28.880;10:37:28.880;0:19.724;0:26.643;0:30.489;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;7;1:14.466;0;;18.081;0;24.160;0;32.225;0;119.9;8:43.346;10:38:43.346;0:18.081;0:24.160;0:32.225;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;8;1:10.355;0;;18.028;0;24.089;0;28.238;0;126.9;9:53.701;10:39:53.701;0:18.028;0:24.089;0:28.238;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;9;1:10.248;0;;18.070;0;24.080;0;28.098;0;127.1;11:03.949;10:41:03.949;0:18.070;0:24.080;0:28.098;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;10;1:17.695;0;;18.644;0;25.268;0;33.783;0;114.9;12:21.644;10:42:21.644;0:18.644;0:25.268;0:33.783;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;11;1:11.570;0;;18.197;0;25.100;0;28.273;0;124.7;13:33.214;10:43:33.214;0:18.197;0:25.100;0:28.273;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;12;1:10.569;0;;18.169;0;24.169;0;28.231;0;126.5;14:43.783;10:44:43.783;0:18.169;0:24.169;0:28.231;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;13;1:37.501;0;B;18.312;0;28.718;0;50.471;0;91.6;16:21.284;10:46:21.284;0:18.312;0:28.718;0:50.471;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;14;11:58.720;0;;11:04.313;0;25.810;0;28.597;0;12.4;28:20.004;10:58:20.004;11:04.313;0:25.810;0:28.597;;Lucas DI GRASSI;0:10:56.310;;;ABT Schaeffler Audi Sport;;
11;0;15;1:12.365;0;;18.336;0;24.286;0;29.743;0;123.4;29:32.369;10:59:32.369;0:18.336;0:24.286;0:29.743;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
19;0;1;1:43.431;0;;42.443;0;28.270;0;32.718;0;86.3;1:43.431;10:31:43.431;0:42.443;0:28.270;0:32.718;;Felix ROSENQVIST;0:00:29.096;;;Mahindra Racing;;
19;0;2;1:15.212;0;;19.453;0;25.759;0;30.000;0;118.7;2:58.643;10:32:58.643;0:19.453;0:25.759;0:30.000;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;3;1:10.908;0;;18.148;0;24.243;0;28.517;0;125.9;4:09.551;10:34:09.551;0:18.148;0:24.243;0:28.517;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;4;1:23.049;0;;19.193;0;31.202;0;32.654;0;107.5;5:32.600;10:35:32.600;0:19.193;0:31.202;0:32.654;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;5;1:10.327;0;;17.875;0;24.419;0;28.033;0;126.9;6:42.927;10:36:42.927;0:17.875;0:24.419;0:28.033;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;6;1:17.022;0;B;20.208;0;24.321;0;32.493;0;115.9;7:59.949;10:37:59.949;0:20.208;0:24.321;0:32.493;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;7;6:15.585;0;;5:13.271;0;30.107;0;32.207;0;23.8;14:15.534;10:44:15.534;5:13.271;0:30.107;0:32.207;;Felix ROSENQVIST;0:05:02.861;;;Mahindra Racing;;
19;0;8;1:08.957;2;;17.566;2;23.748;2;27.643;2;129.5;15:24.491;10:45:24.491;0:17.566;0:23.748;0:27.643;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;9;2:18.316;0;B;19.408;0;59.162;0;59.746;0;64.5;17:42.807;10:47:42.807;0:19.408;0:59.162;0:59.746;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;10;11:02.441;0;;9:58.182;0;28.399;0;35.860;0;13.5;28:45.248;10:58:45.248;9:58.182;0:28.399;0:35.860;;Felix ROSENQVIST;0:09:50.431;;;Mahindra Racing;;
19;0;11;1:09.987;0;;17.979;0;24.020;0;27.988;0;127.6;29:55.235;10:59:55.235;0:17.979;0:24.020;0:27.988;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;12;1:35.075;0;;19.651;0;32.354;0;43.070;0;93.9;31:30.310;11:01:30.310;0:19.651;0:32.354;0:43.070;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;13;1:11.254;0;;18.044;0;24.082;0;29.128;0;125.3;32:41.564;11:02:41.564;0:18.044;0:24.082;0:29.128;;Felix ROSENQVIST;;;;Mahindra Racing;;
