NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;11:20.228;0;;10:20.886;0;27.359;0;31.983;0;13.1;11:20.228;12:11:20.228;10:20.886;0:27.359;0:31.983;;Lucas DI GRASSI;0:10:07.390;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:15.443;0;;18.326;0;24.405;0;32.712;0;118.3;12:35.671;12:12:35.671;0:18.326;0:24.405;0:32.712;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:09.084;2;;17.622;2;23.610;2;27.852;2;129.2;13:44.755;12:13:44.755;0:17.622;0:23.610;0:27.852;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;4;5:57.339;0;B;21.848;0;26.798;0;5:08.693;0;25.0;19:42.094;12:19:42.094;0:21.848;0:26.798;5:08.693;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
19;0;1;24:21.710;0;;23:13.661;0;30.176;0;37.873;0;6.1;24:21.710;12:24:21.710;23:13.661;0:30.176;0:37.873;;Felix ROSENQVIST;0:22:58.357;;3;Mahindra Racing;;
19;0;2;1:24.980;0;;24.497;0;30.056;0;30.427;0;105.1;25:46.690;12:25:46.690;0:24.497;0:30.056;0:30.427;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;3;1:09.681;2;;17.820;2;23.976;2;27.885;2;128.1;26:56.371;12:26:56.371;0:17.820;0:23.976;0:27.885;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;4;3:04.773;0;B;21.504;0;57.548;0;1:45.721;0;48.3;30:01.144;12:30:01.144;0:21.504;0:57.548;1:45.721;;Felix ROSENQVIST;;;3;Mahindra Racing;;
2;0;1;1:23.945;0;;22.354;0;28.434;0;33.157;0;106.4;1:23.945;12:01:23.945;0:22.354;0:28.434;0:33.157;;Sam BIRD;0:00:07.786;;1;DS Virgin Racing;;
2;0;2;1:15.400;0;;18.292;0;27.167;0;29.941;0;118.4;2:39.345;12:02:39.345;0:18.292;0:27.167;0:29.941;;Sam BIRD;;;1;DS Virgin Racing;;
2;0;3;1:09.839;2;;17.790;2;23.839;2;28.210;2;127.8;3:49.184;12:03:49.184;0:17.790;0:23.839;0:28.210;;Sam BIRD;;;1;DS Virgin Racing;;
2;0;4;1:31.693;0;B;23.080;0;30.821;0;37.792;0;97.4;5:20.877;12:05:20.877;0:23.080;0:30.821;0:37.792;;Sam BIRD;;;1;DS Virgin Racing;;
20;0;1;2:23.331;0;;1:23.786;0;28.380;0;31.165;0;62.3;2:23.331;12:02:23.331;1:23.786;0:28.380;0:31.165;;Mitch EVANS;0:01:07.427;;1;Panasonic Jaguar Racing;;
20;0;2;1:15.023;0;;18.595;0;24.695;0;31.733;0;119.0;3:38.354;12:03:38.354;0:18.595;0:24.695;0:31.733;;Mitch EVANS;;;1;Panasonic Jaguar Racing;;
20;0;3;1:09.505;2;;17.753;2;23.866;2;27.886;2;128.5;4:47.859;12:04:47.859;0:17.753;0:23.866;0:27.886;;Mitch EVANS;;;1;Panasonic Jaguar Racing;;
20;0;4;9:56.704;0;B;21.929;0;30.148;0;9:04.627;0;15.0;14:44.563;12:14:44.563;0:21.929;0:30.148;9:04.627;;Mitch EVANS;;;1;Panasonic Jaguar Racing;;
23;0;1;40:31.627;0;;39:31.249;0;29.048;0;31.330;0;3.7;40:31.626;12:40:31.627;39:31.249;0:29.048;0:31.330;;Nick HEIDFELD;0:39:16.602;;4;Mahindra Racing;;
23;0;2;1:16.223;0;;19.136;0;27.648;0;29.439;0;117.1;41:47.849;12:41:47.850;0:19.136;0:27.648;0:29.439;;Nick HEIDFELD;;;4;Mahindra Racing;;
