NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;5:34.104;0;;4:39.390;0;25.844;0;28.870;0;26.7;5:34.104;13:01:34.104;4:39.390;0:25.844;0:28.870;;Lucas DI GRASSI;0:04:25.602;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:09.404;3;;17.806;2;23.729;2;27.869;2;128.6;6:43.508;13:02:43.508;0:17.806;0:23.729;0:27.869;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:20.583;0;B;20.492;0;25.068;0;35.023;0;110.8;8:04.091;13:04:04.091;0:20.492;0:25.068;0:35.023;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
25;0;1;9:40.550;0;;8:34.837;0;33.377;0;32.336;0;15.4;9:40.550;13:05:40.550;8:34.837;0:33.377;0:32.336;;Jean-Eric VERGNE;0:08:15.425;;2;TECHEETAH;;
25;0;2;1:09.598;2;;17.711;2;23.763;2;28.124;2;128.3;10:50.148;13:06:50.148;0:17.711;0:23.763;0:28.124;;Jean-Eric VERGNE;;;2;TECHEETAH;;
25;0;3;1:22.440;0;B;20.259;0;25.355;0;36.826;0;108.3;12:12.588;13:08:12.588;0:20.259;0:25.355;0:36.826;;Jean-Eric VERGNE;;;2;TECHEETAH;;
3;0;1;1:23.035;0;;29.885;0;24.863;0;28.287;2;107.5;1:23.035;12:57:23.035;0:29.885;0:24.863;0:28.287;;Nelson PIQUET JR;0:00:15.761;;2;NEXTEV NIO;;
3;0;2;1:11.274;2;;17.675;3;24.376;2;29.223;0;125.3;2:34.309;12:58:34.309;0:17.675;0:24.376;0:29.223;;Nelson PIQUET JR;;;2;NEXTEV NIO;;
3;0;3;1:18.923;0;B;20.418;0;24.741;0;33.764;0;113.1;3:53.232;12:59:53.232;0:20.418;0:24.741;0:33.764;;Nelson PIQUET JR;;;2;NEXTEV NIO;;
88;0;1;3:28.319;0;;2:28.691;0;29.215;0;30.413;0;42.9;3:28.319;12:59:28.319;2:28.691;0:29.215;0:30.413;;Oliver TURVEY;0:02:08.243;;4;NEXTEV NIO;;
88;0;2;1:10.075;2;;17.791;2;23.653;3;28.631;2;127.4;4:38.394;13:00:38.394;0:17.791;0:23.653;0:28.631;;Oliver TURVEY;;;4;NEXTEV NIO;;
88;0;3;1:27.073;0;B;22.840;0;26.722;0;37.511;0;102.5;6:05.467;13:02:05.467;0:22.840;0:26.722;0:37.511;;Oliver TURVEY;;;4;NEXTEV NIO;;
9;0;1;7:29.569;0;;6:33.587;0;26.527;0;29.455;0;19.9;7:29.569;13:03:29.569;6:33.587;0:26.527;0:29.455;;Sébastien BUEMI;0:06:18.295;;2;Renault e.dams;;
9;0;2;1:09.825;2;;18.374;2;23.752;2;27.699;4;127.9;8:39.394;13:04:39.394;0:18.374;0:23.752;0:27.699;;Sébastien BUEMI;;;2;Renault e.dams;;
9;0;3;1:30.965;0;B;23.421;0;29.671;0;37.873;0;98.1;10:10.359;13:06:10.359;0:23.421;0:29.671;0:37.873;;Sébastien BUEMI;;;2;Renault e.dams;;
