POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;37;45:45.623;-;-;33;1:11.058;125.6;Renault e.dams;;;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;;;;;;;
2;25;Classified;37;45:48.619;+2.996;+2.996;27;1:10.832;126.0;TECHEETAH;;;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;;;;;;;
3;11;Classified;37;45:52.544;+6.921;+3.925;24;1:10.744;126.2;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;;;;;;;
4;8;Classified;37;45:53.688;+8.065;+1.144;22;1:11.130;125.5;Renault e.dams;;;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;;;;;;;
5;3;Classified;37;45:55.393;+9.770;+1.705;33;1:10.994;125.8;NEXTEV NIO;;;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;;;;;;;
6;6;Classified;37;46:20.726;+35.103;+25.333;30;1:11.850;124.3;Faraday Future Dragon Racing;;;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;;;;;;;
7;66;Classified;37;46:21.424;+35.801;+0.698;32;1:11.831;124.3;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffer FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;;;;;;;
8;7;Classified;37;46:21.958;+36.335;+0.534;29;1:11.512;124.8;Faraday Future Dragon Racing;;;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;;;;;;;
9;88;Classified;37;46:22.734;+37.111;+0.776;15;1:12.076;123.9;NEXTEV NIO;;;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;;;;;;;
10;37;Classified;37;46:23.829;+38.206;+1.095;21;1:10.893;125.9;DS Virgin Racing;;;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;;;;;;;
11;28;Classified;37;46:29.363;+43.740;+5.534;28;1:11.407;125.0;Andretti Formula E;;;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;;;;;;;
12;4;Classified;37;46:29.866;+44.243;+0.503;32;1:11.560;124.8;Venturi Formula E Team;;;1113;Venturi VM200-FE-02;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;;;;;;;
13;20;Classified;37;46:30.541;+44.918;+0.675;8;1:12.062;123.9;Panasonic Jaguar Racing;;;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;;;;;;;
14;27;Classified;37;46:35.306;+49.683;+4.765;23;1:11.858;124.2;Andretti Formula E;;;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;;;;;;;
15;23;Classified;37;46:37.079;+51.456;+1.773;33;1:10.910;125.9;Mahindra Racing;;;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;;;;;;;
16;33;Classified;36;45:55.019;1 Lap;1 Lap;17;1:12.358;123.4;TECHEETAH;;;8001;Renault Z.E. 16;;;;;;;;;;;;;MA Qing Hua;;CHN;CHN;;;;;;;
17;47;Classified;36;46:44.265;1 Lap;+49.246;32;1:11.730;124.5;Panasonic Jaguar Racing;;;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;;;;;;;
18;19;Classified;34;46:55.524;3 Laps;2 Laps;31;1:09.467;128.5;Mahindra Racing;;;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;;;;;;;
;5;Not classified;26;46:03.726;;;17;1:10.178;127.2;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;;;;;;;
;2;Not classified;20;44:27.873;;;12;1:09.754;128.0;DS Virgin Racing;;;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;;;;;;;
