NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;48.390;0;;;0;;0;32.021;0;184.5;48.390;16:04:48.390;;;0:32.021;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;2;2:12.558;0;;57.037;0;46.485;0;29.036;0;67.4;3:00.948;16:07:00.948;0:57.037;0:46.485;0:29.036;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;3;1:14.567;0;;18.787;0;25.655;0;30.125;0;119.7;4:15.515;16:08:15.515;0:18.787;0:25.655;0:30.125;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;4;1:12.465;0;;18.652;0;24.985;0;28.828;0;123.2;5:27.980;16:09:27.980;0:18.652;0:24.985;0:28.828;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;5;1:12.679;0;;18.619;0;24.952;0;29.108;0;122.8;6:40.659;16:10:40.659;0:18.619;0:24.952;0:29.108;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;6;1:13.775;0;;18.639;0;25.862;0;29.274;0;121.0;7:54.434;16:11:54.434;0:18.639;0:25.862;0:29.274;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;7;1:12.453;0;;18.676;0;24.884;0;28.893;0;123.2;9:06.887;16:13:06.887;0:18.676;0:24.884;0:28.893;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;8;1:12.278;0;;18.645;0;24.927;0;28.706;0;123.5;10:19.165;16:14:19.165;0:18.645;0:24.927;0:28.706;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;9;1:12.288;0;;18.626;0;24.744;0;28.918;0;123.5;11:31.453;16:15:31.453;0:18.626;0:24.744;0:28.918;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;10;1:12.269;0;;18.584;0;24.795;0;28.890;0;123.5;12:43.722;16:16:43.722;0:18.584;0:24.795;0:28.890;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;11;1:12.170;0;;18.571;0;24.829;0;28.770;0;123.7;13:55.892;16:17:55.892;0:18.571;0:24.829;0:28.770;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;12;1:13.409;0;;18.636;0;25.550;0;29.223;0;121.6;15:09.301;16:19:09.301;0:18.636;0:25.550;0:29.223;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;13;1:12.512;0;;18.576;0;25.116;0;28.820;0;123.1;16:21.813;16:20:21.813;0:18.576;0:25.116;0:28.820;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;14;1:12.146;0;;18.592;0;24.781;0;28.773;0;123.7;17:33.959;16:21:33.959;0:18.592;0:24.781;0:28.773;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;15;1:11.832;0;;18.682;0;24.559;0;28.591;0;124.3;18:45.791;16:22:45.791;0:18.682;0:24.559;0:28.591;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;16;1:12.461;0;;18.549;0;24.854;0;29.058;0;123.2;19:58.252;16:23:58.252;0:18.549;0:24.854;0:29.058;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;17;1:12.663;0;;18.563;0;25.167;0;28.933;0;122.9;21:10.915;16:25:10.915;0:18.563;0:25.167;0:28.933;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;18;1:12.583;0;;18.586;0;24.971;0;29.026;0;123.0;22:23.498;16:26:23.498;0:18.586;0:24.971;0:29.026;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;19;1:16.438;0;B;18.647;0;24.816;0;32.975;0;116.8;23:39.936;16:27:39.936;0:18.647;0:24.816;0:32.975;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;20;1:56.713;0;;1:03.665;0;24.608;0;28.440;0;76.5;25:36.649;16:29:36.649;1:03.665;0:24.608;0:28.440;;Lucas DI GRASSI;0:00:55.630;;;ABT Schaeffler Audi Sport;;
11;0;21;1:11.452;0;;18.538;0;24.653;0;28.261;0;125.0;26:48.101;16:30:48.101;0:18.538;0:24.653;0:28.261;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;22;1:11.270;0;;18.526;0;24.483;0;28.261;0;125.3;27:59.371;16:31:59.371;0:18.526;0:24.483;0:28.261;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;23;1:11.181;0;;18.310;0;24.532;0;28.339;0;125.4;29:10.552;16:33:10.552;0:18.310;0:24.532;0:28.339;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;24;1:10.744;2;;18.155;2;24.306;2;28.283;0;126.2;30:21.296;16:34:21.296;0:18.155;0:24.306;0:28.283;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;25;1:10.918;0;;18.348;0;24.386;0;28.184;2;125.9;31:32.214;16:35:32.214;0:18.348;0:24.386;0:28.184;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;26;1:11.355;0;;18.331;0;24.572;0;28.452;0;125.1;32:43.569;16:36:43.569;0:18.331;0:24.572;0:28.452;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;27;1:11.429;0;;18.299;0;24.581;0;28.549;0;125.0;33:54.998;16:37:54.998;0:18.299;0:24.581;0:28.549;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;28;1:10.987;0;;18.234;0;24.422;0;28.331;0;125.8;35:05.985;16:39:05.985;0:18.234;0:24.422;0:28.331;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;29;1:11.455;0;;18.408;0;24.429;0;28.618;0;124.9;36:17.440;16:40:17.440;0:18.408;0:24.429;0:28.618;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;30;1:11.278;0;;18.449;0;24.439;0;28.390;0;125.3;37:28.718;16:41:28.718;0:18.449;0:24.439;0:28.390;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;31;1:11.237;0;;18.334;0;24.480;0;28.423;0;125.3;38:39.955;16:42:39.955;0:18.334;0:24.480;0:28.423;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;32;1:11.157;0;;18.414;0;24.346;0;28.397;0;125.5;39:51.112;16:43:51.112;0:18.414;0:24.346;0:28.397;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
