NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:17.895;0;;28.669;0;21.564;0;27.662;0;86.0;1:17.895;10:31:17.895;0:28.669;0:21.564;0:27.662;;Lucas DI GRASSI;0:00:06.664;;;ABT Schaeffler Audi Sport;;
11;0;2;1:06.868;0;;19.302;0;21.380;0;26.186;0;100.1;2:24.763;10:32:24.763;0:19.302;0:21.380;0:26.186;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;3;1:07.731;0;;18.931;0;21.104;0;27.696;0;98.9;3:32.494;10:33:32.494;0:18.931;0:21.104;0:27.696;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;4;1:05.132;0;;18.824;0;21.037;0;25.271;0;102.8;4:37.626;10:34:37.626;0:18.824;0:21.037;0:25.271;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;5;1:04.694;0;;18.599;0;20.754;0;25.341;0;103.5;5:42.320;10:35:42.320;0:18.599;0:20.754;0:25.341;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;6;1:04.514;0;;18.728;0;20.647;0;25.139;0;103.8;6:46.834;10:36:46.834;0:18.728;0:20.647;0:25.139;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;7;1:04.294;0;;18.580;0;20.591;0;25.123;0;104.1;7:51.128;10:37:51.128;0:18.580;0:20.591;0:25.123;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;8;1:10.632;0;;19.094;0;22.308;0;29.230;0;94.8;9:01.760;10:39:01.760;0:19.094;0:22.308;0:29.230;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;9;1:03.458;2;;18.302;0;20.241;0;24.915;2;105.5;10:05.218;10:40:05.218;0:18.302;0:20.241;0:24.915;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;10;1:03.773;0;;18.402;0;20.172;2;25.199;0;105.0;11:08.991;10:41:08.991;0:18.402;0:20.172;0:25.199;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;11;1:05.363;0;;18.811;0;20.817;0;25.735;0;102.4;12:14.354;10:42:14.354;0:18.811;0:20.817;0:25.735;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;12;7:50.593;0;B;21.178;0;25.054;0;7:04.361;0;14.2;20:04.947;10:50:04.947;0:21.178;0:25.054;7:04.361;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;13;1:10.262;0;;23.140;0;21.250;0;25.872;0;95.3;21:15.209;10:51:15.209;0:23.140;0:21.250;0:25.872;;Lucas DI GRASSI;0:06:43.540;;;ABT Schaeffler Audi Sport;;
11;0;14;1:09.658;0;;18.898;0;21.910;0;28.850;0;96.1;22:24.867;10:52:24.867;0:18.898;0:21.910;0:28.850;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;15;4:34.218;0;B;17.967;2;27.788;0;3:48.463;0;24.4;26:59.085;10:56:59.085;0:17.967;0:27.788;3:48.463;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;16;1:11.624;0;;24.401;0;21.282;0;25.941;0;93.5;28:10.709;10:58:10.709;0:24.401;0:21.282;0:25.941;;Lucas DI GRASSI;0:03:25.885;;;ABT Schaeffler Audi Sport;;
11;0;17;1:05.452;0;;19.476;0;20.231;0;25.745;0;102.3;29:16.161;10:59:16.161;0:19.476;0:20.231;0:25.745;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;18;1:13.311;0;;18.600;0;23.646;0;31.065;0;91.3;30:29.472;11:00:29.472;0:18.600;0:23.646;0:31.065;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
19;0;1;2:06.741;0;;1:11.508;0;23.542;0;31.691;0;52.8;2:06.741;10:32:06.741;1:11.508;0:23.542;0:31.691;;Felix ROSENQVIST;0:00:47.818;;;Mahindra Racing;;
19;0;2;1:23.829;0;;23.484;0;24.864;0;35.481;0;79.9;3:30.570;10:33:30.570;0:23.484;0:24.864;0:35.481;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;3;1:17.322;0;;18.854;0;32.396;0;26.072;0;86.6;4:47.892;10:34:47.892;0:18.854;0:32.396;0:26.072;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;4;1:03.418;0;;18.356;0;20.232;0;24.830;2;105.6;5:51.310;10:35:51.310;0:18.356;0:20.232;0:24.830;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;5;5:02.960;0;B;18.655;0;24.688;0;4:19.617;0;22.1;10:54.270;10:40:54.270;0:18.655;0:24.688;4:19.617;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;6;1:13.199;0;;23.339;0;21.303;0;28.557;0;91.5;12:07.469;10:42:07.469;0:23.339;0:21.303;0:28.557;;Felix ROSENQVIST;0:03:53.330;;;Mahindra Racing;;
19;0;7;11:02.110;0;B;19.077;0;22.968;0;10:20.065;0;10.1;23:09.579;10:53:09.579;0:19.077;0:22.968;10:20.065;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;8;1:13.418;0;;25.140;0;22.535;0;25.743;0;91.2;24:22.997;10:54:22.997;0:25.140;0:22.535;0:25.743;;Felix ROSENQVIST;0:09:56.477;;;Mahindra Racing;;
19;0;9;1:23.040;0;;18.440;0;26.994;0;37.606;0;80.6;25:46.037;10:55:46.037;0:18.440;0:26.994;0:37.606;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;10;1:04.441;0;;18.123;0;20.913;0;25.405;0;103.9;26:50.478;10:56:50.478;0:18.123;0:20.913;0:25.405;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;11;1:15.262;0;;22.070;0;25.575;0;27.617;0;89.0;28:05.740;10:58:05.740;0:22.070;0:25.575;0:27.617;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;12;1:02.825;2;;17.954;2;19.838;2;25.033;0;106.6;29:08.565;10:59:08.565;0:17.954;0:19.838;0:25.033;;Felix ROSENQVIST;;;;Mahindra Racing;;
19;0;13;1:34.174;0;;24.616;0;35.805;0;33.753;0;71.1;30:42.739;11:00:42.739;0:24.616;0:35.805;0:33.753;;Felix ROSENQVIST;;;;Mahindra Racing;;
2;0;1;2:02.569;0;;1:02.534;0;27.066;0;32.969;0;54.6;2:02.569;10:32:02.569;1:02.534;0:27.066;0:32.969;;Sam BIRD;0:00:38.699;;;DS Virgin Racing;;
2;0;2;1:20.997;0;;20.368;0;22.479;0;38.150;0;82.7;3:23.566;10:33:23.566;0:20.368;0:22.479;0:38.150;;Sam BIRD;;;;DS Virgin Racing;;
2;0;3;1:02.724;2;;17.972;2;20.208;0;24.544;3;106.8;4:26.290;10:34:26.290;0:17.972;0:20.208;0:24.544;;Sam BIRD;;;;DS Virgin Racing;;
2;0;4;1:28.441;0;;23.151;0;36.851;0;28.439;0;75.7;5:54.731;10:35:54.731;0:23.151;0:36.851;0:28.439;;Sam BIRD;;;;DS Virgin Racing;;
2;0;5;1:05.352;0;;18.753;0;21.057;0;25.542;0;102.5;7:00.083;10:37:00.083;0:18.753;0:21.057;0:25.542;;Sam BIRD;;;;DS Virgin Racing;;
2;0;6;1:05.099;0;;18.946;0;20.894;0;25.259;0;102.9;8:05.182;10:38:05.182;0:18.946;0:20.894;0:25.259;;Sam BIRD;;;;DS Virgin Racing;;
2;0;7;1:05.736;0;;19.099;0;21.084;0;25.553;0;101.9;9:10.918;10:39:10.918;0:19.099;0:21.084;0:25.553;;Sam BIRD;;;;DS Virgin Racing;;
2;0;8;1:05.662;0;;18.846;0;20.947;0;25.869;0;102.0;10:16.580;10:40:16.580;0:18.846;0:20.947;0:25.869;;Sam BIRD;;;;DS Virgin Racing;;
2;0;9;1:04.765;0;;18.879;0;20.543;0;25.343;0;103.4;11:21.345;10:41:21.345;0:18.879;0:20.543;0:25.343;;Sam BIRD;;;;DS Virgin Racing;;
2;0;10;9:12.713;0;B;18.981;0;20.907;0;8:32.825;0;12.1;20:34.058;10:50:34.058;0:18.981;0:20.907;8:32.825;;Sam BIRD;;;;DS Virgin Racing;;
2;0;11;4:34.524;0;B;23.125;0;22.130;0;3:49.269;0;24.4;25:08.582;10:55:08.582;0:23.125;0:22.130;3:49.269;;Sam BIRD;0:08:12.048;;;DS Virgin Racing;;
2;0;12;1:23.073;0;;29.075;0;26.349;0;27.649;0;80.6;26:31.655;10:56:31.655;0:29.075;0:26.349;0:27.649;;Sam BIRD;0:03:27.942;;;DS Virgin Racing;;
2;0;13;1:12.592;0;;21.996;0;23.072;0;27.524;0;92.2;27:44.247;10:57:44.247;0:21.996;0:23.072;0:27.524;;Sam BIRD;;;;DS Virgin Racing;;
2;0;14;1:04.738;0;;18.024;0;19.909;2;26.805;0;103.4;28:48.985;10:58:48.985;0:18.024;0:19.909;0:26.805;;Sam BIRD;;;;DS Virgin Racing;;
2;0;15;1:11.037;0;;20.723;0;22.601;0;27.713;0;94.3;30:00.022;11:00:00.022;0:20.723;0:22.601;0:27.713;;Sam BIRD;;;;DS Virgin Racing;;
20;0;1;1:48.861;0;;55.175;0;25.365;0;28.321;0;61.5;1:48.861;10:31:48.861;0:55.175;0:25.365;0:28.321;;Mitch EVANS;0:00:28.605;;;Panasonic Jaguar Racing;;
20;0;2;1:12.903;0;;19.538;0;21.860;0;31.505;0;91.8;3:01.764;10:33:01.764;0:19.538;0:21.860;0:31.505;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;3;1:08.090;0;;19.080;0;21.123;0;27.887;0;98.3;4:09.854;10:34:09.854;0:19.080;0:21.123;0:27.887;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;4;1:05.656;0;;18.264;2;21.944;0;25.448;0;102.0;5:15.510;10:35:15.510;0:18.264;0:21.944;0:25.448;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;5;1:13.478;0;;21.804;0;25.024;0;26.650;0;91.1;6:28.988;10:36:28.988;0:21.804;0:25.024;0:26.650;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;6;1:04.336;2;;18.293;0;20.669;2;25.374;0;104.1;7:33.324;10:37:33.324;0:18.293;0:20.669;0:25.374;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;7;12:53.871;0;B;19.935;0;23.558;0;12:10.378;0;8.7;20:27.195;10:50:27.195;0:19.935;0:23.558;12:10.378;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;8;1:13.315;0;;24.515;0;22.750;0;26.050;0;91.3;21:40.510;10:51:40.510;0:24.515;0:22.750;0:26.050;;Mitch EVANS;0:11:45.571;;;Panasonic Jaguar Racing;;
20;0;9;1:14.648;0;;20.668;0;23.214;0;30.766;0;89.7;22:55.158;10:52:55.158;0:20.668;0:23.214;0:30.766;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;10;1:08.776;0;;19.005;0;21.800;0;27.971;0;97.4;24:03.934;10:54:03.934;0:19.005;0:21.800;0:27.971;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;11;1:05.529;0;;18.899;0;20.912;0;25.718;0;102.2;25:09.463;10:55:09.463;0:18.899;0:20.912;0:25.718;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;12;1:05.234;0;;18.890;0;20.819;0;25.525;0;102.6;26:14.697;10:56:14.697;0:18.890;0:20.819;0:25.525;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;13;1:05.108;0;;18.864;0;20.820;0;25.424;0;102.8;27:19.805;10:57:19.805;0:18.864;0:20.820;0:25.424;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;14;1:05.316;0;;19.064;0;20.927;0;25.325;2;102.5;28:25.121;10:58:25.121;0:19.064;0:20.927;0:25.325;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;15;1:06.907;0;;19.525;0;21.660;0;25.722;0;100.1;29:32.028;10:59:32.028;0:19.525;0:21.660;0:25.722;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
20;0;16;1:17.005;0;;19.708;0;25.558;0;31.739;0;87.0;30:49.033;11:00:49.033;0:19.708;0:25.558;0:31.739;;Mitch EVANS;;;;Panasonic Jaguar Racing;;
23;0;1;1:59.317;0;;59.548;0;27.594;0;32.175;0;56.1;1:59.317;10:31:59.317;0:59.548;0:27.594;0:32.175;;Nick HEIDFELD;0:00:34.273;;;Mahindra Racing;;
23;0;2;1:16.801;0;;19.085;0;20.760;0;36.956;0;87.2;3:16.118;10:33:16.118;0:19.085;0:20.760;0:36.956;;Nick HEIDFELD;;;;Mahindra Racing;;
23;0;3;1:03.044;2;;18.140;2;20.032;0;24.872;2;106.2;4:19.162;10:34:19.162;0:18.140;0:20.032;0:24.872;;Nick HEIDFELD;;;;Mahindra Racing;;
23;0;4;6:17.250;0;B;20.562;0;23.370;0;5:33.318;0;17.7;10:36.412;10:40:36.412;0:20.562;0:23.370;5:33.318;;Nick HEIDFELD;;;;Mahindra Racing;;
23;0;5;1:15.998;0;;24.138;0;24.171;0;27.689;0;88.1;11:52.410;10:41:52.410;0:24.138;0:24.171;0:27.689;;Nick HEIDFELD;0:05:10.587;;;Mahindra Racing;;
23;0;6;1:10.888;0;;18.661;0;23.329;0;28.898;0;94.5;13:03.298;10:43:03.298;0:18.661;0:23.329;0:28.898;;Nick HEIDFELD;;;;Mahindra Racing;;
23;0;7;9:54.087;0;B;20.959;0;21.641;0;9:11.487;0;11.3;22:57.385;10:52:57.385;0:20.959;0:21.641;9:11.487;;Nick HEIDFELD;;;;Mahindra Racing;;
