NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;11:15.541;0;;10:27.621;0;21.927;0;25.993;2;9.9;11:15.541;12:16:15.541;10:27.621;0:21.927;0:25.993;;Lucas DI GRASSI;0:10:05.541;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:08.094;2;;19.618;0;21.859;2;26.617;0;98.3;12:23.635;12:17:23.635;0:19.618;0:21.859;0:26.617;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
19;0;1;29:19.283;0;;28:30.004;0;23.389;0;25.890;0;3.8;29:19.282;12:34:19.283;28:30.004;0:23.389;0:25.890;;Felix ROSENQVIST;0:28:07.571;;3;Mahindra Racing;;
19;0;2;1:04.699;0;;18.525;0;21.034;0;25.140;0;103.5;30:23.981;12:35:23.982;0:18.525;0:21.034;0:25.140;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;3;1:03.332;2;;17.997;2;20.219;2;25.116;2;105.7;31:27.313;12:36:27.314;0:17.997;0:20.219;0:25.116;;Felix ROSENQVIST;;;3;Mahindra Racing;;
2;0;1;11:21.349;0;;10:30.849;0;23.291;0;27.209;0;9.8;11:21.349;12:16:21.349;10:30.849;0:23.291;0:27.209;;Sam BIRD;0:10:07.285;;2;DS Virgin Racing;;
2;0;2;1:08.812;0;;19.663;0;22.120;0;27.029;0;97.3;12:30.161;12:17:30.161;0:19.663;0:22.120;0:27.029;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;3;7:34.777;0;B;18.099;2;20.995;0;6:55.683;0;14.7;20:04.937;12:25:04.938;0:18.099;0:20.995;6:55.683;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;4;1:14.712;0;;24.452;0;24.099;0;26.161;0;89.6;21:19.649;12:26:19.650;0:24.452;0:24.099;0:26.161;;Sam BIRD;0:06:21.753;;2;DS Virgin Racing;;
2;0;5;1:03.258;2;;18.136;0;20.157;2;24.965;2;105.9;22:22.907;12:27:22.908;0:18.136;0:20.157;0:24.965;;Sam BIRD;;;2;DS Virgin Racing;;
