POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;45;53:13.298;-;-;12;1:04.256;104.2;Renault e.dams;;4;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;;;;;;;
2;11;Classified;45;53:15.775;+2.477;+2.477;10;1:03.648;105.2;ABT Schaeffler Audi Sport;;2;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;;;;;;;
3;23;Classified;45;53:18.820;+5.522;+3.045;5;1:05.085;102.9;Mahindra Racing;;1;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;;;;;;;
4;8;Classified;45;53:20.658;+7.360;+1.838;6;1:04.683;103.5;Renault e.dams;;1;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;;;;;;;
5;28;Classified;45;53:31.285;+17.987;+10.627;30;1:04.342;104.1;Andretti Formula E;;2;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;;;;;;;
6;27;Classified;45;53:34.459;+21.161;+3.174;32;1:04.143;104.4;Andretti Formula E;;3;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;;;;;;;
7;7;Classified;45;53:41.741;+28.443;+7.282;7;1:05.559;102.1;Faraday Future Dragon Racing;;4;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;;;;;;;
8;88;Classified;45;53:43.653;+30.355;+1.912;5;1:05.344;102.5;NEXTEV NIO;;2;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;;;;;;;
9;5;Classified;45;53:44.196;+30.898;+0.543;33;1:04.390;104.0;Venturi Formula E Team;;4;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;;;;;;;
10;4;Classified;45;53:45.032;+31.734;+0.836;32;1:04.289;104.2;Venturi Formula E Team;;1;1113;Venturi VM200-FE-02;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;;;;;;;
11;3;Classified;45;53:48.554;+35.256;+3.522;11;1:04.267;104.2;NEXTEV NIO;;3;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;;;;;;;
12;47;Classified;45;53:57.137;+43.839;+8.583;33;1:04.732;103.4;Panasonic Jaguar Racing;;1;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;;;;;;;
13;2;Classified;45;54:01.356;+48.058;+4.219;41;1:03.372;105.7;DS Virgin Racing;;2;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;;;;;;;
14;6;Classified;43;53:13.913;2 Laps;2 Laps;40;1:04.712;103.5;Faraday Future Dragon Racing;;1;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;;;;;;;
15;19;Classified;43;54:04.274;2 Laps;+50.361;36;1:02.947;106.4;Mahindra Racing;;3;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;;;;;;;
;66;Not classified;34;44:15.046;;;25;1:03.263;105.8;ABT Schaeffler Audi Sport;;4;1080;ABT Schaeffer FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;;;;;;;
;25;Not classified;31;38:52.707;;;28;1:03.078;106.2;TECHEETAH;;3;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;;;;;;;
;20;Not classified;24;30:08.932;;;10;1:05.474;102.3;Panasonic Jaguar Racing;;3;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;;;;;;;
;37;Not classified;15;17:16.490;;;11;1:05.344;102.5;DS Virgin Racing;;4;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;;;;;;;
;33;Not classified;1;5:49.646;;;0;;;TECHEETAH;;2;8001;Renault Z.E. 16;;;;;;;;;;;;;MA Qing Hua;;CHN;CHN;;;;;;;
