NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:34.465;0;;36.993;0;38.851;0;18.621;0;113.2;1:34.465;08:01:34.465;0:36.993;0:38.851;0:18.621;;Lucas DI GRASSI;0:00:10.142;;;ABT Schaeffler Audi Sport;;
11;0;2;1:25.814;0;;30.322;0;37.588;0;17.904;0;124.6;3:00.279;08:03:00.279;0:30.322;0:37.588;0:17.904;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;3;1:25.737;0;;30.448;0;37.476;0;17.813;0;124.7;4:26.016;08:04:26.016;0:30.448;0:37.476;0:17.813;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;4;1:52.566;0;;30.773;0;53.188;0;28.605;0;95.0;6:18.582;08:06:18.582;0:30.773;0:53.188;0:28.605;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;5;1:47.612;0;;30.366;0;58.137;0;19.109;0;99.4;8:06.194;08:08:06.194;0:30.366;0:58.137;0:19.109;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;6;1:25.820;0;;30.405;0;37.295;0;18.120;0;124.6;9:32.014;08:09:32.014;0:30.405;0:37.295;0:18.120;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;7;1:34.914;0;B;30.498;0;37.020;0;27.396;0;112.7;11:06.928;08:11:06.928;0:30.498;0:37.020;0:27.396;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;8;5:39.185;0;;4:37.012;0;43.000;0;19.173;0;31.5;16:46.113;08:16:46.113;4:37.012;0:43.000;0:19.173;;Lucas DI GRASSI;0:04:14.011;;;ABT Schaeffler Audi Sport;;
11;0;9;1:24.044;0;;29.556;0;36.731;0;17.757;0;127.3;18:10.157;08:18:10.157;0:29.556;0:36.731;0:17.757;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;10;1:29.543;0;;29.796;0;40.557;0;19.190;0;119.4;19:39.700;08:19:39.700;0:29.796;0:40.557;0:19.190;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;11;1:24.173;0;;29.598;0;36.678;0;17.897;0;127.1;21:03.873;08:21:03.873;0:29.598;0:36.678;0:17.897;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;12;1:31.624;0;;32.558;0;37.034;0;22.032;0;116.7;22:35.497;08:22:35.497;0:32.558;0:37.034;0:22.032;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;13;1:24.026;0;;29.743;0;36.622;0;17.661;0;127.3;23:59.523;08:23:59.523;0:29.743;0:36.622;0:17.661;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;14;1:25.903;0;;29.588;0;38.292;0;18.023;0;124.5;25:25.426;08:25:25.426;0:29.588;0:38.292;0:18.023;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;15;1:26.074;0;;30.264;0;36.613;0;19.197;0;124.3;26:51.500;08:26:51.500;0:30.264;0:36.613;0:19.197;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
