NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;21:31.412;0;;20:35.020;0;38.107;0;18.285;0;8.3;21:31.412;12:21:31.412;20:35.020;0:38.107;0:18.285;;Lucas DI GRASSI;0:20:09.869;;3;ABT Schaeffler Audi Sport;;
11;0;2;1:28.653;0;;29.911;0;37.504;0;21.238;0;120.6;23:00.065;12:23:00.065;0:29.911;0:37.504;0:21.238;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;;
11;0;3;1:22.081;2;;28.909;2;35.897;2;17.275;2;130.3;24:22.146;12:24:22.146;0:28.909;0:35.897;0:17.275;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;;
11;0;4;3:56.031;0;B;37.424;0;38.188;0;2:40.419;0;45.3;28:18.177;12:28:18.177;0:37.424;0:38.188;2:40.419;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;;
11;0;5;1:37.972;0;B;;0;;0;;0;109.2;29:56.149;12:29:56.149;;;;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;;
19;0;1;31:52.382;0;;30:48.244;0;45.472;0;18.666;0;5.6;31:52.382;12:31:52.382;30:48.244;0:45.472;0:18.666;;Felix ROSENQVIST;0:30:15.574;;4;Mahindra Racing;;
19;0;2;1:21.175;2;;28.745;2;35.371;2;17.059;2;131.8;33:13.557;12:33:13.557;0:28.745;0:35.371;0:17.059;;Felix ROSENQVIST;;;4;Mahindra Racing;;
19;0;3;2:31.857;0;B;32.818;0;41.357;0;1:17.682;0;70.4;35:45.414;12:35:45.414;0:32.818;0:41.357;1:17.682;;Felix ROSENQVIST;;;4;Mahindra Racing;;
2;0;1;31:41.788;0;;30:40.101;0;41.942;0;19.745;0;5.6;31:41.788;12:31:41.788;30:40.101;0:41.942;0:19.745;;Sam BIRD;0:30:11.560;;4;DS Virgin Racing;;
2;0;2;1:26.029;0;;29.619;0;38.282;0;18.128;0;124.3;33:07.817;12:33:07.817;0:29.619;0:38.282;0:18.128;;Sam BIRD;;;4;DS Virgin Racing;;
2;0;3;1:21.392;2;;28.767;2;35.568;2;17.057;4;131.4;34:29.209;12:34:29.209;0:28.767;0:35.568;0:17.057;;Sam BIRD;;;4;DS Virgin Racing;;
2;0;4;3:07.654;0;B;35.837;0;41.997;0;1:49.820;0;57.0;37:36.863;12:37:36.863;0:35.837;0:41.997;1:49.820;;Sam BIRD;;;4;DS Virgin Racing;;
20;0;1;11:52.741;0;;10:49.903;0;40.090;0;22.748;0;15.0;11:52.741;12:11:52.741;10:49.903;0:40.090;0:22.748;;Mitch EVANS;0:10:20.475;;2;Panasonic Jaguar Racing;;
20;0;2;1:28.214;0;;30.142;0;39.413;0;18.659;0;121.2;13:20.955;12:13:20.955;0:30.142;0:39.413;0:18.659;;Mitch EVANS;;;2;Panasonic Jaguar Racing;;
20;0;3;1:22.355;2;;29.026;2;35.898;2;17.431;2;129.9;14:43.310;12:14:43.310;0:29.026;0:35.898;0:17.431;;Mitch EVANS;;;2;Panasonic Jaguar Racing;;
