NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;9:49.184;0;;8:41.457;0;47.757;0;19.970;0;18.2;9:49.184;12:54:49.184;8:41.457;0:47.757;0:19.970;;Felix ROSENQVIST;0:07:12.490;;4;Mahindra Racing;;
19;0;2;1:21.509;3;;28.806;3;35.392;2;17.311;2;131.2;11:10.693;12:56:10.693;0:28.806;0:35.392;0:17.311;;Felix ROSENQVIST;;;4;Mahindra Racing;;
19;0;3;5:08.686;0;B;33.502;0;38.453;0;3:56.731;0;34.6;16:19.379;13:01:19.379;0:33.502;0:38.453;3:56.731;;Felix ROSENQVIST;;;4;Mahindra Racing;;
2;0;1;4:19.166;0;;3:19.240;0;39.987;0;19.939;0;41.3;4:19.166;12:49:19.166;3:19.240;0:39.987;0:19.939;;Sam BIRD;0:02:50.169;;4;DS Virgin Racing;;
2;0;2;1:21.686;2;;28.990;2;35.591;2;17.105;3;130.9;5:40.852;12:50:40.852;0:28.990;0:35.591;0:17.105;;Sam BIRD;;;4;DS Virgin Racing;;
2;0;3;5:50.386;0;B;30.739;0;37.023;0;4:42.624;0;30.5;11:31.238;12:56:31.238;0:30.739;0:37.023;4:42.624;;Sam BIRD;;;4;DS Virgin Racing;;
2;0;4;2:26.357;0;B;;0;;0;;0;73.1;13:57.595;12:58:57.595;;;;;Sam BIRD;;;4;DS Virgin Racing;;
3;0;1;1:40.045;0;;45.209;0;37.137;0;17.699;2;106.9;1:40.045;12:46:40.045;0:45.209;0:37.137;0:17.699;;Nelson PIQUET JR;0:00:19.844;;4;NEXTEV NIO;;
3;0;2;1:23.879;2;;29.416;2;36.671;2;17.792;0;127.5;3:03.924;12:48:03.924;0:29.416;0:36.671;0:17.792;;Nelson PIQUET JR;;;4;NEXTEV NIO;;
3;0;3;1:40.657;0;B;30.460;0;37.459;0;32.738;0;106.3;4:44.581;12:49:44.581;0:30.460;0:37.459;0:32.738;;Nelson PIQUET JR;;;4;NEXTEV NIO;;
3;0;4;6:19.636;0;B;;0;;0;;0;28.2;11:04.217;12:56:04.217;;;;;Nelson PIQUET JR;;;4;NEXTEV NIO;;
9;0;1;6:54.620;0;;5:56.438;0;39.815;0;18.367;0;25.8;6:54.620;12:51:54.620;5:56.438;0:39.815;0:18.367;;Sébastien BUEMI;0:05:28.661;;2;Renault e.dams;;
9;0;2;1:21.546;2;;28.998;2;35.378;3;17.170;2;131.2;8:16.166;12:53:16.166;0:28.998;0:35.378;0:17.170;;Sébastien BUEMI;;;2;Renault e.dams;;
9;0;3;6:01.755;0;B;35.673;0;39.050;0;4:47.032;0;29.6;14:17.921;12:59:17.921;0:35.673;0:39.050;4:47.032;;Sébastien BUEMI;;;2;Renault e.dams;;
9;0;4;1:40.197;0;B;;0;;0;;0;106.7;15:58.118;13:00:58.118;;;;;Sébastien BUEMI;;;2;Renault e.dams;;
