POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;33;47:40.840;-;-;21;1:23.663;127.8;Renault e.dams;;;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;;;;;;;
2;2;Classified;33;47:43.297;+2.457;+2.457;21;1:24.173;127.1;DS Virgin Racing;;;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;;;;;;;
3;19;Classified;33;47:48.035;+7.195;+4.738;13;1:24.579;126.5;Mahindra Racing;;;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;;;;;;;
4;8;Classified;33;47:52.426;+11.586;+4.391;21;1:24.212;127.0;Renault e.dams;;;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;;;;;;;
5;11;Classified;33;47:54.611;+13.771;+2.185;25;1:24.340;126.8;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;;;;;;;
6;66;Classified;33;47:59.073;+18.233;+4.462;24;1:24.219;127.0;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffer FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;;;;;;;
7;88;Classified;33;48:02.550;+21.710;+3.477;19;1:24.751;126.2;NEXTEV NIO;;;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;;;;;;;
8;25;Classified;33;48:08.851;+28.011;+6.301;25;1:24.535;126.5;TECHEETAH;;;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;;;;;;;
9;23;Classified;33;48:14.539;+33.699;+5.688;23;1:24.861;126.0;Mahindra Racing;;;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;;;;;;;
10;37;Classified;33;48:14.703;+33.863;+0.164;20;1:24.690;126.3;DS Virgin Racing;;;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;;;;;;;
11;27;Classified;33;48:17.932;+37.092;+3.229;22;1:24.675;126.3;Andretti Formula E;;;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;;;;;;;
12;4;Classified;33;48:21.523;+40.683;+3.591;30;1:25.260;125.4;Venturi Formula E Team;;;1113;Venturi VM200-FE-02;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;;;;;;;
13;7;Classified;33;48:22.874;+42.034;+1.351;22;1:24.946;125.9;Faraday Future Dragon Racing;;;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;;;;;;;
14;47;Classified;33;48:29.866;+49.026;+6.992;24;1:24.906;126.0;Panasonic Jaguar Racing;;;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;;;;;;;
15;33;Classified;33;48:31.273;+50.433;+1.407;29;1:25.402;125.2;TECHEETAH;;;8001;Renault Z.E. 16;;;;;;;;;;;;;MA Qing Hua;;CHN;CHN;;;;;;;
16;3;Classified;33;48:56.292;+1:15.452;+25.019;10;1:25.091;125.7;NEXTEV NIO;;;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;;;;;;;
17;20;Classified;32;47:55.284;1 Lap;1 Lap;24;1:24.982;125.9;Panasonic Jaguar Racing;;;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;;;;;;;
18;6;Classified;30;48:51.146;3 Laps;2 Laps;30;1:22.600;129.5;Faraday Future Dragon Racing;;;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;;;;;;;
;5;Not classified;26;49:11.067;;;20;1:23.164;128.6;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;;;;;;;
;28;Not classified;21;35:23.385;;;20;1:23.088;128.7;Andretti Formula E;;;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;;;;;;;
