NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:38.522;0;;42.770;0;32.158;0;23.594;0;76.5;1:38.522;08:01:38.522;0:42.770;0:32.158;0:23.594;;Lucas DI GRASSI;0:00:32.370;;;ABT Schaeffler Audi Sport;;
11;0;2;1:07.398;0;;16.897;0;29.945;0;20.556;0;111.8;2:45.920;08:02:45.920;0:16.897;0:29.945;0:20.556;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;3;1:06.696;0;;16.490;0;29.842;0;20.364;0;113.0;3:52.616;08:03:52.616;0:16.490;0:29.842;0:20.364;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;4;1:06.423;0;;16.211;0;29.801;0;20.411;0;113.4;4:59.039;08:04:59.039;0:16.211;0:29.801;0:20.411;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;5;1:38.621;0;;16.425;0;51.271;0;30.925;0;76.4;6:37.660;08:06:37.660;0:16.425;0:51.271;0:30.925;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;6;1:04.961;0;;15.690;0;29.160;0;20.111;0;116.0;7:42.621;08:07:42.621;0:15.690;0:29.160;0:20.111;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;7;1:16.111;0;;18.475;0;34.921;0;22.715;0;99.0;8:58.732;08:08:58.732;0:18.475;0:34.921;0:22.715;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;8;1:04.250;0;;15.433;0;29.108;0;19.709;0;117.3;10:02.982;08:10:02.982;0:15.433;0:29.108;0:19.709;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;9;1:11.072;0;;15.489;0;34.075;0;21.508;0;106.0;11:14.054;08:11:14.054;0:15.489;0:34.075;0:21.508;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;10;1:04.475;0;;15.504;0;29.228;0;19.743;0;116.9;12:18.529;08:12:18.529;0:15.504;0:29.228;0:19.743;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;11;1:04.301;0;;15.395;0;29.134;0;19.772;0;117.2;13:22.830;08:13:22.830;0:15.395;0:29.134;0:19.772;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;12;1:07.644;0;;17.304;0;29.867;0;20.473;0;111.4;14:30.474;08:14:30.474;0:17.304;0:29.867;0:20.473;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;13;1:04.436;0;;15.415;0;29.160;0;19.861;0;116.9;15:34.910;08:15:34.910;0:15.415;0:29.160;0:19.861;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;14;1:04.342;0;;15.293;0;29.333;0;19.716;0;117.1;16:39.252;08:16:39.252;0:15.293;0:29.333;0:19.716;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;15;1:04.328;0;;15.246;0;29.387;0;19.695;0;117.1;17:43.580;08:17:43.580;0:15.246;0:29.387;0:19.695;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;16;1:04.106;0;;15.210;0;29.279;0;19.617;0;117.5;18:47.686;08:18:47.686;0:15.210;0:29.279;0:19.617;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;17;1:09.076;0;B;15.359;0;29.157;0;24.560;0;109.1;19:56.762;08:19:56.762;0:15.359;0:29.157;0:24.560;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;18;7:31.918;0;;6:41.649;0;30.060;0;20.209;0;16.7;27:28.680;08:27:28.680;6:41.649;0:30.060;0:20.209;;Lucas DI GRASSI;0:06:36.455;;;ABT Schaeffler Audi Sport;;
11;0;19;1:05.696;0;;16.100;0;29.401;0;20.195;0;114.7;28:34.376;08:28:34.376;0:16.100;0:29.401;0:20.195;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;20;1:05.431;0;;15.755;0;29.727;0;19.949;0;115.2;29:39.807;08:29:39.807;0:15.755;0:29.727;0:19.949;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;21;1:05.022;0;;15.775;0;29.213;0;20.034;0;115.9;30:44.829;08:30:44.829;0:15.775;0:29.213;0:20.034;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;22;1:13.201;0;B;15.964;0;29.378;0;27.859;0;102.9;31:58.030;08:31:58.030;0:15.964;0:29.378;0:27.859;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;23;3:36.686;0;;2:46.497;0;29.874;0;20.315;0;34.8;35:34.716;08:35:34.716;2:46.497;0:29.874;0:20.315;;Lucas DI GRASSI;0:02:41.276;;;ABT Schaeffler Audi Sport;;
11;0;24;1:03.683;0;;15.303;0;28.779;0;19.601;0;118.3;36:38.399;08:36:38.399;0:15.303;0:28.779;0:19.601;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;25;1:03.823;0;;15.219;0;28.963;0;19.641;0;118.1;37:42.222;08:37:42.222;0:15.219;0:28.963;0:19.641;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;26;1:15.219;0;;17.117;0;35.467;0;22.635;0;100.2;38:57.441;08:38:57.441;0:17.117;0:35.467;0:22.635;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;27;1:09.422;0;;17.107;0;31.910;0;20.405;0;108.5;40:06.863;08:40:06.863;0:17.107;0:31.910;0:20.405;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;28;1:03.476;0;;15.162;0;28.697;2;19.617;0;118.7;41:10.339;08:41:10.339;0:15.162;0:28.697;0:19.617;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;29;1:12.319;0;;17.268;0;33.135;0;21.916;0;104.2;42:22.658;08:42:22.658;0:17.268;0:33.135;0:21.916;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;30;1:03.462;2;;15.106;2;28.781;0;19.575;2;118.7;43:26.120;08:43:26.120;0:15.106;0:28.781;0:19.575;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;31;1:13.383;0;;15.232;0;34.167;0;23.984;0;102.7;44:39.503;08:44:39.503;0:15.232;0:34.167;0:23.984;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;32;1:04.213;0;;15.429;0;29.042;0;19.742;0;117.3;45:43.716;08:45:43.716;0:15.429;0:29.042;0:19.742;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
