NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
25;0;1;1:18.642;0;;17.618;0;38.083;0;22.941;0;95.8;1:18.642;12:51:18.642;0:17.618;0:38.083;0:22.941;;Jean-Eric VERGNE;0:00:03.830;;3;TECHEETAH;;
25;0;2;1:03.202;2;;14.727;2;29.130;2;19.345;2;119.2;2:21.844;12:52:21.844;0:14.727;0:29.130;0:19.345;;Jean-Eric VERGNE;;;3;TECHEETAH;;
25;0;3;1:14.795;0;B;18.366;0;30.913;0;25.516;0;100.7;3:36.639;12:53:36.639;0:18.366;0:30.913;0:25.516;;Jean-Eric VERGNE;;;3;TECHEETAH;;
37;0;1;5:13.202;0;;4:14.827;0;36.659;0;21.716;0;24.1;5:13.202;12:55:13.202;4:14.827;0:36.659;0:21.716;;José Maria LOPEZ;0:04:01.796;;2;DS Virgin Racing;;
37;0;2;1:03.072;2;;14.751;2;28.785;3;19.536;2;119.5;6:16.274;12:56:16.274;0:14.751;0:28.785;0:19.536;;José Maria LOPEZ;;;2;DS Virgin Racing;;
37;0;3;1:15.545;0;B;16.615;0;29.930;0;29.000;0;99.7;7:31.819;12:57:31.819;0:16.615;0:29.930;0:29.000;;José Maria LOPEZ;;;2;DS Virgin Racing;;
5;0;1;3:16.825;0;;2:18.529;0;35.313;0;22.983;0;38.3;3:16.825;12:53:16.825;2:18.529;0:35.313;0:22.983;;Maro ENGEL;0:02:07.198;;4;Venturi Formula E Team;;
5;0;2;1:03.045;2;;14.849;2;28.820;2;19.376;2;119.5;4:19.870;12:54:19.870;0:14.849;0:28.820;0:19.376;;Maro ENGEL;;;4;Venturi Formula E Team;;
5;0;3;1:14.738;0;B;18.516;0;30.192;0;26.030;0;100.8;5:34.608;12:55:34.608;0:18.516;0:30.192;0:26.030;;Maro ENGEL;;;4;Venturi Formula E Team;;
66;0;1;7:07.848;0;;6:15.063;0;31.716;0;21.069;0;17.6;7:07.848;12:57:07.848;6:15.063;0:31.716;0:21.069;;Daniel ABT;0:06:04.178;;2;ABT Schaeffler Audi Sport;;
66;0;2;1:02.711;4;;14.643;3;28.998;2;19.070;4;120.2;8:10.559;12:58:10.559;0:14.643;0:28.998;0:19.070;;Daniel ABT;;;2;ABT Schaeffler Audi Sport;;
66;0;3;1:17.580;0;B;19.549;0;30.597;0;27.434;0;97.1;9:28.139;12:59:28.139;0:19.549;0:30.597;0:27.434;;Daniel ABT;;;2;ABT Schaeffler Audi Sport;;
88;0;1;9:01.091;0;;8:07.536;0;32.568;0;20.987;0;13.9;9:01.091;12:59:01.091;8:07.536;0:32.568;0:20.987;;Oliver TURVEY;0:07:13.800;;2;NEXTEV NIO;;
88;0;2;1:02.867;2;;14.716;2;28.970;2;19.181;2;119.9;10:03.958;13:00:03.958;0:14.716;0:28.970;0:19.181;;Oliver TURVEY;;;2;NEXTEV NIO;;
88;0;3;1:28.458;0;B;18.219;0;35.506;0;34.733;0;85.2;11:32.416;13:01:32.416;0:18.219;0:35.506;0:34.733;;Oliver TURVEY;;;2;NEXTEV NIO;;
