POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;11;Classified;45;56:27.535;-;-;40;1:04.360;117.1;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;;;;;;;
2;25;Classified;45;56:29.501;+1.966;+1.966;26;1:03.334;119.0;TECHEETAH;;;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;;;;;;;
3;2;Classified;45;56:35.015;+7.480;+5.514;27;1:03.599;118.5;DS Virgin Racing;;;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;;;;;;;
4;20;Classified;45;56:37.305;+9.770;+2.290;36;1:04.250;117.3;Panasonic Jaguar Racing;;;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;;;;;;;
5;8;Classified;45;56:37.491;+9.956;+0.186;34;1:04.112;117.5;Renault e.dams;;;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;;;;;;;
6;37;Classified;45;56:38.166;+10.631;+0.675;21;1:03.735;118.2;DS Virgin Racing;;;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;;;;;;;
7;66;Classified;45;56:39.229;+11.694;+1.063;39;1:04.108;117.5;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffler FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;;;;;;;
8;47;Classified;45;56:41.257;+13.722;+2.028;39;1:04.479;116.9;Panasonic Jaguar Racing;;;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;;;;;;;
9;3;Classified;45;56:41.691;+14.156;+0.434;32;1:04.096;117.6;NEXTEV NIO;;;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;;;;;;;
10;33;Classified;45;56:43.252;+15.717;+1.561;20;1:04.276;117.2;TECHEETAH;;;8008;Renault Z.E. 16;;;;;;;;;;;;Esteban;GUTIERREZ;;MEX;MEX;;;;;;;
11;27;Classified;45;56:48.994;+21.459;+5.742;27;1:03.787;118.1;Andretti Formula E;;;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;;;;;;;
12;23;Classified;45;56:54.767;+27.232;+5.773;27;1:03.864;118.0;Mahindra Racing;;;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;;;;;;;
13;9;Classified;45;57:28.900;+1:01.365;+34.133;40;1:03.102;119.4;Renault e.dams;;;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;;;;;;;
14;7;Classified;45;57:37.181;+1:09.646;+8.281;10;1:04.476;116.9;Faraday Future Dragon Racing;;;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;;;;;;;
15;4;Classified;44;57:03.709;1 Lap;1 Lap;40;1:03.384;118.9;Venturi Formula E Team;;;1113;Venturi VM200-FE-02;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;;;;;;;
16;19;Classified;43;54:38.350;2 Laps;1 Lap;36;1:04.021;117.7;Mahindra Racing;;;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;;;;;;;
;5;Not classified;38;49:16.074;;;22;1:04.172;117.4;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;;;;;;;
;28;Not classified;32;42:26.431;;;27;1:03.972;117.8;Andretti Formula E;;;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;;;;;;;
;6;Not classified;25;32:06.061;;;14;1:04.152;117.5;Faraday Future Dragon Racing;;;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;;;;;;;
;88;Not classified;12;15:22.610;;;10;1:04.636;116.6;NEXTEV NIO;;;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;;;;;;;
