NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
20;0;1;2:00.561;0;;1:20.505;0;21.257;0;18.799;0;52.7;2:00.561;12:02:00.561;1:20.505;0:21.257;0:18.799;;Mitch EVANS;;;1;Panasonic Jaguar Racing;JAGUAR;
20;0;2;1:01.668;0;;24.038;0;21.087;0;16.543;0;103.0;3:02.229;12:03:02.229;0:24.038;0:21.087;0:16.543;;Mitch EVANS;;;1;Panasonic Jaguar Racing;JAGUAR;
20;0;3;54.115;2;;20.917;2;16.939;2;16.259;2;117.4;3:56.344;12:03:56.344;0:20.917;0:16.939;0:16.259;;Mitch EVANS;;;1;Panasonic Jaguar Racing;JAGUAR;
28;0;1;1:36.075;0;;;0;;0;17.677;0;66.1;1:36.075;12:01:36.075;;;0:17.677;;Antonio Felix DA COSTA;;;1;Andretti Formula E;ANDRETTI;
28;0;2;56.622;0;;21.644;0;18.018;0;16.960;0;112.2;2:32.697;12:02:32.697;0:21.644;0:18.018;0:16.960;;Antonio Felix DA COSTA;;;1;Andretti Formula E;ANDRETTI;
28;0;3;54.631;2;;20.839;2;17.223;2;16.569;2;116.3;3:27.328;12:03:27.328;0:20.839;0:17.223;0:16.569;;Antonio Felix DA COSTA;;;1;Andretti Formula E;ANDRETTI;
6;0;1;2:12.168;0;;1:34.824;0;19.426;0;17.918;0;48.1;2:12.168;12:02:12.168;1:34.824;0:19.426;0:17.918;;Loïc DUVAL;0:01:07.119;;1;Faraday Future Dragon Racing;FARADAY;
6;0;2;1:00.136;0;;23.637;0;18.741;0;17.758;0;105.7;3:12.304;12:03:12.304;0:23.637;0:18.741;0:17.758;;Loïc DUVAL;;;1;Faraday Future Dragon Racing;FARADAY;
6;0;3;1:02.009;0;;22.848;0;18.563;0;20.598;0;102.5;4:14.313;12:04:14.313;0:22.848;0:18.563;0:20.598;;Loïc DUVAL;;;1;Faraday Future Dragon Racing;FARADAY;
6;0;4;53.929;2;;20.608;2;17.035;2;16.286;2;117.8;5:08.242;12:05:08.242;0:20.608;0:17.035;0:16.286;;Loïc DUVAL;;;1;Faraday Future Dragon Racing;FARADAY;
88;0;1;1:56.266;0;;1:18.235;0;19.862;0;18.169;0;54.7;1:56.266;12:01:56.266;1:18.235;0:19.862;0:18.169;;Oliver TURVEY;;;1;NEXTEV NIO;NEXTEV;
88;0;2;59.967;0;;23.922;0;18.479;0;17.566;0;106.0;2:56.233;12:02:56.233;0:23.922;0:18.479;0:17.566;;Oliver TURVEY;;;1;NEXTEV NIO;NEXTEV;
88;0;3;54.522;2;;21.014;2;17.107;2;16.401;2;116.5;3:50.755;12:03:50.755;0:21.014;0:17.107;0:16.401;;Oliver TURVEY;;;1;NEXTEV NIO;NEXTEV;
9;0;1;2:07.232;0;;1:26.457;0;21.736;0;19.039;0;49.9;2:07.232;12:02:07.232;1:26.457;0:21.736;0:19.039;;Sébastien BUEMI;;;1;Renault e.dams;RENAULT;
9;0;2;1:01.624;0;;24.229;0;20.359;0;17.036;0;103.1;3:08.856;12:03:08.856;0:24.229;0:20.359;0:17.036;;Sébastien BUEMI;;;1;Renault e.dams;RENAULT;
9;0;3;53.413;4;;20.472;4;16.764;4;16.177;4;119.0;4:02.269;12:04:02.269;0:20.472;0:16.764;0:16.177;;Sébastien BUEMI;;;1;Renault e.dams;RENAULT;
