NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:09.396;0;;33.759;0;18.401;0;17.236;0;91.6;1:09.396;12:46:09.396;0:33.759;0:18.401;0:17.236;;Lucas DI GRASSI;0:00:07.724;;3;ABT Schaeffler Audi Sport;ABT;
11;0;2;53.550;2;;20.444;2;16.758;3;16.348;2;118.7;2:02.946;12:47:02.946;0:20.444;0:16.758;0:16.348;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
25;0;1;8:28.765;0;;7:51.737;0;20.013;0;17.015;0;12.5;8:28.765;12:53:28.765;7:51.737;0:20.013;0:17.015;;Jean-Eric VERGNE;0:07:08.723;;4;TECHEETAH;TECHEETAH;
25;0;2;53.756;2;;20.850;2;16.787;2;16.119;3;118.2;9:22.521;12:54:22.521;0:20.850;0:16.787;0:16.119;;Jean-Eric VERGNE;;;4;TECHEETAH;TECHEETAH;
3;0;1;2:52.762;0;;2:15.657;0;18.811;0;18.294;0;36.8;2:52.762;12:47:52.762;2:15.657;0:18.811;0:18.294;;Nelson PIQUET JR;0:01:48.677;;4;NEXTEV NIO;NEXTEV;
3;0;2;53.606;2;;20.623;2;16.776;2;16.207;2;118.5;3:46.368;12:48:46.368;0:20.623;0:16.776;0:16.207;;Nelson PIQUET JR;;;4;NEXTEV NIO;NEXTEV;
5;0;1;6:38.813;0;;5:59.848;0;20.599;0;18.366;0;15.9;6:38.813;12:51:38.813;5:59.848;0:20.599;0:18.366;;Maro ENGEL;0:05:32.901;;3;Venturi Formula E Team;VENTURI;
5;0;2;55.013;2;;20.959;2;17.481;2;16.573;2;115.5;7:33.826;12:52:33.826;0:20.959;0:17.481;0:16.573;;Maro ENGEL;;;3;Venturi Formula E Team;VENTURI;
9;0;1;4:45.320;0;;4:06.588;0;21.550;0;17.182;0;22.3;4:45.320;12:49:45.320;4:06.588;0:21.550;0:17.182;;Sébastien BUEMI;0:02:57.306;;1;Renault e.dams;RENAULT;
9;0;2;53.313;3;;20.319;3;16.847;2;16.147;2;119.2;5:38.633;12:50:38.633;0:20.319;0:16.847;0:16.147;;Sébastien BUEMI;;;1;Renault e.dams;RENAULT;
