POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;51;51:05.488;-;-;45;54.978;115.6;Renault e.dams;;;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;;;;;;;
2;11;Classified;51;51:05.808;+0.320;+0.320;44;54.863;115.8;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;;;;;;;
3;23;Classified;51;51:19.166;+13.678;+13.358;14;55.260;115.0;Mahindra Racing;;;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;;;;;;;
4;3;Classified;51;51:24.562;+19.074;+5.396;15;55.272;115.0;NEXTEV NIO;;;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;;;;;;;
5;5;Classified;51;51:25.006;+19.518;+0.444;16;55.549;114.4;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;;;;;;;
6;19;Classified;51;51:25.087;+19.599;+0.081;16;55.512;114.5;Mahindra Racing;;;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;;;;;;;
7;66;Classified;51;51:25.918;+20.430;+0.831;15;55.383;114.7;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffler FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;;;;;;;
8;33;Classified;51;51:37.783;+32.295;+11.865;18;55.251;115.0;TECHEETAH;;;8008;Renault Z.E. 16;;;;;;;;;;;;Esteban;GUTIERREZ;;MEX;MEX;;;;;;;
9;8;Classified;51;51:41.155;+35.667;+3.372;15;55.361;114.8;Renault e.dams;;;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;;;;;;;
10;20;Classified;51;51:43.898;+38.410;+2.743;18;55.555;114.4;Panasonic Jaguar Racing;;;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;;;;;;;
11;28;Classified;51;52:13.818;+1:08.330;+29.920;9;55.485;114.5;Andretti Formula E;;;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;;;;;;;
12;27;Classified;51;52:19.541;+1:14.053;+5.723;17;55.479;114.5;Andretti Formula E;;;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;;;;;;;
13;88;Classified;50;50:42.283;1 Lap;1 Lap;20;55.622;114.2;NEXTEV NIO;;;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;;;;;;;
14;47;Classified;50;51:08.410;1 Lap;+26.127;50;55.959;113.5;Panasonic Jaguar Racing;;;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;;;;;;;
15;4;Classified;49;50:32.315;2 Laps;1 Lap;49;54.490;116.6;Venturi Formula E Team;;;1113;Venturi VM200-FE-02;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;;;;;;;
;37;Not classified;43;50:17.049;;;32;53.909;117.9;DS Virgin Racing;;;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;;;;;;;
;7;Not classified;43;50:46.792;;;40;53.869;118.0;Faraday Future Dragon Racing;;;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;;;;;;;
;6;Not classified;40;51:20.256;;;34;54.288;117.0;Faraday Future Dragon Racing;;;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;;;;;;;
;2;Not classified;36;48:10.994;;;24;53.822;118.1;DS Virgin Racing;;;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;;;;;;;
;25;Not classified;20;18:34.350;;;16;55.064;115.4;TECHEETAH;;;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;;;;;;;
