NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:33.566;0;;31.054;0;33.150;0;29.362;0;105.6;1:33.566;08:01:33.566;0:31.054;0:33.150;0:29.362;;Lucas DI GRASSI;0:00:07.773;;;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:54.561;0;B;33.188;0;38.840;0;42.533;0;86.3;3:28.127;08:03:28.127;0:33.188;0:38.840;0:42.533;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;3;4:00.654;0;;3:00.598;0;31.544;0;28.512;0;41.1;7:28.781;08:07:28.781;3:00.598;0:31.544;0:28.512;;Lucas DI GRASSI;0:02:41.706;;;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:27.393;0;;29.188;0;30.369;0;27.836;0;113.1;8:56.174;08:08:56.174;0:29.188;0:30.369;0:27.836;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:36.549;0;;28.766;0;36.694;0;31.089;0;102.4;10:32.723;08:10:32.723;0:28.766;0:36.694;0:31.089;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:26.072;0;;28.308;0;29.980;0;27.784;0;114.8;11:58.795;08:11:58.795;0:28.308;0:29.980;0:27.784;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:47.106;0;;37.140;0;36.448;0;33.518;0;92.3;13:45.901;08:13:45.901;0:37.140;0:36.448;0:33.518;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:25.391;0;;28.048;0;29.800;0;27.543;0;115.7;15:11.292;08:15:11.292;0:28.048;0:29.800;0:27.543;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:39.857;0;;28.986;0;38.177;0;32.694;0;99.0;16:51.149;08:16:51.149;0:28.986;0:38.177;0:32.694;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:24.960;0;;28.007;0;29.600;0;27.353;0;116.3;18:16.109;08:18:16.109;0:28.007;0:29.600;0:27.353;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:45.232;0;;34.076;0;38.948;0;32.208;0;93.9;20:01.341;08:20:01.341;0:34.076;0:38.948;0:32.208;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;12;1:24.872;0;;27.808;0;29.754;0;27.310;0;116.4;21:26.213;08:21:26.213;0:27.808;0:29.754;0:27.310;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;13;1:52.832;0;;32.170;0;40.824;0;39.838;0;87.6;23:19.045;08:23:19.045;0:32.170;0:40.824;0:39.838;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;14;1:24.757;0;;27.731;0;29.658;0;27.368;0;116.6;24:43.802;08:24:43.802;0:27.731;0:29.658;0:27.368;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;15;1:40.880;0;;36.395;0;35.804;0;28.681;0;98.0;26:24.682;08:26:24.682;0:36.395;0:35.804;0:28.681;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;16;1:29.364;0;;29.335;0;30.879;0;29.150;0;110.6;27:54.046;08:27:54.046;0:29.335;0:30.879;0:29.150;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;17;1:28.297;0;;29.441;0;30.498;0;28.358;0;111.9;29:22.343;08:29:22.343;0:29.441;0:30.498;0:28.358;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;18;1:29.814;0;;29.155;0;32.571;0;28.088;0;110.0;30:52.157;08:30:52.157;0:29.155;0:32.571;0:28.088;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;19;1:47.227;0;B;35.406;0;35.701;0;36.120;0;92.2;32:39.384;08:32:39.384;0:35.406;0:35.701;0:36.120;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;20;5:00.325;0;;3:56.575;0;32.109;0;31.641;0;32.9;37:39.709;08:37:39.709;3:56.575;0:32.109;0:31.641;;Lucas DI GRASSI;0:03:35.076;;;ABT Schaeffler Audi Sport;ABT;
11;0;21;1:37.591;0;;30.707;0;33.219;0;33.665;0;101.3;39:17.300;08:39:17.300;0:30.707;0:33.219;0:33.665;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;22;1:22.451;3;;27.231;2;28.809;3;26.411;3;119.9;40:39.751;08:40:39.751;0:27.231;0:28.809;0:26.411;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;23;1:36.837;0;;34.025;0;34.421;0;28.391;0;102.0;42:16.588;08:42:16.588;0:34.025;0:34.421;0:28.391;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;24;1:24.521;0;;27.961;0;29.343;0;27.217;0;116.9;43:41.109;08:43:41.109;0:27.961;0:29.343;0:27.217;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;25;1:25.978;0;;27.820;0;29.555;0;28.603;0;114.9;45:07.087;08:45:07.087;0:27.820;0:29.555;0:28.603;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
19;0;1;1:55.693;0;;43.765;0;34.961;0;36.967;0;85.4;1:55.693;08:01:55.693;0:43.765;0:34.961;0:36.967;;Felix ROSENQVIST;0:00:19.987;;;Mahindra Racing;MAHINDRA;
19;0;2;1:29.500;0;;29.574;0;31.523;0;28.403;0;110.4;3:25.193;08:03:25.193;0:29.574;0:31.523;0:28.403;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
19;0;3;1:27.131;0;;29.060;0;30.194;0;27.877;0;113.4;4:52.324;08:04:52.324;0:29.060;0:30.194;0:27.877;;Felix ROSENQVIST;;;;Mahindra Racing;MAHINDRA;
