NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;2:51.339;0;;1:48.732;0;32.082;0;30.525;0;57.7;2:51.339;12:22:51.339;1:48.732;0:32.082;0:30.525;;Lucas DI GRASSI;0:01:26.465;;3;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:32.799;0;;30.755;0;31.932;0;30.112;0;106.5;4:24.138;12:24:24.138;0:30.755;0:31.932;0:30.112;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:23.026;4;;27.443;2;28.976;4;26.607;2;119.0;5:47.164;12:25:47.164;0:27.443;0:28.976;0:26.607;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
19;0;1;2:58.526;0;;1:57.395;0;31.738;0;29.393;0;55.4;2:58.526;12:22:58.526;1:57.395;0:31.738;0:29.393;;Felix ROSENQVIST;0:01:29.464;;3;Mahindra Racing;MAHINDRA;
19;0;2;1:29.144;0;;28.947;0;32.789;0;27.408;0;110.9;4:27.670;12:24:27.670;0:28.947;0:32.789;0:27.408;;Felix ROSENQVIST;;;3;Mahindra Racing;MAHINDRA;
19;0;3;1:23.232;2;;27.688;2;29.018;2;26.526;4;118.7;5:50.902;12:25:50.902;0:27.688;0:29.018;0:26.526;;Felix ROSENQVIST;;;3;Mahindra Racing;MAHINDRA;
20;0;1;2:31.393;0;;1:18.366;0;38.921;0;34.106;0;65.3;2:31.393;12:22:31.393;1:18.366;0:38.921;0:34.106;;Mitch EVANS;0:00:50.877;;3;Panasonic Jaguar Racing;JAGUAR;
20;0;2;1:36.872;0;;36.056;0;32.962;0;27.854;0;102.0;4:08.265;12:24:08.265;0:36.056;0:32.962;0:27.854;;Mitch EVANS;;;3;Panasonic Jaguar Racing;JAGUAR;
20;0;3;1:23.532;2;;27.567;2;29.170;2;26.795;2;118.3;5:31.797;12:25:31.797;0:27.567;0:29.170;0:26.795;;Mitch EVANS;;;3;Panasonic Jaguar Racing;JAGUAR;
25;0;1;2:20.879;0;;1:12.260;0;38.331;0;30.288;0;70.1;2:20.879;12:22:20.879;1:12.260;0:38.331;0:30.288;;Jean-Eric VERGNE;0:00:45.133;;3;TECHEETAH;TECHEETAH;
25;0;2;1:28.835;0;;30.065;0;31.140;0;27.630;0;111.2;3:49.714;12:23:49.714;0:30.065;0:31.140;0:27.630;;Jean-Eric VERGNE;;;3;TECHEETAH;TECHEETAH;
25;0;3;1:23.398;2;;27.290;2;29.069;2;27.039;2;118.5;5:13.112;12:25:13.112;0:27.290;0:29.069;0:27.039;;Jean-Eric VERGNE;;;3;TECHEETAH;TECHEETAH;
9;0;1;2:33.215;0;;1:28.737;0;33.120;0;31.358;0;64.5;2:33.215;12:22:33.215;1:28.737;0:33.120;0:31.358;;Sébastien BUEMI;0:01:05.523;;3;Renault e.dams;RENAULT;
9;0;2;1:31.292;0;;31.316;0;32.274;0;27.702;0;108.2;4:04.507;12:24:04.507;0:31.316;0:32.274;0:27.702;;Sébastien BUEMI;;;3;Renault e.dams;RENAULT;
9;0;3;1:23.053;2;;27.197;4;29.236;2;26.620;2;119.0;5:27.560;12:25:27.560;0:27.197;0:29.236;0:26.620;;Sébastien BUEMI;;;3;Renault e.dams;RENAULT;
