NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;10:59.177;0;;9:59.478;0;31.370;0;28.329;0;15.0;10:59.177;12:55:59.177;9:59.478;0:31.370;0:28.329;;Lucas DI GRASSI;0:09:37.444;;3;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:22.869;3;;27.347;2;29.042;3;26.480;3;119.2;12:22.046;12:57:22.046;0:27.347;0:29.042;0:26.480;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
19;0;1;3:48.095;0;;2:50.263;0;30.156;0;27.676;0;43.3;3:48.095;12:48:48.095;2:50.263;0:30.156;0:27.676;;Felix ROSENQVIST;0:02:28.116;;3;Mahindra Racing;MAHINDRA;
19;0;2;1:24.351;2;;28.553;2;29.171;2;26.627;2;117.2;5:12.446;12:50:12.446;0:28.553;0:29.171;0:26.627;;Felix ROSENQVIST;;;3;Mahindra Racing;MAHINDRA;
19;0;3;7:05.702;0;B;29.882;0;30.978;0;6:04.842;0;23.2;12:18.148;12:57:18.148;0:29.882;0:30.978;6:04.842;;Felix ROSENQVIST;;;3;Mahindra Racing;MAHINDRA;
33;0;1;6:07.799;0;;5:10.476;0;30.388;0;26.935;0;26.9;6:07.799;12:51:07.799;5:10.476;0:30.388;0:26.935;;Stéphane SARRAZIN;0:04:49.750;;2;TECHEETAH;TECHEETAH;
33;0;2;1:23.179;2;;27.395;2;29.266;2;26.518;2;118.8;7:30.978;12:52:30.978;0:27.395;0:29.266;0:26.518;;Stéphane SARRAZIN;;;2;TECHEETAH;TECHEETAH;
8;0;1;1:25.851;0;;27.307;0;30.850;0;27.694;0;115.1;1:25.851;12:46:25.851;0:27.307;0:30.850;0:27.694;;Nicolas PROST;;;2;Renault e.dams;RENAULT;
8;0;2;1:23.330;2;;27.397;2;29.336;2;26.597;2;118.6;2:49.181;12:47:49.181;0:27.397;0:29.336;0:26.597;;Nicolas PROST;;;2;Renault e.dams;RENAULT;
8;0;3;7:16.121;0;B;29.285;0;30.161;0;6:16.675;0;22.7;10:05.302;12:55:05.302;0:29.285;0:30.161;6:16.675;;Nicolas PROST;;;2;Renault e.dams;RENAULT;
9;0;1;8:32.506;0;;7:32.498;0;32.214;0;27.794;0;19.3;8:32.506;12:53:32.506;7:32.498;0:32.214;0:27.794;;Sébastien BUEMI;0:07:08.738;;3;Renault e.dams;RENAULT;
9;0;2;1:23.065;2;;27.306;3;29.225;2;26.534;2;119.0;9:55.571;12:54:55.571;0:27.306;0:29.225;0:26.534;;Sébastien BUEMI;;;3;Renault e.dams;RENAULT;
