POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;11;Classified;35;56:55.592;-;-;34;1:25.130;116.1;ABT Schaeffler Audi Sport;;3;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
2;25;Classified;35;56:55.942;+0.350;+0.350;34;1:25.149;116.1;TECHEETAH;;3;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;;;;;;
3;33;Classified;35;57:03.461;+7.869;+7.519;34;1:25.386;115.7;TECHEETAH;;2;1113;Renault Z.E. 16;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;SAR;;;;;;
4;66;Classified;35;57:04.184;+8.592;+0.723;33;1:25.444;115.7;ABT Schaeffler Audi Sport;;1;1080;ABT Schaeffler FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;ABT;;;;;;
5;2;Classified;35;57:04.505;+8.913;+0.321;32;1:24.904;116.4;DS Virgin Racing;;1;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;;
6;8;Classified;35;57:05.650;+10.058;+1.145;32;1:24.760;116.6;Renault e.dams;;2;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;PRO;;;;;;
7;20;Classified;35;57:06.049;+10.457;+0.399;34;1:25.488;115.6;Panasonic Jaguar Racing;;3;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
8;27;Classified;35;57:11.428;+15.836;+5.379;33;1:25.791;115.2;Andretti Formula E;;2;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
9;19;Classified;35;57:12.356;+16.764;+0.928;30;1:25.982;114.9;Mahindra Racing;;3;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;;;;;;
10;4;Classified;35;57:14.912;+19.320;+2.556;35;1:26.215;114.6;Venturi Formula E Team;;4;8003;Venturi VM200-FE-02;;;;;;;;;;;;Tom;DILLMANN;;FRA;FRA;DIL;;;;;;
11;7;Classified;35;57:15.821;+20.229;+0.909;34;1:26.388;114.4;Faraday Future Dragon Racing;;1;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;;;;;;
12;5;Classified;35;57:17.906;+22.314;+2.085;30;1:26.657;114.0;Venturi Formula E Team;;4;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;ENG;;;;;;
13;3;Classified;35;57:18.737;+23.145;+0.831;30;1:26.492;114.3;NEXTEV NIO;;1;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;PIQ;;;;;;
14;28;Classified;35;57:30.378;+34.786;+11.641;12;1:26.106;114.8;Andretti Formula E;;2;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;;;;;;
15;88;Classified;35;57:42.588;+46.996;+12.210;34;1:26.311;114.5;NEXTEV NIO;;4;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;TUR;;;;;;
16;47;Classified;35;57:45.204;+49.612;+2.616;31;1:25.400;115.7;Panasonic Jaguar Racing;;4;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;CAR;;;;;;
;6;Not classified;26;53:21.867;;;19;1:24.536;116.9;Faraday Future Dragon Racing;;1;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;DUV;;;;;;
;37;Not classified;23;36:41.012;;;12;1:26.128;114.7;DS Virgin Racing;;2;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;LOP;;;;;;
;23;Not classified;13;19:10.210;;;11;1:26.311;114.5;Mahindra Racing;;4;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;HEI;;;;;;
;9;Disqualified;35;57:03.848;;;32;1:24.978;116.3;Renault e.dams;;3;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
