NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:34.407;0;;34.640;0;31.035;0;28.732;0;104.7;1:34.407;16:05:27.148;0:34.640;0:31.035;0:28.732;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:28.445;0;;29.481;0;30.650;0;28.314;0;111.7;3:02.852;16:06:55.593;0:29.481;0:30.650;0:28.314;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:27.284;0;;29.062;0;30.308;0;27.914;0;113.2;4:30.136;16:08:22.877;0:29.062;0:30.308;0:27.914;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:26.548;0;;28.687;0;30.121;0;27.740;0;114.2;5:56.684;16:09:49.425;0:28.687;0:30.121;0:27.740;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:26.287;0;;28.467;0;30.066;0;27.754;0;114.5;7:22.971;16:11:15.712;0:28.467;0:30.066;0:27.754;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:26.163;0;;28.553;0;29.988;0;27.622;0;114.7;8:49.134;16:12:41.875;0:28.553;0:29.988;0:27.622;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:26.153;0;;28.448;0;29.974;0;27.731;0;114.7;10:15.287;16:14:08.028;0:28.448;0:29.974;0:27.731;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:26.174;0;;28.391;0;29.980;0;27.803;0;114.7;11:41.461;16:15:34.202;0:28.391;0:29.980;0:27.803;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:25.983;0;;28.453;0;29.979;0;27.551;0;114.9;13:07.444;16:17:00.185;0:28.453;0:29.979;0:27.551;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:25.967;0;;28.427;0;29.947;0;27.593;0;115.0;14:33.411;16:18:26.152;0:28.427;0:29.947;0:27.593;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:26.071;0;;28.494;0;30.030;0;27.547;0;114.8;15:59.482;16:19:52.223;0:28.494;0:30.030;0:27.547;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;12;1:26.267;0;;28.757;0;29.997;0;27.513;0;114.6;17:25.749;16:21:18.490;0:28.757;0:29.997;0:27.513;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;13;1:26.251;0;;28.386;0;30.026;0;27.839;0;114.6;18:52.000;16:22:44.741;0:28.386;0:30.026;0:27.839;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;14;1:26.772;0;;28.808;0;30.241;0;27.723;0;113.9;20:18.772;16:24:11.513;0:28.808;0:30.241;0:27.723;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
