NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:39.098;0;;32.647;0;34.630;0;31.821;0;99.7;1:39.098;08:01:39.098;0:32.647;0:34.630;0:31.821;;Lucas DI GRASSI;0:00:08.069;;;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:40.308;0;B;31.730;0;33.736;0;34.842;0;98.5;3:19.406;08:03:19.406;0:31.730;0:33.736;0:34.842;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;3;2:16.972;0;;1:17.134;0;31.575;0;28.263;0;72.1;5:36.378;08:05:36.378;1:17.134;0:31.575;0:28.263;;Lucas DI GRASSI;0:00:57.930;;;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:31.903;0;;32.851;0;31.110;0;27.942;0;107.5;7:08.281;08:07:08.281;0:32.851;0:31.110;0:27.942;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:28.897;0;;30.741;0;30.603;0;27.553;0;111.2;8:37.178;08:08:37.178;0:30.741;0:30.603;0:27.553;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:26.236;0;;28.775;0;29.998;0;27.463;0;114.6;10:03.414;08:10:03.414;0:28.775;0:29.998;0:27.463;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:25.808;0;;28.594;0;29.815;0;27.399;0;115.2;11:29.222;08:11:29.222;0:28.594;0:29.815;0:27.399;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:25.548;0;;28.406;0;29.710;0;27.432;0;115.5;12:54.770;08:12:54.770;0:28.406;0:29.710;0:27.432;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:33.999;0;B;30.336;0;31.244;0;32.419;0;105.1;14:28.769;08:14:28.769;0:30.336;0:31.244;0:32.419;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;10;3:07.614;0;;2:09.805;0;30.589;0;27.220;0;52.7;17:36.383;08:17:36.383;2:09.805;0:30.589;0:27.220;;Lucas DI GRASSI;0:01:49.967;;;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:23.424;0;;27.381;0;29.106;0;26.937;0;118.5;18:59.807;08:18:59.807;0:27.381;0:29.106;0:26.937;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;12;1:38.001;0;;31.074;0;34.054;0;32.873;0;100.8;20:37.808;08:20:37.808;0:31.074;0:34.054;0:32.873;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;13;1:41.450;0;;29.213;0;40.168;0;32.069;0;97.4;22:19.258;08:22:19.258;0:29.213;0:40.168;0:32.069;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;14;1:23.223;0;;27.390;0;28.999;0;26.834;0;118.7;23:42.481;08:23:42.481;0:27.390;0:28.999;0:26.834;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;15;1:42.201;0;;32.148;0;38.027;0;32.026;0;96.7;25:24.682;08:25:24.682;0:32.148;0:38.027;0:32.026;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;16;1:23.293;0;;27.445;0;28.994;0;26.854;0;118.6;26:47.975;08:26:47.975;0:27.445;0:28.994;0:26.854;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;17;1:39.255;0;;30.113;0;32.856;0;36.286;0;99.6;28:27.230;08:28:27.230;0:30.113;0:32.856;0:36.286;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
