NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;3:14.286;0;;2:08.628;0;32.041;0;33.617;0;50.9;3:14.286;12:13:14.286;2:08.628;0:32.041;0:33.617;;Felix ROSENQVIST;0:01:45.207;;2;Mahindra Racing;MAHINDRA;
19;0;2;1:28.778;0;;28.607;0;33.432;0;26.739;0;111.3;4:43.064;12:14:43.064;0:28.607;0:33.432;0:26.739;;Felix ROSENQVIST;;;2;Mahindra Racing;MAHINDRA;
19;0;3;1:22.051;4;;27.125;4;28.801;4;26.125;4;120.4;6:05.115;12:16:05.115;0:27.125;0:28.801;0:26.125;;Felix ROSENQVIST;;;2;Mahindra Racing;MAHINDRA;
20;0;1;3:05.131;0;;1:54.447;0;38.583;0;32.101;0;53.4;3:05.131;12:13:05.131;1:54.447;0:38.583;0:32.101;;Mitch EVANS;0:01:27.624;;2;Panasonic Jaguar Racing;JAGUAR;
20;0;2;1:33.552;0;;32.633;0;33.487;0;27.432;0;105.6;4:38.683;12:14:38.683;0:32.633;0:33.487;0:27.432;;Mitch EVANS;;;2;Panasonic Jaguar Racing;JAGUAR;
20;0;3;1:23.755;2;;27.954;2;29.231;2;26.570;2;118.0;6:02.438;12:16:02.438;0:27.954;0:29.231;0:26.570;;Mitch EVANS;;;2;Panasonic Jaguar Racing;JAGUAR;
25;0;1;3:31.144;0;;2:29.407;0;32.494;0;29.243;0;46.8;3:31.144;12:13:31.144;2:29.407;0:32.494;0:29.243;;Jean-Eric VERGNE;0:02:06.507;;2;TECHEETAH;TECHEETAH;
25;0;2;1:29.238;0;;30.124;0;31.803;0;27.311;0;110.7;5:00.382;12:15:00.382;0:30.124;0:31.803;0:27.311;;Jean-Eric VERGNE;;;2;TECHEETAH;TECHEETAH;
25;0;3;1:22.378;2;;27.179;2;28.938;2;26.261;2;120.0;6:22.760;12:16:22.760;0:27.179;0:28.938;0:26.261;;Jean-Eric VERGNE;;;2;TECHEETAH;TECHEETAH;
4;0;1;3:51.708;0;;2:44.467;0;34.483;0;32.758;0;42.6;3:51.708;12:13:51.708;2:44.467;0:34.483;0:32.758;;Tom DILLMANN;0:02:19.543;;2;Venturi Formula E Team;VENTURI;
4;0;2;1:29.023;0;;29.480;0;31.518;0;28.025;0;111.0;5:20.731;12:15:20.731;0:29.480;0:31.518;0:28.025;;Tom DILLMANN;;;2;Venturi Formula E Team;VENTURI;
4;0;3;1:22.822;2;;27.191;2;29.279;2;26.352;2;119.3;6:43.553;12:16:43.553;0:27.191;0:29.279;0:26.352;;Tom DILLMANN;;;2;Venturi Formula E Team;VENTURI;
7;0;1;3:33.717;0;;2:31.775;0;32.312;0;29.630;0;46.2;3:33.717;12:13:33.717;2:31.775;0:32.312;0:29.630;;Jérôme D'AMBROSIO;0:02:09.277;;2;Faraday Future Dragon Racing;FARADAY;
7;0;2;1:28.764;0;;30.547;0;30.143;0;28.074;0;111.3;5:02.481;12:15:02.481;0:30.547;0:30.143;0:28.074;;Jérôme D'AMBROSIO;;;2;Faraday Future Dragon Racing;FARADAY;
7;0;3;1:23.058;2;;27.489;2;29.101;2;26.468;2;119.0;6:25.539;12:16:25.539;0:27.489;0:29.101;0:26.468;;Jérôme D'AMBROSIO;;;2;Faraday Future Dragon Racing;FARADAY;
