NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:25.640;0;;26.356;0;31.186;0;28.098;0;115.4;1:25.640;12:46:25.640;0:26.356;0:31.186;0:28.098;;Lucas DI GRASSI;0:00:05.211;;4;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:23.557;2;;27.864;2;29.013;2;26.680;2;118.3;2:49.197;12:47:49.197;0:27.864;0:29.013;0:26.680;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;ABT;
11;0;3;4:03.823;0;B;31.089;0;31.317;0;3:01.417;0;40.5;6:53.020;12:51:53.020;0:31.089;0:31.317;3:01.417;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;ABT;
19;0;1;9:00.533;0;;7:56.519;0;36.816;0;27.198;0;18.3;9:00.533;12:54:00.533;7:56.519;0:36.816;0:27.198;;Felix ROSENQVIST;0:07:34.043;;2;Mahindra Racing;MAHINDRA;
19;0;2;1:22.344;3;;27.239;2;28.961;3;26.144;3;120.0;10:22.877;12:55:22.877;0:27.239;0:28.961;0:26.144;;Felix ROSENQVIST;;;2;Mahindra Racing;MAHINDRA;
2;0;1;11:28.221;0;;10:26.260;0;32.055;0;29.906;0;14.4;11:28.221;12:56:28.221;10:26.260;0:32.055;0:29.906;;Sam BIRD;0:10:04.425;;4;DS Virgin Racing;VIRGIN;
2;0;2;1:22.559;2;;26.992;3;29.340;2;26.227;2;119.7;12:50.780;12:57:50.780;0:26.992;0:29.340;0:26.227;;Sam BIRD;;;4;DS Virgin Racing;VIRGIN;
23;0;1;3:55.803;0;;2:56.990;0;30.634;0;28.179;0;41.9;3:55.803;12:48:55.803;2:56.990;0:30.634;0:28.179;;Nick HEIDFELD;0:02:35.028;;4;Mahindra Racing;MAHINDRA;
23;0;2;1:23.041;2;;27.442;2;29.053;2;26.546;2;119.0;5:18.844;12:50:18.844;0:27.442;0:29.053;0:26.546;;Nick HEIDFELD;;;4;Mahindra Racing;MAHINDRA;
23;0;3;4:19.447;0;B;31.842;0;32.369;0;3:15.236;0;38.1;9:38.291;12:54:38.291;0:31.842;0:32.369;3:15.236;;Nick HEIDFELD;;;4;Mahindra Racing;MAHINDRA;
25;0;1;6:34.503;0;;5:25.279;0;36.485;0;32.739;0;25.0;6:34.503;12:51:34.503;5:25.279;0:36.485;0:32.739;;Jean-Eric VERGNE;0:04:06.637;;2;TECHEETAH;TECHEETAH;
25;0;2;1:22.769;2;;27.280;2;28.967;2;26.522;2;119.4;7:57.272;12:52:57.272;0:27.280;0:28.967;0:26.522;;Jean-Eric VERGNE;;;2;TECHEETAH;TECHEETAH;
