POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;25;Classified;37;54:12.606;-;-;26;1:25.262;115.9;TECHEETAH;;;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;;;;;;
2;19;Classified;37;54:13.502;+0.896;+0.896;35;1:25.396;115.7;Mahindra Racing;;;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;;;;;;
3;37;Classified;37;54:17.074;+4.468;+3.572;25;1:24.839;116.5;DS Virgin Racing;;;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;LOP;;;;;;
4;2;Classified;37;54:19.720;+7.114;+2.646;32;1:25.387;115.7;DS Virgin Racing;;;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;;
5;23;Classified;37;54:34.539;+21.933;+14.819;8;1:26.028;114.9;Mahindra Racing;;;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;HEI;;;;;;
6;66;Classified;37;54:37.050;+24.444;+2.511;23;1:25.247;115.9;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffler FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;ABT;;;;;;
7;11;Classified;37;54:37.461;+24.855;+0.411;30;1:25.451;115.6;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
8;33;Classified;37;54:38.644;+26.038;+1.183;25;1:25.798;115.2;TECHEETAH;;;1113;Renault Z.E. 16;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;SAR;;;;;;
9;7;Classified;37;54:40.888;+28.282;+2.244;8;1:25.927;115.0;Faraday Future Dragon Racing;;;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;;;;;;
10;4;Classified;37;54:41.197;+28.591;+0.309;11;1:26.052;114.8;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Tom;DILLMANN;;FRA;FRA;DIL;;;;;;
11;9;Classified;37;54:47.776;+35.170;+6.579;25;1:24.916;116.4;Renault e.dams;;;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
12;20;Classified;37;54:49.154;+36.548;+1.378;30;1:25.137;116.1;Panasonic Jaguar Racing;;;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
13;27;Classified;37;54:49.432;+36.826;+0.278;25;1:25.570;115.5;Andretti Formula E;;;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
14;47;Classified;37;54:49.578;+36.972;+0.146;14;1:25.785;115.2;Panasonic Jaguar Racing;;;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;CAR;;;;;;
15;28;Classified;37;54:52.326;+39.720;+2.748;9;1:25.862;115.1;Andretti Formula E;;;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;;;;;;
16;3;Classified;37;54:59.357;+46.751;+7.031;15;1:25.043;116.2;NEXTEV NIO;;;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;PIQ;;;;;;
17;88;Classified;37;55:01.722;+49.116;+2.365;9;1:25.937;115.0;NEXTEV NIO;;;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;TUR;;;;;;
18;5;Classified;37;55:46.136;+1:33.530;+44.414;9;1:25.966;115.0;Venturi Formula E Team;;;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;ENG;;;;;;
19;6;Classified;34;50:26.842;3 Laps;3 Laps;26;1:25.883;115.1;Faraday Future Dragon Racing;;;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;DUV;;;;;;
;8;Not classified;32;52:36.346;;;28;1:23.444;118.4;Renault e.dams;;;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;PRO;;;;;;
