NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:37.235;0;;37.484;0;31.266;0;28.485;0;101.6;1:37.235;16:05:15.011;0:37.484;0:31.266;0:28.485;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:31.884;0;;31.858;0;31.778;0;28.248;0;107.5;3:09.119;16:06:46.895;0:31.858;0:31.778;0:28.248;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:28.466;0;;29.530;0;31.066;0;27.870;0;111.7;4:37.585;16:08:15.361;0:29.530;0:31.066;0:27.870;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:26.596;0;;28.975;0;29.978;0;27.643;0;114.1;6:04.181;16:09:41.957;0:28.975;0:29.978;0:27.643;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:26.197;0;;28.646;0;29.914;0;27.637;0;114.6;7:30.378;16:11:08.154;0:28.646;0:29.914;0:27.637;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:26.445;0;;28.805;0;30.007;0;27.633;0;114.3;8:56.823;16:12:34.599;0:28.805;0:30.007;0:27.633;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:26.480;0;;28.961;0;29.901;0;27.618;0;114.3;10:23.303;16:14:01.079;0:28.961;0:29.901;0:27.618;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:25.870;0;;28.646;0;29.737;0;27.487;0;115.1;11:49.173;16:15:26.949;0:28.646;0:29.737;0:27.487;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:26.356;0;;28.709;0;29.995;0;27.652;0;114.4;13:15.529;16:16:53.305;0:28.709;0:29.995;0:27.652;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:26.451;0;;28.903;0;29.856;0;27.692;0;114.3;14:41.980;16:18:19.756;0:28.903;0:29.856;0:27.692;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:26.308;0;;28.677;0;29.905;0;27.726;0;114.5;16:08.288;16:19:46.064;0:28.677;0:29.905;0:27.726;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;12;1:26.217;0;;28.776;0;29.872;0;27.569;0;114.6;17:34.505;16:21:12.281;0:28.776;0:29.872;0:27.569;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;13;1:27.336;0;;29.079;0;30.266;0;27.991;0;113.1;19:01.841;16:22:39.617;0:29.079;0:30.266;0:27.991;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;14;1:26.748;0;;28.698;0;30.279;0;27.771;0;113.9;20:28.589;16:24:06.365;0:28.698;0:30.279;0:27.771;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;15;1:27.270;0;;29.097;0;30.221;0;27.952;0;113.2;21:55.859;16:25:33.635;0:29.097;0:30.221;0:27.952;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;16;1:27.189;0;;29.086;0;30.339;0;27.764;0;113.3;23:23.048;16:27:00.824;0:29.086;0:30.339;0:27.764;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;17;1:27.580;0;;29.078;0;30.382;0;28.120;0;112.8;24:50.628;16:28:28.404;0:29.078;0:30.382;0:28.120;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
