NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
20;0;1;2:05.011;0;;1:13.948;0;23.464;0;27.599;0;56.2;2:05.011;12:12:05.011;1:13.948;0:23.464;0:27.599;;Mitch EVANS;0:00:38.329;;2;Panasonic Jaguar Racing;JAGUAR;
20;0;2;1:14.232;0;;32.161;0;20.688;0;21.383;0;94.7;3:19.243;12:13:19.243;0:32.161;0:20.688;0:21.383;;Mitch EVANS;;;2;Panasonic Jaguar Racing;JAGUAR;
20;0;3;1:03.637;2;;25.057;2;17.946;2;20.634;2;110.5;4:22.880;12:14:22.880;0:25.057;0:17.946;0:20.634;;Mitch EVANS;;;2;Panasonic Jaguar Racing;JAGUAR;
23;0;1;4:08.681;0;;3:24.145;0;21.006;0;23.530;0;28.3;4:08.681;12:14:08.681;3:24.145;0:21.006;0:23.530;;Nick HEIDFELD;0:02:53.411;;2;Mahindra Racing;MAHINDRA;
23;0;2;1:11.268;0;;29.148;0;18.816;0;23.304;0;98.7;5:19.949;12:15:19.949;0:29.148;0:18.816;0:23.304;;Nick HEIDFELD;;;2;Mahindra Racing;MAHINDRA;
23;0;3;1:03.193;2;;24.900;2;17.905;2;20.388;3;111.3;6:23.142;12:16:23.142;0:24.900;0:17.905;0:20.388;;Nick HEIDFELD;;;2;Mahindra Racing;MAHINDRA;
33;0;1;1:28.445;0;;45.289;0;20.057;0;23.099;0;79.5;1:28.445;12:11:28.445;0:45.289;0:20.057;0:23.099;;Stéphane SARRAZIN;0:00:15.083;;2;TECHEETAH;TECHEETAH;
33;0;2;1:09.801;0;;27.203;0;21.269;0;21.329;0;100.7;2:38.246;12:12:38.246;0:27.203;0:21.269;0:21.329;;Stéphane SARRAZIN;;;2;TECHEETAH;TECHEETAH;
33;0;3;1:03.508;2;;25.037;2;17.901;2;20.570;2;110.7;3:41.754;12:13:41.754;0:25.037;0:17.901;0:20.570;;Stéphane SARRAZIN;;;2;TECHEETAH;TECHEETAH;
7;0;1;2:47.955;0;;2:03.922;0;20.877;0;23.156;0;41.9;2:47.955;12:12:47.955;2:03.922;0:20.877;0:23.156;;Jérôme D'AMBROSIO;0:01:32.472;;2;Faraday Future Dragon Racing;FARADAY;
7;0;2;1:07.014;0;;26.146;0;19.133;0;21.735;0;104.9;3:54.969;12:13:54.969;0:26.146;0:19.133;0:21.735;;Jérôme D'AMBROSIO;;;2;Faraday Future Dragon Racing;FARADAY;
7;0;3;1:02.881;4;;24.799;4;17.650;4;20.432;2;111.8;4:57.850;12:14:57.850;0:24.799;0:17.650;0:20.432;;Jérôme D'AMBROSIO;;;2;Faraday Future Dragon Racing;FARADAY;
8;0;1;2:29.870;0;;1:45.546;0;21.180;0;23.144;0;46.9;2:29.870;12:12:29.870;1:45.546;0:21.180;0:23.144;;Nicolas PROST;0:01:12.825;;2;Renault e.dams;RENAULT;
8;0;2;1:08.069;0;;27.630;0;18.552;0;21.887;0;103.3;3:37.939;12:13:37.939;0:27.630;0:18.552;0:21.887;;Nicolas PROST;;;2;Renault e.dams;RENAULT;
8;0;3;1:03.433;2;;25.064;2;17.888;2;20.481;2;110.8;4:41.372;12:14:41.372;0:25.064;0:17.888;0:20.481;;Nicolas PROST;;;2;Renault e.dams;RENAULT;
