NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
2;0;1;9:53.352;0;;9:06.337;0;21.404;0;25.611;0;11.8;9:53.352;12:54:53.352;9:06.337;0:21.404;0:25.611;;Sam BIRD;0:08:32.512;;4;DS Virgin Racing;VIRGIN;
2;0;2;1:03.557;2;;25.290;2;17.844;2;20.423;2;110.6;10:56.909;12:55:56.909;0:25.290;0:17.844;0:20.423;;Sam BIRD;;;4;DS Virgin Racing;VIRGIN;
25;0;1;1:26.165;0;;40.382;0;21.672;0;24.111;0;81.6;1:26.165;12:46:26.165;0:40.382;0:21.672;0:24.111;;Jean-Eric VERGNE;;;1;TECHEETAH;TECHEETAH;
25;0;2;1:03.537;2;;25.206;2;17.844;2;20.487;2;110.7;2:29.702;12:47:29.702;0:25.206;0:17.844;0:20.487;;Jean-Eric VERGNE;;;1;TECHEETAH;TECHEETAH;
37;0;1;3:32.574;0;;2:47.539;0;21.553;0;23.482;0;33.1;3:32.574;12:48:32.574;2:47.539;0:21.553;0:23.482;;Alex LYNN;0:02:13.004;;3;DS Virgin Racing;VIRGIN;
37;0;2;1:03.296;3;;25.179;2;17.702;3;20.415;3;111.1;4:35.870;12:49:35.870;0:25.179;0:17.702;0:20.415;;Alex LYNN;;;3;DS Virgin Racing;VIRGIN;
66;0;1;5:36.470;0;;4:53.191;0;20.263;0;23.016;0;20.9;5:36.470;12:50:36.470;4:53.191;0:20.263;0:23.016;;Daniel ABT;0:04:20.061;;3;ABT Schaeffler Audi Sport;ABT;
66;0;2;1:03.534;2;;25.013;3;17.899;2;20.622;2;110.7;6:40.004;12:51:40.004;0:25.013;0:17.899;0:20.622;;Daniel ABT;;;3;ABT Schaeffler Audi Sport;ABT;
7;0;1;7:38.023;0;;6:56.101;0;19.555;0;22.367;0;15.4;7:38.023;12:52:38.023;6:56.101;0:19.555;0:22.367;;Jérôme D'AMBROSIO;0:05:26.371;;2;Faraday Future Dragon Racing;FARADAY;
7;0;2;1:07.203;2;;27.736;2;18.364;2;21.103;2;104.6;8:45.226;12:53:45.226;0:27.736;0:18.364;0:21.103;;Jérôme D'AMBROSIO;;;2;Faraday Future Dragon Racing;FARADAY;
