POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;Classified;43;52:29.275;-;-;43;1:04.463;109.1;DS Virgin Racing;;4;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;;
2;25;Classified;43;52:30.629;+1.354;+1.354;43;1:04.822;108.5;TECHEETAH;;1;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;VER;;;;;;
3;33;Classified;43;52:33.667;+4.392;+3.038;33;1:05.132;107.9;TECHEETAH;;2;1113;Renault Z.E. 16;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;SAR;;;;;;
4;11;Classified;43;52:35.430;+6.155;+1.763;34;1:04.658;108.7;ABT Schaeffler Audi Sport;;4;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
5;6;Classified;43;52:37.703;+8.428;+2.273;10;1:05.528;107.3;Faraday Future Dragon Racing;;1;9082;Penske 701-EV;;;;;;;;;;;;Loïc;DUVAL;;FRA;FRA;DUV;;;;;;
6;88;Classified;43;52:38.227;+8.952;+0.524;27;1:05.677;107.1;NEXTEV NIO;;4;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;TUR;;;;;;
7;9;Classified;43;52:38.596;+9.321;+0.369;28;1:04.960;108.2;Renault e.dams;;1;1090;Renault Z.E. 16;;;;;;;;;;;;Pierre;GASLY;;FRA;FRA;GAS;;;;;;
8;8;Classified;43;52:39.311;+10.036;+0.715;27;1:04.992;108.2;Renault e.dams;;2;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;PRO;;;;;;
9;27;Classified;43;52:40.294;+11.019;+0.983;28;1:05.210;107.8;Andretti Formula E;;1;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
10;47;Classified;43;52:41.348;+12.073;+1.054;14;1:05.271;107.7;Panasonic Jaguar Racing;;3;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;CAR;;;;;;
11;3;Classified;43;52:42.252;+12.977;+0.904;34;1:05.409;107.5;NEXTEV NIO;;3;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;PIQ;;;;;;
12;28;Classified;43;52:42.616;+13.341;+0.364;14;1:05.356;107.6;Andretti Formula E;;1;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;;;;;;
13;4;Classified;43;52:45.612;+16.337;+2.996;32;1:05.266;107.7;Venturi Formula E Team;;4;8003;Venturi VM200-FE-02;;;;;;;;;;;;Tom;DILLMANN;;FRA;FRA;DIL;;;;;;
14;66;Classified;42;51:27.073;1 Lap;1 Lap;29;1:04.895;108.3;ABT Schaeffler Audi Sport;;3;1080;ABT Schaeffler FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;ABT;;;;;;
15;19;Classified;42;52:56.477;1 Lap;+1:29.404;42;1:04.557;108.9;Mahindra Racing;;3;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;FRO;;;;;;
;23;Not classified;35;40:07.941;;;34;1:04.811;108.5;Mahindra Racing;;2;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;HEI;;;;;;
;5;Not classified;30;53:13.361;;;21;1:03.883;110.1;Venturi Formula E Team;;4;8003;Venturi VM200-FE-02;;;;;;;;;;;;Maro;ENGEL;;DEU;DEU;ENG;;;;;;
;37;Not classified;23;27:00.912;;;12;1:05.573;107.2;DS Virgin Racing;;3;8004;DS Virgin DSV-02;;;;;;;;;;;;Alex;LYNN;;GBR;GBR;LYN;;;;;;
;7;Not classified;22;52:05.775;;;12;1:04.001;109.9;Faraday Future Dragon Racing;;2;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;DAM;;;;;;
;20;Not classified;18;53:24.660;;;4;1:04.681;108.7;Panasonic Jaguar Racing;;2;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
