NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:26.111;0;;33.062;0;29.333;0;23.716;0;80.3;1:26.111;08:01:26.111;0:33.062;0:29.333;0:23.716;;Lucas DI GRASSI;0:00:11.079;;;ABT Schaeffler Audi Sport;ABT;
11;0;2;6:42.594;0;B;18.782;0;28.298;0;5:55.514;0;17.2;8:08.705;08:08:08.705;0:18.782;0:28.298;5:55.514;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:15.556;0;;22.110;0;27.690;0;25.756;0;91.5;9:24.261;08:09:24.261;0:22.110;0:27.690;0:25.756;;Lucas DI GRASSI;0:05:31.164;;;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:28.018;0;;19.867;0;36.001;0;32.150;0;78.5;10:52.279;08:10:52.279;0:19.867;0:36.001;0:32.150;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:45.218;0;;43.758;0;36.580;0;24.880;0;65.7;12:37.497;08:12:37.497;0:43.758;0:36.580;0:24.880;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:06.049;0;;18.380;0;25.913;0;21.756;0;104.6;13:43.546;08:13:43.546;0:18.380;0:25.913;0:21.756;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:05.469;0;;18.331;0;25.435;0;21.703;0;105.6;14:49.015;08:14:49.015;0:18.331;0:25.435;0:21.703;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:04.768;0;;17.892;0;25.378;0;21.498;0;106.7;15:53.783;08:15:53.783;0:17.892;0:25.378;0:21.498;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:05.576;0;;18.161;0;25.847;0;21.568;0;105.4;16:59.359;08:16:59.359;0:18.161;0:25.847;0:21.568;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:05.128;0;;18.268;0;25.259;0;21.601;0;106.1;18:04.487;08:18:04.487;0:18.268;0:25.259;0:21.601;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;ABT;
