NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
20;0;1;2:27.747;0;;1:32.270;0;29.803;0;25.674;0;46.8;2:27.747;12:12:27.747;1:32.270;0:29.803;0:25.674;;Mitch EVANS;0:01:07.687;;2;Panasonic Jaguar Racing;JAGUAR;
20;0;2;1:07.670;0;;18.949;0;26.432;0;22.289;0;102.1;3:35.417;12:13:35.417;0:18.949;0:26.432;0:22.289;;Mitch EVANS;;;2;Panasonic Jaguar Racing;JAGUAR;
20;0;3;1:02.687;2;;16.920;4;24.887;2;20.880;2;110.3;4:38.104;12:14:38.104;0:16.920;0:24.887;0:20.880;;Mitch EVANS;;;2;Panasonic Jaguar Racing;JAGUAR;
3;0;1;1:52.358;0;;1:01.829;0;27.211;0;23.318;0;61.5;1:52.358;12:11:52.358;1:01.829;0:27.211;0:23.318;;Nelson PIQUET JR;0:00:39.168;;2;NEXTEV NIO;NEXTEV;
3;0;2;1:06.952;0;;18.431;0;26.432;0;22.089;0;103.2;2:59.310;12:12:59.310;0:18.431;0:26.432;0:22.089;;Nelson PIQUET JR;;;2;NEXTEV NIO;NEXTEV;
3;0;3;1:02.810;2;;17.110;2;24.953;2;20.747;2;110.0;4:02.120;12:14:02.120;0:17.110;0:24.953;0:20.747;;Nelson PIQUET JR;;;2;NEXTEV NIO;NEXTEV;
37;0;1;1:29.240;0;;33.901;0;29.693;0;25.646;0;77.5;1:29.240;12:11:29.240;0:33.901;0:29.693;0:25.646;;José Maria LOPEZ;0:00:13.086;;2;DS Virgin Racing;VIRGIN;
37;0;2;1:07.878;0;;18.807;0;26.183;0;22.888;0;101.8;2:37.118;12:12:37.118;0:18.807;0:26.183;0:22.888;;José Maria LOPEZ;;;2;DS Virgin Racing;VIRGIN;
37;0;3;1:02.459;3;;17.056;2;24.767;3;20.636;3;110.7;3:39.577;12:13:39.577;0:17.056;0:24.767;0:20.636;;José Maria LOPEZ;;;2;DS Virgin Racing;VIRGIN;
6;0;1;1:31.574;0;;39.164;0;29.585;0;22.825;0;75.5;1:31.574;12:11:31.574;0:39.164;0:29.585;0:22.825;;Mike CONWAY;0:00:17.847;;2;Faraday Future Dragon Racing;FARADAY;
6;0;2;1:09.004;0;;18.322;0;27.536;0;23.146;0;100.2;2:40.578;12:12:40.578;0:18.322;0:27.536;0:23.146;;Mike CONWAY;;;2;Faraday Future Dragon Racing;FARADAY;
6;0;3;1:02.808;2;;17.101;2;24.860;2;20.847;2;110.0;3:43.386;12:13:43.386;0:17.101;0:24.860;0:20.847;;Mike CONWAY;;;2;Faraday Future Dragon Racing;FARADAY;
8;0;1;1:20.798;0;;31.674;0;26.749;0;22.375;0;85.5;1:20.798;12:11:20.798;0:31.674;0:26.749;0:22.375;;Nicolas PROST;0:00:11.320;;2;Renault e.dams;RENAULT;
8;0;2;1:13.210;0;;18.967;0;27.291;0;26.952;0;94.4;2:34.008;12:12:34.008;0:18.967;0:27.291;0:26.952;;Nicolas PROST;;;2;Renault e.dams;RENAULT;
8;0;3;1:02.746;2;;17.150;2;24.874;2;20.722;2;110.2;3:36.754;12:13:36.754;0:17.150;0:24.874;0:20.722;;Nicolas PROST;;;2;Renault e.dams;RENAULT;
