NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
25;0;1;7:28.931;0;;6:35.942;0;27.382;0;25.607;0;15.4;7:28.931;12:52:28.931;6:35.942;0:27.382;0:25.607;;Jean-Eric VERGNE;0:06:08.545;;3;TECHEETAH;TECHEETAH;
25;0;2;1:02.325;2;;17.076;2;24.864;3;20.385;3;110.9;8:31.256;12:53:31.256;0:17.076;0:24.864;0:20.385;;Jean-Eric VERGNE;;;3;TECHEETAH;TECHEETAH;
33;0;1;1:13.771;0;;23.357;0;26.366;0;24.048;2;93.7;1:13.771;12:46:13.771;0:23.357;0:26.366;0:24.048;;Esteban GUTIERREZ;0:00:02.399;;3;TECHEETAH;TECHEETAH;
33;0;2;1:13.287;2;;17.093;2;25.158;2;31.036;0;94.3;2:27.058;12:47:27.058;0:17.093;0:25.158;0:31.036;;Esteban GUTIERREZ;;;3;TECHEETAH;TECHEETAH;
37;0;1;3:16.441;0;;2:24.965;0;27.621;0;23.855;0;35.2;3:16.441;12:48:16.441;2:24.965;0:27.621;0:23.855;;José Maria LOPEZ;0:02:02.483;;2;DS Virgin Racing;VIRGIN;
37;0;2;1:02.640;2;;17.116;2;24.903;2;20.621;2;110.3;4:19.081;12:49:19.081;0:17.116;0:24.903;0:20.621;;José Maria LOPEZ;;;2;DS Virgin Racing;VIRGIN;
88;0;1;5:19.513;0;;4:26.979;0;27.207;0;25.327;0;21.6;5:19.513;12:50:19.513;4:26.979;0:27.207;0:25.327;;Oliver TURVEY;0:04:04.038;;3;NEXTEV NIO;NEXTEV;
88;0;2;1:02.910;2;;17.106;2;25.080;2;20.724;2;109.9;6:22.423;12:51:22.423;0:17.106;0:25.080;0:20.724;;Oliver TURVEY;;;3;NEXTEV NIO;NEXTEV;
9;0;1;9:32.990;0;;8:40.105;0;29.343;0;23.542;0;12.1;9:32.990;12:54:32.990;8:40.105;0:29.343;0:23.542;;Sébastien BUEMI;0:08:16.371;;1;Renault e.dams;RENAULT;
9;0;2;1:02.319;3;;16.982;3;24.916;2;20.421;2;110.9;10:35.309;12:55:35.309;0:16.982;0:24.916;0:20.421;;Sébastien BUEMI;;;1;Renault e.dams;RENAULT;
