POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;49;59:41.125;-;-;44;1:03.197;109.4;Renault e.dams;;1;1090;Renault Z.E. 16;;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;;;;;;;
2;37;Classified;49;59:41.832;+0.707;+0.707;44;1:03.299;109.2;DS Virgin Racing;;2;8004;DS Virgin DSV-02;;;;;;;;;;;;José Maria;LOPEZ;;ARG;ARG;;;;;;;
3;23;Classified;49;59:43.168;+2.043;+1.336;41;1:03.401;109.0;Mahindra Racing;;4;1099;Mahindra M3Electro;;;;;;;;;;;;Nick;HEIDFELD;;DEU;DEU;;;;;;;
4;19;Classified;49;59:43.746;+2.621;+0.578;43;1:03.461;108.9;Mahindra Racing;;1;8005;Mahindra M3Electro;;;;;;;;;;;;Felix;ROSENQVIST;;SWE;SWE;;;;;;;
5;8;Classified;49;59:44.646;+3.521;+0.900;40;1:03.821;108.3;Renault e.dams;;2;2032;Renault Z.E. 16;;;;;;;;;;;;Nicolas;PROST;;FRA;FRA;;;;;;;
6;27;Classified;49;59:49.124;+7.999;+4.478;40;1:03.847;108.3;Andretti Formula E;;4;9093;Andretti ATEC-02;;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;;;;;;;
7;3;Classified;49;1:00:13.545;+32.420;+24.421;45;1:03.772;108.4;NEXTEV NIO;;2;9069;NextEV TCR Formula 002;;;;;;;;;;;;Nelson;PIQUET JR;;BRA;BRA;;;;;;;
8;5;Classified;49;1:00:14.054;+32.929;+0.509;46;1:04.066;107.9;Venturi Formula E Team;;4;8003;Venturi VM200-FE-02;;;;;;;;;;;;Tom;DILLMANN;;FRA;FRA;;;;;;;
9;20;Classified;49;1:00:14.494;+33.369;+0.440;46;1:04.216;107.6;Panasonic Jaguar Racing;;2;8007;Jaguar I-Type 1;;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;;;;;;;
10;4;Classified;49;1:00:15.176;+34.051;+0.682;24;1:03.907;108.2;Venturi Formula E Team;;3;1113;Venturi VM200-FE-02;;;;;;;;;;;;Stéphane;SARRAZIN;;FRA;FRA;;;;;;;
11;33;Classified;49;1:00:17.322;+36.197;+2.146;42;1:03.660;108.6;TECHEETAH;;3;8008;Renault Z.E. 16;;;;;;;;;;;;Esteban;GUTIERREZ;;MEX;MEX;;;;;;;
12;88;Classified;49;1:00:21.207;+40.082;+3.885;46;1:04.268;107.5;NEXTEV NIO;;3;9092;NextEV TCR Formula 002;;;;;;;;;;;;Oliver;TURVEY;;GBR;GBR;;;;;;;
13;66;Classified;48;58:19.875;1 Lap;1 Lap;40;1:03.776;108.4;ABT Schaeffler Audi Sport;;1;1080;ABT Schaeffler FE02;;;;;;;;;;;;Daniel;ABT;;DEU;DEU;;;;;;;
14;6;Classified;48;1:00:13.112;1 Lap;+1:53.237;44;1:03.146;109.5;Faraday Future Dragon Racing;;2;9082;Penske 701-EV;;;;;;;;;;;;Mike;CONWAY;;GBR;GBR;;;;;;;
15;47;Classified;48;1:00:17.236;1 Lap;+4.124;45;1:04.250;107.6;Panasonic Jaguar Racing;;4;8006;Jaguar I-Type 1;;;;;;;;;;;;Adam;CARROLL;;GBR;GBR;;;;;;;
16;2;Classified;47;1:00:19.905;2 Laps;1 Lap;42;1:02.422;110.7;DS Virgin Racing;;1;1087;DS Virgin DSV-02;;;;;;;;;;;;Sam;BIRD;;GBR;GBR;;;;;;;
;11;Not classified;38;54:54.392;;;37;1:02.446;110.7;ABT Schaeffler Audi Sport;;1;1098;ABT Schaeffler FE02;;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;;;;;;;
;7;Not classified;35;53:12.449;;;33;1:02.666;110.3;Faraday Future Dragon Racing;;3;1084;Penske 701-EV;;;;;;;;;;;;Jérôme;D'AMBROSIO;;BEL;BEL;;;;;;;
;25;Not classified;33;38:27.038;;;11;1:03.610;108.7;TECHEETAH;;3;1086;Renault Z.E. 16;;;;;;;;;;;;Jean-Eric;VERGNE;;FRA;FRA;;;;;;;
;28;Not classified;18;19:40.557;;;12;1:04.689;106.8;Andretti Formula E;;4;3177;Andretti ATEC-02;;;;;;;;;;;;Antonio Felix;DA COSTA;;PRT;PRT;;;;;;;
