NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:06.919;0;;12.766;0;31.602;0;22.551;0;103.3;1:06.919;16:05:31.766;0:12.766;0:31.602;0:22.551;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;2;1:07.695;0;;18.342;0;27.325;0;22.028;0;102.1;2:14.614;16:06:39.461;0:18.342;0:27.325;0:22.028;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:06.203;0;;18.153;0;26.069;0;21.981;0;104.4;3:20.817;16:07:45.664;0:18.153;0:26.069;0:21.981;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:05.568;0;;18.224;0;25.700;0;21.644;0;105.4;4:26.385;16:08:51.232;0:18.224;0:25.700;0:21.644;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:05.341;0;;18.162;0;25.621;0;21.558;0;105.8;5:31.726;16:09:56.573;0:18.162;0:25.621;0:21.558;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:05.478;0;;17.982;0;26.056;0;21.440;0;105.6;6:37.204;16:11:02.051;0:17.982;0:26.056;0:21.440;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:05.227;0;;18.078;0;25.474;0;21.675;0;106.0;7:42.431;16:12:07.278;0:18.078;0:25.474;0:21.675;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;8;1:05.212;0;;17.873;0;25.610;0;21.729;0;106.0;8:47.643;16:13:12.490;0:17.873;0:25.610;0:21.729;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;9;1:04.642;0;;17.819;0;25.360;0;21.463;0;106.9;9:52.285;16:14:17.132;0:17.819;0:25.360;0:21.463;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:06.261;0;;17.873;0;25.843;0;22.545;0;104.3;10:58.546;16:15:23.393;0:17.873;0:25.843;0:22.545;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:05.500;0;;17.892;0;26.109;0;21.499;0;105.5;12:04.046;16:16:28.893;0:17.892;0:26.109;0:21.499;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;12;1:04.886;0;;17.733;0;25.470;0;21.683;0;106.5;13:08.932;16:17:33.779;0:17.733;0:25.470;0:21.683;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;13;1:06.447;0;;17.856;0;26.444;0;22.147;0;104.0;14:15.379;16:18:40.226;0:17.856;0:26.444;0:22.147;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;14;1:05.006;0;;17.814;0;25.617;0;21.575;0;106.3;15:20.385;16:19:45.232;0:17.814;0:25.617;0:21.575;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;15;1:05.018;0;;17.805;0;25.207;0;22.006;0;106.3;16:25.403;16:20:50.250;0:17.805;0:25.207;0:22.006;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;16;1:05.346;0;;17.845;0;25.678;0;21.823;0;105.8;17:30.749;16:21:55.596;0:17.845;0:25.678;0:21.823;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;17;1:05.496;0;;17.759;0;25.614;0;22.123;0;105.5;18:36.245;16:23:01.092;0:17.759;0:25.614;0:22.123;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;18;1:04.682;0;;17.397;0;25.920;0;21.365;0;106.9;19:40.927;16:24:05.774;0:17.397;0:25.920;0:21.365;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;19;1:12.019;0;;17.511;0;25.513;0;28.995;0;96.0;20:52.946;16:25:17.793;0:17.511;0:25.513;0:28.995;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;20;2:07.281;0;B;17.760;0;25.304;0;1:24.217;0;54.3;23:00.227;16:27:25.074;0:17.760;0:25.304;1:24.217;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;21;2:13.958;0;;44.162;0;41.388;0;48.408;0;51.6;25:14.185;16:29:39.032;0:44.162;0:41.388;0:48.408;;Lucas DI GRASSI;0:01:02.605;;1;ABT Schaeffler Audi Sport;ABT;
11;0;22;1:54.315;0;;43.811;0;41.583;0;28.921;0;60.5;27:08.500;16:31:33.347;0:43.811;0:41.583;0:28.921;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;23;1:04.242;0;;17.762;0;25.113;0;21.367;0;107.6;28:12.742;16:32:37.589;0:17.762;0:25.113;0:21.367;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;24;1:04.484;0;;17.970;0;24.953;0;21.561;0;107.2;29:17.226;16:33:42.073;0:17.970;0:24.953;0:21.561;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;25;1:04.141;0;;17.789;0;24.975;0;21.377;0;107.8;30:21.367;16:34:46.214;0:17.789;0:24.975;0:21.377;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;26;1:04.312;0;;18.063;0;24.839;0;21.410;0;107.5;31:25.679;16:35:50.526;0:18.063;0:24.839;0:21.410;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;27;1:04.239;0;;17.341;0;25.301;0;21.597;0;107.6;32:29.918;16:36:54.765;0:17.341;0:25.301;0:21.597;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;28;1:04.862;0;;17.807;0;25.101;0;21.954;0;106.6;33:34.780;16:37:59.627;0:17.807;0:25.101;0:21.954;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;29;1:06.145;0;;17.949;0;25.942;0;22.254;0;104.5;34:40.925;16:39:05.772;0:17.949;0:25.942;0:22.254;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;30;1:45.206;0;B;17.563;0;25.307;0;1:02.336;0;65.7;36:26.131;16:40:50.978;0:17.563;0:25.307;1:02.336;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;31;9:21.734;0;B;23.401;0;27.594;0;8:30.739;0;12.3;45:47.865;16:50:12.712;0:23.401;0:27.594;8:30.739;;Lucas DI GRASSI;0:00:40.776;;1;ABT Schaeffler Audi Sport;ABT;
11;0;32;1:09.041;0;;22.116;0;25.374;0;21.551;0;100.1;46:56.906;16:51:21.753;0:22.116;0:25.374;0:21.551;;Lucas DI GRASSI;0:08:07.864;;1;ABT Schaeffler Audi Sport;ABT;
11;0;33;1:02.607;0;;17.180;0;24.485;0;20.942;0;110.4;47:59.513;16:52:24.360;0:17.180;0:24.485;0:20.942;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
11;0;34;1:50.022;0;B;17.686;0;25.604;0;1:06.732;0;62.8;49:49.535;16:54:14.382;0:17.686;0:25.604;1:06.732;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;ABT;
