NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;2:12.368;0;;1:23.241;0;21.986;0;27.141;0;53.1;2:12.368;07:02:12.368;1:23.241;0:21.986;0:27.141;;Lucas DI GRASSI;0:00:48.769;;3;ABT Schaeffler Audi Sport;ABT;
11;0;2;2:07.481;0;B;33.844;0;21.880;0;1:11.757;0;55.2;4:19.849;07:04:19.849;0:33.844;0:21.880;1:11.757;;Lucas DI GRASSI;0:00:47.999;;3;ABT Schaeffler Audi Sport;ABT;
11;0;3;1:19.753;0;;32.671;0;20.841;0;26.241;0;88.2;5:39.602;07:05:39.602;0:32.671;0:20.841;0:26.241;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;4;1:07.458;0;;26.448;0;18.936;0;22.074;0;104.2;6:47.060;07:06:47.060;0:26.448;0:18.936;0:22.074;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;5;1:04.685;0;;25.504;0;18.081;0;21.100;0;108.7;7:51.745;07:07:51.745;0:25.504;0:18.081;0:21.100;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;6;1:16.419;0;;26.067;0;24.093;0;26.259;0;92.0;9:08.164;07:09:08.164;0:26.067;0:24.093;0:26.259;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;7;1:03.980;0;;25.057;0;17.970;0;20.953;0;109.9;10:12.144;07:10:12.144;0:25.057;0:17.970;0:20.953;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;8;12:37.554;0;B;30.166;0;22.754;0;11:44.634;0;9.3;22:49.698;07:22:49.698;0:30.166;0:22.754;11:44.634;;Lucas DI GRASSI;0:11:22.875;;3;ABT Schaeffler Audi Sport;ABT;
11;0;9;2:18.600;0;B;30.243;0;19.230;0;1:29.127;0;50.7;25:08.298;07:25:08.298;0:30.243;0:19.230;1:29.127;;Lucas DI GRASSI;0:01:08.697;;3;ABT Schaeffler Audi Sport;ABT;
11;0;10;1:07.261;0;;27.926;0;18.201;0;21.134;0;104.5;26:15.559;07:26:15.559;0:27.926;0:18.201;0:21.134;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;11;1:06.362;0;;26.027;0;18.425;0;21.910;0;105.9;27:21.921;07:27:21.921;0:26.027;0:18.425;0:21.910;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;12;1:06.312;0;;26.019;0;18.473;0;21.820;0;106.0;28:28.233;07:28:28.233;0:26.019;0:18.473;0:21.820;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;13;1:05.735;0;;25.892;0;18.427;0;21.416;0;107.0;29:33.968;07:29:33.968;0:25.892;0:18.427;0:21.416;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;14;1:05.964;0;;25.789;0;18.553;0;21.622;0;106.6;30:39.932;07:30:39.932;0:25.789;0:18.553;0:21.622;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;15;1:11.575;0;;25.650;0;24.012;0;21.913;0;98.2;31:51.507;07:31:51.507;0:25.650;0:24.012;0:21.913;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;16;1:05.864;0;;25.760;0;18.684;0;21.420;0;106.7;32:57.371;07:32:57.371;0:25.760;0:18.684;0:21.420;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;17;1:05.992;0;;25.688;0;18.896;0;21.408;0;106.5;34:03.363;07:34:03.363;0:25.688;0:18.896;0:21.408;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;18;1:05.173;0;;25.654;0;18.335;0;21.184;0;107.9;35:08.536;07:35:08.536;0:25.654;0:18.335;0:21.184;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;19;3:16.100;0;B;25.840;0;18.449;0;2:31.811;0;35.9;38:24.636;07:38:24.636;0:25.840;0:18.449;2:31.811;;Lucas DI GRASSI;0:02:12.025;;3;ABT Schaeffler Audi Sport;ABT;
11;0;20;1:13.644;0;;31.232;0;19.411;0;23.001;0;95.5;39:38.280;07:39:38.280;0:31.232;0:19.411;0:23.001;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;21;1:14.788;0;;29.579;0;19.598;0;25.611;0;94.0;40:53.068;07:40:53.068;0:29.579;0:19.598;0:25.611;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
11;0;22;1:02.655;2;;24.648;2;17.631;2;20.376;2;112.2;41:55.723;07:41:55.723;0:24.648;0:17.631;0:20.376;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;ABT;
19;0;1;2:16.150;0;;1:22.119;0;24.137;0;29.894;0;51.6;2:16.150;07:02:16.150;1:22.119;0:24.137;0:29.894;;Felix ROSENQVIST;0:00:43.563;;2;Mahindra Racing;MAHINDRA;
19;0;2;4:31.582;0;B;28.570;0;19.790;0;3:43.222;0;25.9;6:47.732;07:06:47.732;0:28.570;0:19.790;3:43.222;;Felix ROSENQVIST;0:03:20.333;;2;Mahindra Racing;MAHINDRA;
19;0;3;1:16.922;0;;31.365;0;19.686;0;25.871;0;91.4;8:04.654;07:08:04.654;0:31.365;0:19.686;0:25.871;;Felix ROSENQVIST;;;2;Mahindra Racing;MAHINDRA;
19;0;4;1:08.381;0;;26.845;0;18.909;0;22.627;0;102.8;9:13.035;07:09:13.035;0:26.845;0:18.909;0:22.627;;Felix ROSENQVIST;;;2;Mahindra Racing;MAHINDRA;
19;0;5;1:07.544;0;;26.493;0;18.741;0;22.310;0;104.1;10:20.579;07:10:20.579;0:26.493;0:18.741;0:22.310;;Felix ROSENQVIST;;;2;Mahindra Racing;MAHINDRA;
19;0;6;1:06.866;0;;26.389;0;18.489;0;21.988;0;105.1;11:27.445;07:11:27.445;0:26.389;0:18.489;0:21.988;;Felix ROSENQVIST;;;2;Mahindra Racing;MAHINDRA;
