NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
23;0;1;4:22.759;0;;3:39.847;0;19.547;0;23.365;0;26.8;4:22.759;09:34:22.759;3:39.847;0:19.547;0:23.365;;Nick HEIDFELD;0:03:09.892;;4;Mahindra Racing;MAHINDRA;
23;0;2;1:11.770;0;;28.447;0;19.328;0;23.995;0;98.0;5:34.529;09:35:34.529;0:28.447;0:19.328;0:23.995;;Nick HEIDFELD;;;4;Mahindra Racing;MAHINDRA;
23;0;3;1:02.372;3;;24.862;2;17.303;4;20.207;3;112.7;6:36.901;09:36:36.901;0:24.862;0:17.303;0:20.207;;Nick HEIDFELD;;;4;Mahindra Racing;MAHINDRA;
37;0;1;1:21.922;0;;38.937;0;20.114;0;22.871;0;85.8;1:21.922;09:31:21.922;0:38.937;0:20.114;0:22.871;;Alex LYNN;0:00:07.041;;4;DS Virgin Racing;VIRGIN;
37;0;2;1:07.806;0;;26.935;0;19.233;0;21.638;0;103.7;2:29.728;09:32:29.728;0:26.935;0:19.233;0:21.638;;Alex LYNN;;;4;DS Virgin Racing;VIRGIN;
37;0;3;1:03.224;2;;25.114;2;17.502;2;20.608;2;111.2;3:32.952;09:33:32.952;0:25.114;0:17.502;0:20.608;;Alex LYNN;;;4;DS Virgin Racing;VIRGIN;
4;0;1;2:16.039;0;;1:25.791;0;23.246;0;27.002;0;51.7;2:16.039;09:32:16.039;1:25.791;0:23.246;0:27.002;;Tom DILLMANN;0:00:53.310;;4;Venturi Formula E Team;VENTURI;
4;0;2;1:15.087;0;;31.922;0;20.562;0;22.603;0;93.6;3:31.126;09:33:31.126;0:31.922;0:20.562;0:22.603;;Tom DILLMANN;;;4;Venturi Formula E Team;VENTURI;
4;0;3;1:02.807;2;;24.783;2;17.740;2;20.284;2;111.9;4:33.933;09:34:33.933;0:24.783;0:17.740;0:20.284;;Tom DILLMANN;;;4;Venturi Formula E Team;VENTURI;
47;0;1;1:43.687;0;;57.427;0;21.554;0;24.706;0;67.8;1:43.687;09:31:43.687;0:57.427;0:21.554;0:24.706;;Adam CARROLL;0:00:25.769;;4;Panasonic Jaguar Racing;JAGUAR;
47;0;2;1:12.790;0;;28.141;0;20.260;0;24.389;0;96.6;2:56.477;09:32:56.477;0:28.141;0:20.260;0:24.389;;Adam CARROLL;;;4;Panasonic Jaguar Racing;JAGUAR;
47;0;3;1:03.594;2;;25.034;2;17.670;2;20.890;2;110.6;4:00.071;09:34:00.071;0:25.034;0:17.670;0:20.890;;Adam CARROLL;;;4;Panasonic Jaguar Racing;JAGUAR;
5;0;1;1:38.066;0;;54.687;0;19.934;0;23.445;0;71.7;1:38.066;09:31:38.066;0:54.687;0:19.934;0:23.445;;Maro ENGEL;0:00:23.498;;4;Venturi Formula E Team;VENTURI;
5;0;2;1:12.117;0;;28.502;0;19.975;0;23.640;0;97.5;2:50.183;09:32:50.183;0:28.502;0:19.975;0:23.640;;Maro ENGEL;;;4;Venturi Formula E Team;VENTURI;
5;0;3;1:02.579;2;;24.684;3;17.522;2;20.373;2;112.4;3:52.762;09:33:52.762;0:24.684;0:17.522;0:20.373;;Maro ENGEL;;;4;Venturi Formula E Team;VENTURI;
