NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
19;0;1;8:00.257;0;;7:15.965;0;21.232;0;23.060;0;14.6;8:00.257;09:53:00.257;7:15.965;0:21.232;0:23.060;;Felix ROSENQVIST;0:06:41.345;;2;Mahindra Racing;MAHINDRA;
19;0;2;1:02.322;2;;24.600;2;17.532;3;20.190;2;112.8;9:02.579;09:54:02.579;0:24.600;0:17.532;0:20.190;;Felix ROSENQVIST;;;2;Mahindra Racing;MAHINDRA;
2;0;1;3:38.453;0;;2:51.529;0;21.394;0;25.530;0;32.2;3:38.453;09:48:38.453;2:51.529;0:21.394;0:25.530;;Sam BIRD;0:02:18.633;;1;DS Virgin Racing;VIRGIN;
2;0;2;1:02.285;3;;24.525;3;17.564;2;20.196;2;112.9;4:40.738;09:49:40.738;0:24.525;0:17.564;0:20.196;;Sam BIRD;;;1;DS Virgin Racing;VIRGIN;
23;0;1;1:23.511;0;;39.805;0;19.742;0;23.964;0;84.2;1:23.511;09:46:23.511;0:39.805;0:19.742;0:23.964;;Nick HEIDFELD;0:00:04.794;;4;Mahindra Racing;MAHINDRA;
23;0;2;1:03.210;2;;24.931;2;17.697;2;20.582;2;111.2;2:26.721;09:47:26.721;0:24.931;0:17.697;0:20.582;;Nick HEIDFELD;;;4;Mahindra Racing;MAHINDRA;
25;0;1;5:54.050;0;;5:05.100;0;25.558;0;23.392;0;19.9;5:54.050;09:50:54.050;5:05.100;0:25.558;0:23.392;;Jean-Eric VERGNE;0:04:24.965;;3;TECHEETAH;TECHEETAH;
25;0;2;1:02.544;2;;24.746;2;17.650;2;20.148;3;112.4;6:56.594;09:51:56.594;0:24.746;0:17.650;0:20.148;;Jean-Eric VERGNE;;;3;TECHEETAH;TECHEETAH;
9;0;1;10:06.073;0;;9:20.907;0;20.927;0;24.239;0;11.6;10:06.073;09:55:06.073;9:20.907;0:20.927;0:24.239;;Pierre GASLY;0:08:46.015;;3;Renault e.dams;RENAULT;
9;0;2;1:03.173;2;;24.642;2;18.235;2;20.296;2;111.3;11:09.246;09:56:09.246;0:24.642;0:18.235;0:20.296;;Pierre GASLY;;;3;Renault e.dams;RENAULT;
